figure,key,candidate,score,before_score,gain,loss,mean_absolute_error,scale,panel,n_group1,n_group2,feature,dataset,before_loss,relative_error_reduction_percent
1,WDBC__03,Dot plot / raw,97.69772771204,60.16636650913821,37.5313612029018,0.023565259314381085,5.853546848123782,248.397302572926,,,,,,,
2,WDBC__23,Dot plot / raw,97.49906939147849,56.25582318867762,41.24324620280087,0.0256508151732175,,,a,357.0,212.0,worst area,WDBC,0.777593755309701,96.70125756565506
2,CKD__03,Dot plot / raw,98.32467982963556,59.04721656791524,39.277463261720314,0.0170386537059383,,,b,144.0,237.0,bu,CKD,0.6935599307205524,97.54330477421951
2,HAR__29,Histogram / 32,94.96043083200549,48.14805171496717,46.81237911703832,0.0530702011757932,,,c,30.0,30.0,tBodyGyroJerk-std()-Z,HAR,1.076927236682233,95.07207178274268
2,HeartFailure__01,Histogram / 8,97.4943302660294,85.40847111221765,12.08585915381174,0.0257006712814319,,,d,203.0,96.0,creatinine_phosphokinase,HeartFailure,0.1708440474084899,84.95664808269186
2,Cleveland__04,Violin plot / 256,92.83687445489484,64.21952736947868,28.617347085416156,0.0771581937367507,,,e,164.0,139.0,oldpeak,Cleveland,0.5571587661282997,86.15148887041238
2,Wrist__04,Violin plot / 8,90.35207352828871,66.19991144263095,24.152162085657764,0.1067814616195891,,,f,8.0,8.0,SD,Wrist,0.5105760388616277,79.08608052628804
2,HAR__36,Heatmap / 64,96.85877945574003,47.57193005277669,49.28684940296334,0.0324309325588327,,,g,30.0,30.0,tBodyGyroMag-mean(),HAR,1.1020799427111567,97.05729763314162
2,CKD__02,Heatmap / 64,98.70120405046498,57.004548969500455,41.696655080964526,0.0131588663180944,,,h,144.0,212.0,bgr,CKD,0.7542459647124602,98.25536138955535
3,Wrist__00,Bar chart / means,95.34774526036333,95.34774526036333,0.0,0.0487924987311752,,,a,8.0,8.0,mean,Wrist,0.0487924987311752,0.0
3,Wrist__01,Bar chart / means,95.64456511864672,95.64456511864672,0.0,0.0455377143066139,,,b,8.0,8.0,median,Wrist,0.0455377143066139,0.0
3,Wrist__03,Bar chart / means,95.48383661185,95.48383661185,0.0,0.0472976741237218,,,c,8.0,8.0,q90,Wrist,0.0472976741237218,0.0
3,BIDMC__03,Dot plot / raw,97.65774696029418,96.52818572317472,1.1295612371194608,0.0239843034742358,,,d,46.0,46.0,q90,BIDMC,0.0359668448216959,33.315519909691936
3,Wrist__02,Violin plot / 16,94.78433012622668,93.56886538635976,1.215464739866917,0.0550267102887943,,,e,8.0,8.0,q10,Wrist,0.0687315656451014,19.939681611608773
3,ILPD__06,Dot plot / raw,97.16252708792402,95.699953509483,1.4625735784410239,0.0292033667414631,,,f,167.0,416.0,total_protein,ILPD,0.0449325870371599,35.006264568493485
3,WDBC__04,Dot plot / raw,98.11283489753676,95.8391731585046,2.273661739032164,0.0192346404467272,,,g,357.0,212.0,mean smoothness,WDBC,0.043414677989907,55.69553584804004
3,BIDMC__02,Histogram / 64,98.06214248269038,95.60152656390524,2.4606159187851375,0.0197615253781721,,,h,46.0,46.0,q10,BIDMC,0.0460084016875461,57.04800720447262
