key,dataset,feature,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected,status
WDBC__00,WDBC,mean radius,Heatmap,10 common bins,22.0,0.6993396024177958,0.39334928149340626,True,22.196674640746703,0.04505179339630847,True,qualified
WDBC__00,WDBC,mean radius,Histogram,10 common bins,22.0,0.6993396024177958,0.39334928149340626,True,22.196674640746703,0.04505179339630847,True,qualified
WDBC__00,WDBC,mean radius,Violin,64-point density per group,130.0,0.5670808384925365,0.31895925756033155,True,130.15947962878016,0.00768288259028108,False,qualified
WDBC__00,WDBC,mean radius,Dot,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__00,WDBC,mean radius,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__00,WDBC,mean radius,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__00,WDBC,mean radius,Bar,Mean bars,2.0,2.9016936208445614,1.6320813191862285,False,,0.0,False,exceeds tolerance
WDBC__00,WDBC,mean radius,Box,Min-max box with mean markers,12.0,2.1853554502369654,1.2291710539293428,False,,0.0,False,exceeds tolerance
WDBC__00,WDBC,mean radius,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__00,WDBC,mean radius,Forest,Mean contrast with interval,3.0,2.9016936208445614,1.6320813191862285,False,,0.0,False,exceeds tolerance
WDBC__00,WDBC,mean radius,Interval,Means with intervals,6.0,2.9016936208445614,1.6320813191862285,False,,0.0,False,exceeds tolerance
WDBC__00,WDBC,mean radius,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__00,WDBC,mean radius,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__00,WDBC,mean radius,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__00,WDBC,mean radius,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__01,WDBC,mean texture,Bar,Mean bars,2.0,1.7636830814581508,0.6168873199259871,True,2.3084436599629936,0.43319229199469866,True,qualified
WDBC__01,WDBC,mean texture,Dot,Mean dots,2.0,1.7636830814581508,0.6168873199259871,True,2.3084436599629936,0.43319229199469866,True,qualified
WDBC__01,WDBC,mean texture,Forest,Mean contrast with interval,3.0,1.7636830814581508,0.6168873199259871,True,3.3084436599629936,0.3022569228249108,False,qualified
WDBC__01,WDBC,mean texture,Interval,Means with intervals,6.0,1.7636830814581508,0.6168873199259871,True,6.308443659962993,0.15851770324059075,False,qualified
WDBC__01,WDBC,mean texture,Heatmap,10 common bins,22.0,0.7981348314606684,0.27916537970772276,True,22.13958268985386,0.04516796969521384,False,qualified
WDBC__01,WDBC,mean texture,Histogram,10 common bins,22.0,0.7981348314606684,0.27916537970772276,True,22.13958268985386,0.04516796969521384,False,qualified
WDBC__01,WDBC,mean texture,Violin,64-point density per group,130.0,0.5571179114878113,0.19486436022073625,True,130.09743218011036,0.007686546792219337,False,qualified
