key,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected
WDBC__00,Bar,Mean bars,2,2.9016936208445614,1.6320813191862285,False,,0.0,False
WDBC__00,Dot,Mean dots,2,2.9016936208445614,1.6320813191862285,False,,0.0,False
WDBC__00,Interval,Means with intervals,6,2.9016936208445614,1.6320813191862285,False,,0.0,False
WDBC__00,Forest,Mean contrast with interval,3,2.9016936208445614,1.6320813191862285,False,,0.0,False
WDBC__00,Box,Min-max box with mean markers,12,2.1853554502369654,1.2291710539293428,False,,0.0,False
WDBC__00,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__00,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__00,Histogram,10 common bins,22,0.6993396024177958,0.39334928149340626,True,22.196674640746703,0.04505179339630847,True
WDBC__00,Heatmap,10 common bins,22,0.6993396024177958,0.39334928149340626,True,22.196674640746703,0.04505179339630847,True
WDBC__00,Histogram,20 common bins,42,0.3489689869668169,0.1962804620420654,True,42.098140231021034,0.0237540184557399,False
WDBC__00,Heatmap,20 common bins,42,0.3489689869668169,0.1962804620420654,True,42.098140231021034,0.0237540184557399,False
WDBC__00,Histogram,40 common bins,82,0.4897868598382811,0.27548462683399305,True,82.137742313417,0.012174671129676917,False
WDBC__00,Heatmap,40 common bins,82,0.4897868598382811,0.27548462683399305,True,82.137742313417,0.012174671129676917,False
WDBC__00,Violin,64-point density per group,130,0.5670808384925365,0.31895925756033155,True,130.15947962878016,0.00768288259028108,False
WDBC__00,Violin,128-point density per group,258,0.5702628272066228,0.3207489931481329,True,258.1603744965741,0.003873561161158257,False
WDBC__00,Violin,256-point density per group,514,0.5694741550823537,0.32030539805879055,True,514.1601526990294,0.0019449192916849074,False
WDBC__01,Bar,Mean bars,2,1.7636830814581508,0.6168873199259871,True,2.3084436599629936,0.43319229199469866,True
WDBC__01,Dot,Mean dots,2,1.7636830814581508,0.6168873199259871,True,2.3084436599629936,0.43319229199469866,True
WDBC__01,Interval,Means with intervals,6,1.7636830814581508,0.6168873199259871,True,6.308443659962993,0.15851770324059075,False
WDBC__01,Forest,Mean contrast with interval,3,1.7636830814581508,0.6168873199259871,True,3.3084436599629936,0.3022569228249108,False
WDBC__01,Box,Min-max box with mean markers,12,3.181404494382022,1.1127668642811008,False,,0.0,False
WDBC__01,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__01,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__01,Histogram,10 common bins,22,0.7981348314606684,0.27916537970772276,True,22.13958268985386,0.04516796969521384,False
WDBC__01,Heatmap,10 common bins,22,0.7981348314606684,0.27916537970772276,True,22.13958268985386,0.04516796969521384,False
WDBC__01,Histogram,20 common bins,42,0.4944012997271301,0.17292783264918496,True,42.08646391632459,0.02376060868378438,False
