key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score
WDBC__00,WDBC,mean radius,source units,"['Benign', 'Malignant']",Distribution detail required,1.6320813191862285,1.2291710539293428,0.8585858585858586,357,212,False,2.410516653707913,1.7779099526066349,1.7779099526066349,0.2410516653707913,0.1,5.316306379155437,5.1250000000000036,2.2250000000000014,Heatmap; Histogram,0.04505179339630847
WDBC__01,WDBC,mean texture,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.6168873199259871,1.1127668642811008,0.7171717171717171,357,212,False,3.916259734095069,2.859003621066087,2.859003621066087,0.3916259734095069,0.1,3.6901437556154555,4.07,-0.1725000000000012,Bar; Dot,0.43319229199469866
WDBC__02,WDBC,mean perimeter,source units,"['Benign', 'Malignant']",Distribution detail required,1.4768872859940598,1.3197956563820579,0.8181818181818182,357,212,False,16.287269345845637,12.60399052132699,12.60399052132699,1.6287269345845639,0.1,37.28997119602556,36.019999999999996,15.950000000000017,Heatmap; Histogram,0.045072952867495526
WDBC__03,WDBC,mean area,source units,"['Benign', 'Malignant']",Distribution detail required,1.7373812947859444,1.7186489188943934,0.9090909090909091,357,212,False,248.39730257292598,275.2382464454976,275.2382464454976,24.8397302572926,0.1,515.5862190159085,473.6,325.55,Heatmap; Histogram,0.04487027910027722
WDBC__04,WDBC,mean smoothness,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.4049315968406704,2.7828780645653803,0.9696969696969697,357,212,False,0.01314053025356343,0.007725814606741593,0.007725814606741593,0.001314053025356343,0.1,0.010420843507214214,0.011440000000000006,-0.0007250000000000034,Bar; Dot,0.45403656243707646
WDBC__05,WDBC,mean compactness,source units,"['Benign', 'Malignant']",Quartile summary sufficient,1.0632148509882098,0.296330920150161,0.6565656565656566,357,212,False,0.042424249935574164,0.03883355450236967,0.03883355450236967,0.004242424993557417,0.1,0.06510316117012842,0.05706,0.02087,Box,0.08231695586354153
WDBC__06,WDBC,mean concavity,source units,"['Benign', 'Malignant']",Distribution detail required,1.511448525710038,2.680300890752601,0.7878787878787878,357,212,False,0.05726477534442374,0.06178810426540289,0.06178810426540289,0.005726477534442375,0.1,0.11471709597272872,0.11425999999999999,0.053845,Heatmap; Histogram,0.045177164064524114
WDBC__07,WDBC,mean concave points,source units,"['Benign', 'Malignant']",Quartile summary sufficient,1.6373323002330622,0.6769363226228609,0.8484848484848485,357,212,False,0.02446644427396679,0.02064241706161137,0.02064241706161137,0.0024466444273966792,0.1,0.062272593837535015,0.06284,0.021065000000000007,Box,0.08104733804278927
WDBC__08,WDBC,mean symmetry,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.5802562822343659,0.4320195747175825,0.8888888888888888,357,212,False,0.0258965831928597,0.01874134804835187,0.01874134804835187,0.0025896583192859704,0.1,0.018722967866391826,0.018500000000000016,0.004799999999999999,Bar; Dot,0.4366567887822096
WDBC__09,WDBC,mean fractal dimension,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.7845903883082282,0.4239295818177502,0.8686868686868687,357,212,False,0.007066003796831182,0.004726179775280891,0.004726179775280891,0.0007066003796831182,0.1,-0.00018730061836055856,3.500000000000725e-05,0.0032474999999999934,Bar; Dot,0.41800861467415507
WDBC__10,WDBC,radius error,source units,"['Benign', 'Malignant']",Distribution detail required,2.0029830395207564,5.656445865125311,0.9090909090909091,357,212,False,0.2286032068461238,0.1778289802438896,0.1778289802438896,0.022860320684612384,0.1,0.3250001942286348,0.2897,0.23262499999999994,Heatmap; Histogram,0.04491904446947448
WDBC__11,WDBC,texture error,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.4934033359021725,2.0622783829186284,0.9292929292929293,357,212,False,0.552115606860959,0.44077191011235967,0.44077191011235967,0.055211560686095895,0.1,-0.009465489403308602,-0.00550000000000006,-0.159675,Bar; Dot,0.4450969233097891
