key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score,Area,Bar,Box,Bubble,Dot,Forest,Heatmap,Histogram,Interval,Line,Pie / donut,Raincloud,Scatter,Stacked bar,Violin,dataset_doi,dataset_source_url
WDBC__00,WDBC,mean radius,source units,"['Benign', 'Malignant']",Distribution detail required,1.6320813191862285,1.2291710539293428,0.8585858585858586,357,212,False,2.410516653707913,1.7779099526066349,1.7779099526066349,0.2410516653707913,0.1,5.316306379155437,5.125000000000004,2.2250000000000014,Heatmap; Histogram,0.0450517933963084,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0450517933963084,0.0450517933963084,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.007682882590281,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__01,WDBC,mean texture,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.6168873199259871,1.1127668642811008,0.7171717171717171,357,212,False,3.916259734095069,2.859003621066087,2.859003621066087,0.3916259734095069,0.1,3.690143755615456,4.07,-0.1725000000000012,Bar; Dot,0.4331922919946986,0.0,0.4331922919946986,0.0,0.0,0.4331922919946986,0.3022569228249108,0.0451679696952138,0.0451679696952138,0.1585177032405907,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076865467922193,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__02,WDBC,mean perimeter,source units,"['Benign', 'Malignant']",Distribution detail required,1.4768872859940598,1.319795656382058,0.8181818181818182,357,212,False,16.287269345845637,12.60399052132699,12.60399052132699,1.628726934584564,0.1,37.28997119602556,36.02,15.950000000000015,Heatmap; Histogram,0.0450729528674955,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0450729528674955,0.0450729528674955,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076835260492965,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__03,WDBC,mean area,source units,"['Benign', 'Malignant']",Distribution detail required,1.7373812947859444,1.7186489188943934,0.9090909090909092,357,212,False,248.397302572926,275.2382464454976,275.2382464454976,24.8397302572926,0.1,515.5862190159085,473.6,325.55,Heatmap; Histogram,0.0448702791002772,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0448702791002772,0.0448702791002772,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076848207505728,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__04,WDBC,mean smoothness,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.4049315968406704,2.7828780645653803,0.9696969696969696,357,212,False,0.0131405302535634,0.0077258146067415,0.0077258146067415,0.0013140530253563,0.1,0.0104208435072142,0.01144,-0.000725,Bar; Dot,0.4540365624370764,0.0,0.4540365624370764,0.0,0.0,0.4540365624370764,0.3122593847819593,0.0451967377756486,0.0451967377756486,0.1612262014011723,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076843416672699,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__05,WDBC,mean compactness,source units,"['Benign', 'Malignant']",Quartile summary sufficient,1.0632148509882098,0.296330920150161,0.6565656565656566,357,212,False,0.0424242499355741,0.0388335545023696,0.0388335545023696,0.0042424249935574,0.1,0.0651031611701284,0.05706,0.02087,Box,0.0823169558635415,0.0,0.0,0.0823169558635415,0.0,0.0017574692442882,0.0,0.0451991425412474,0.0451991425412474,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076873702054553,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__06,WDBC,mean concavity,source units,"['Benign', 'Malignant']",Distribution detail required,1.511448525710038,2.680300890752601,0.7878787878787878,357,212,False,0.0572647753444237,0.0617881042654028,0.0617881042654028,0.0057264775344423,0.1,0.1147170959727287,0.1142599999999999,0.053845,Heatmap; Histogram,0.0451771640645241,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0451771640645241,0.0451771640645241,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076854281168578,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__07,WDBC,mean concave points,source units,"['Benign', 'Malignant']",Quartile summary sufficient,1.6373323002330622,0.6769363226228609,0.8484848484848485,357,212,False,0.0244664442739667,0.0206424170616113,0.0206424170616113,0.0024466444273966,0.1,0.062272593837535,0.06284,0.021065,Box,0.0810473380427892,0.0,0.0,0.0810473380427892,0.0,0.0017574692442882,0.0,0.0451700150564448,0.0451700150564448,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076825463755018,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__08,WDBC,mean symmetry,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.5802562822343659,0.4320195747175825,0.8888888888888888,357,212,False,0.0258965831928597,0.0187413480483518,0.0187413480483518,0.0025896583192859,0.1,0.0187229678663918,0.0185,0.0047999999999999,Bar; Dot,0.4366567887822096,0.0,0.4366567887822096,0.0818597903412624,0.0,0.4366567887822096,0.3039395297413687,0.0452673524785115,0.0452673524785115,0.1589792731666657,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076873733659471,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__09,WDBC,mean fractal dimension,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.7845903883082282,0.4239295818177502,0.8686868686868687,357,212,False,0.0070660037968311,0.0047261797752808,0.0047261797752808,0.0007066003796831,0.1,-0.0001873006183605,3.500000000000725e-05,0.0032474999999999,Bar; Dot,0.418008614674155,0.0,0.418008614674155,0.0818869049429657,0.0,0.418008614674155,0.2947856665667785,0.0451751537773191,0.0451751537773191,0.1564383323402399,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076858816953002,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
