key,selected,stratum
BIDMC__00,Dot; Line; Raincloud; Scatter,Distribution detail
BIDMC__01,Dot; Line; Raincloud; Scatter,Distribution detail
BIDMC__02,Dot; Line; Raincloud; Scatter,Distribution detail
BIDMC__03,Dot; Line; Raincloud; Scatter,Distribution detail
BIDMC__04,Dot; Line; Raincloud; Scatter,Distribution detail
CKD__00,Dot; Raincloud,Distribution detail
CKD__01,Dot; Raincloud,Distribution detail
CKD__02,Dot; Raincloud,Distribution detail
CKD__03,Heatmap; Histogram,Distribution detail
CKD__04,Dot; Raincloud,Distribution detail
CKD__05,Dot; Raincloud,Distribution detail
CKD__06,Dot; Raincloud,Distribution detail
CKD__07,Dot; Raincloud,Distribution detail
CKD__08,Dot; Raincloud,Distribution detail
CKD__09,Dot; Raincloud,Distribution detail
CKD__10,Dot; Raincloud,Distribution detail
Cleveland__00,Dot; Raincloud,Distribution detail
Cleveland__01,Dot; Raincloud,Distribution detail
Cleveland__02,Heatmap; Histogram,Distribution detail
Cleveland__03,Dot; Raincloud,Distribution detail
Cleveland__04,Dot; Raincloud,Distribution detail
HAR__00,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__01,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__02,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__03,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__04,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__05,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__06,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__07,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__08,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__09,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__10,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__11,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__12,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__13,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__14,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__15,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__16,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__17,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__18,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__19,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__20,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__21,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__22,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__23,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__24,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__25,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__26,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__27,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__28,Dot; Line; Raincloud; Scatter,Distribution detail
HAR__29,Dot; Line; Raincloud; Scatter,Distribution detail
