scenario,n,replicate,stratum,selected
null,40,0,Mean summary sufficient,Bar; Dot
null,40,1,Mean summary sufficient,Bar; Dot
null,40,2,Mean summary sufficient,Bar; Dot
null,40,3,Mean summary sufficient,Bar; Dot
null,40,4,Mean summary sufficient,Bar; Dot
null,40,5,Mean summary sufficient,Bar; Dot
null,40,6,Mean summary sufficient,Bar; Dot
null,40,7,Mean summary sufficient,Bar; Dot
null,40,8,Mean summary sufficient,Bar; Dot
null,40,9,Mean summary sufficient,Bar; Dot
null,40,10,Mean summary sufficient,Bar; Dot
null,40,11,Mean summary sufficient,Bar; Dot
null,40,12,Mean summary sufficient,Bar; Dot
null,40,13,Mean summary sufficient,Bar; Dot
null,40,14,Mean summary sufficient,Bar; Dot
null,40,15,Mean summary sufficient,Bar; Dot
null,40,16,Mean summary sufficient,Bar; Dot
null,40,17,Mean summary sufficient,Bar; Dot
null,40,18,Mean summary sufficient,Bar; Dot
null,40,19,Mean summary sufficient,Bar; Dot
null,160,0,Mean summary sufficient,Bar; Dot
null,160,1,Mean summary sufficient,Bar; Dot
null,160,2,Mean summary sufficient,Bar; Dot
null,160,3,Mean summary sufficient,Bar; Dot
null,160,4,Mean summary sufficient,Bar; Dot
null,160,5,Mean summary sufficient,Bar; Dot
null,160,6,Mean summary sufficient,Bar; Dot
null,160,7,Mean summary sufficient,Bar; Dot
null,160,8,Mean summary sufficient,Bar; Dot
null,160,9,Mean summary sufficient,Bar; Dot
null,160,10,Mean summary sufficient,Bar; Dot
null,160,11,Mean summary sufficient,Bar; Dot
null,160,12,Mean summary sufficient,Bar; Dot
null,160,13,Mean summary sufficient,Bar; Dot
null,160,14,Mean summary sufficient,Bar; Dot
null,160,15,Mean summary sufficient,Bar; Dot
null,160,16,Mean summary sufficient,Bar; Dot
null,160,17,Mean summary sufficient,Bar; Dot
null,160,18,Mean summary sufficient,Bar; Dot
null,160,19,Mean summary sufficient,Bar; Dot
null,640,0,Mean summary sufficient,Bar; Dot
null,640,1,Mean summary sufficient,Bar; Dot
null,640,2,Mean summary sufficient,Bar; Dot
null,640,3,Mean summary sufficient,Bar; Dot
null,640,4,Mean summary sufficient,Bar; Dot
null,640,5,Mean summary sufficient,Bar; Dot
null,640,6,Mean summary sufficient,Bar; Dot
null,640,7,Mean summary sufficient,Bar; Dot
null,640,8,Mean summary sufficient,Bar; Dot
null,640,9,Mean summary sufficient,Bar; Dot
null,640,10,Mean summary sufficient,Bar; Dot
null,640,11,Mean summary sufficient,Bar; Dot
null,640,12,Mean summary sufficient,Bar; Dot
null,640,13,Mean summary sufficient,Bar; Dot
null,640,14,Mean summary sufficient,Bar; Dot
null,640,15,Mean summary sufficient,Bar; Dot
null,640,16,Mean summary sufficient,Bar; Dot
null,640,17,Mean summary sufficient,Bar; Dot
null,640,18,Mean summary sufficient,Bar; Dot
null,640,19,Mean summary sufficient,Bar; Dot
location,40,0,Mean summary sufficient,Bar; Dot
location,40,1,Mean summary sufficient,Bar; Dot
location,40,2,Mean summary sufficient,Bar; Dot
location,40,3,Mean summary sufficient,Bar; Dot
location,40,4,Mean summary sufficient,Bar; Dot
location,40,5,Mean summary sufficient,Bar; Dot
location,40,6,Mean summary sufficient,Bar; Dot
location,40,7,Mean summary sufficient,Bar; Dot
location,40,8,Mean summary sufficient,Bar; Dot
location,40,9,Mean summary sufficient,Bar; Dot
location,40,10,Mean summary sufficient,Bar; Dot
location,40,11,Mean summary sufficient,Bar; Dot
location,40,12,Mean summary sufficient,Bar; Dot
location,40,13,Mean summary sufficient,Bar; Dot
location,40,14,Mean summary sufficient,Bar; Dot
location,40,15,Mean summary sufficient,Bar; Dot
location,40,16,Mean summary sufficient,Bar; Dot
location,40,17,Mean summary sufficient,Bar; Dot
location,40,18,Mean summary sufficient,Bar; Dot
location,40,19,Mean summary sufficient,Bar; Dot
location,160,0,Mean summary sufficient,Bar; Dot
location,160,1,Mean summary sufficient,Bar; Dot
location,160,2,Mean summary sufficient,Bar; Dot
location,160,3,Mean summary sufficient,Bar; Dot
location,160,4,Mean summary sufficient,Bar; Dot
location,160,5,Mean summary sufficient,Bar; Dot
location,160,6,Mean summary sufficient,Bar; Dot
location,160,7,Mean summary sufficient,Bar; Dot
location,160,8,Mean summary sufficient,Bar; Dot
location,160,9,Mean summary sufficient,Bar; Dot
location,160,10,Mean summary sufficient,Bar; Dot
location,160,11,Mean summary sufficient,Bar; Dot
location,160,12,Mean summary sufficient,Bar; Dot
location,160,13,Mean summary sufficient,Bar; Dot
location,160,14,Mean summary sufficient,Bar; Dot
location,160,15,Mean summary sufficient,Bar; Dot
location,160,16,Mean summary sufficient,Bar; Dot
location,160,17,Mean summary sufficient,Bar; Dot
location,160,18,Mean summary sufficient,Bar; Dot
location,160,19,Mean summary sufficient,Bar; Dot
location,640,0,Mean summary sufficient,Bar; Dot
location,640,1,Mean summary sufficient,Bar; Dot
location,640,2,Mean summary sufficient,Bar; Dot
location,640,3,Mean summary sufficient,Bar; Dot
location,640,4,Mean summary sufficient,Bar; Dot
location,640,5,Mean summary sufficient,Bar; Dot
location,640,6,Mean summary sufficient,Bar; Dot
location,640,7,Mean summary sufficient,Bar; Dot
location,640,8,Mean summary sufficient,Bar; Dot
location,640,9,Mean summary sufficient,Bar; Dot
location,640,10,Mean summary sufficient,Bar; Dot
location,640,11,Mean summary sufficient,Bar; Dot
location,640,12,Mean summary sufficient,Bar; Dot
location,640,13,Mean summary sufficient,Bar; Dot
location,640,14,Mean summary sufficient,Bar; Dot
location,640,15,Mean summary sufficient,Bar; Dot
location,640,16,Mean summary sufficient,Bar; Dot
location,640,17,Mean summary sufficient,Bar; Dot
location,640,18,Mean summary sufficient,Bar; Dot
location,640,19,Mean summary sufficient,Bar; Dot
spread,40,0,Mean summary sufficient,Bar; Dot
spread,40,1,Mean summary sufficient,Bar; Dot
spread,40,2,Mean summary sufficient,Bar; Dot
spread,40,3,Mean summary sufficient,Bar; Dot
spread,40,4,Mean summary sufficient,Bar; Dot
spread,40,5,Mean summary sufficient,Bar; Dot
spread,40,6,Mean summary sufficient,Bar; Dot
spread,40,7,Mean summary sufficient,Bar; Dot
spread,40,8,Mean summary sufficient,Bar; Dot
spread,40,9,Mean summary sufficient,Bar; Dot
spread,40,10,Mean summary sufficient,Bar; Dot
spread,40,11,Mean summary sufficient,Bar; Dot
spread,40,12,Mean summary sufficient,Bar; Dot
spread,40,13,Mean summary sufficient,Bar; Dot
spread,40,14,Mean summary sufficient,Bar; Dot
spread,40,15,Mean summary sufficient,Bar; Dot
spread,40,16,Mean summary sufficient,Bar; Dot
spread,40,17,Mean summary sufficient,Bar; Dot
spread,40,18,Mean summary sufficient,Bar; Dot
spread,40,19,Mean summary sufficient,Bar; Dot
spread,160,0,Quartile summary sufficient,Box
spread,160,1,Distribution detail required,Heatmap; Histogram
spread,160,2,Mean summary sufficient,Bar; Dot
spread,160,3,Mean summary sufficient,Bar; Dot
spread,160,4,Quartile summary sufficient,Box
spread,160,5,Mean summary sufficient,Bar; Dot
spread,160,6,Quartile summary sufficient,Box
spread,160,7,Quartile summary sufficient,Box
spread,160,8,Quartile summary sufficient,Box
spread,160,9,Mean summary sufficient,Bar; Dot
spread,160,10,Quartile summary sufficient,Box
spread,160,11,Quartile summary sufficient,Box
spread,160,12,Quartile summary sufficient,Box
spread,160,13,Quartile summary sufficient,Box
spread,160,14,Mean summary sufficient,Bar; Dot
spread,160,15,Quartile summary sufficient,Box
spread,160,16,Quartile summary sufficient,Box
spread,160,17,Mean summary sufficient,Bar; Dot
spread,160,18,Quartile summary sufficient,Box
spread,160,19,Mean summary sufficient,Bar; Dot
spread,640,0,Distribution detail required,Heatmap; Histogram
spread,640,1,Distribution detail required,Heatmap; Histogram
spread,640,2,Quartile summary sufficient,Box
spread,640,3,Distribution detail required,Heatmap; Histogram
spread,640,4,Distribution detail required,Heatmap; Histogram
spread,640,5,Distribution detail required,Heatmap; Histogram
spread,640,6,Distribution detail required,Heatmap; Histogram
spread,640,7,Distribution detail required,Heatmap; Histogram
spread,640,8,Distribution detail required,Heatmap; Histogram
spread,640,9,Distribution detail required,Heatmap; Histogram
spread,640,10,Quartile summary sufficient,Box
spread,640,11,Quartile summary sufficient,Box
spread,640,12,Distribution detail required,Heatmap; Histogram
spread,640,13,Quartile summary sufficient,Box
spread,640,14,Distribution detail required,Heatmap; Histogram
spread,640,15,Quartile summary sufficient,Box
spread,640,16,Distribution detail required,Heatmap; Histogram
spread,640,17,Distribution detail required,Heatmap; Histogram
spread,640,18,Distribution detail required,Heatmap; Histogram
spread,640,19,Distribution detail required,Heatmap; Histogram
shape,40,0,Mean summary sufficient,Bar; Dot
shape,40,1,Mean summary sufficient,Bar; Dot
shape,40,2,Mean summary sufficient,Bar; Dot
shape,40,3,Mean summary sufficient,Bar; Dot
shape,40,4,Mean summary sufficient,Bar; Dot
shape,40,5,Mean summary sufficient,Bar; Dot
