key,dataset,feature,paired,n_x,n_y,missing_x,missing_y,source_rows
WDBC__00,WDBC,mean radius,False,357,212,0,0,569
WDBC__01,WDBC,mean texture,False,357,212,0,0,569
WDBC__02,WDBC,mean perimeter,False,357,212,0,0,569
WDBC__03,WDBC,mean area,False,357,212,0,0,569
WDBC__04,WDBC,mean smoothness,False,357,212,0,0,569
WDBC__05,WDBC,mean compactness,False,357,212,0,0,569
WDBC__06,WDBC,mean concavity,False,357,212,0,0,569
WDBC__07,WDBC,mean concave points,False,357,212,0,0,569
WDBC__08,WDBC,mean symmetry,False,357,212,0,0,569
WDBC__09,WDBC,mean fractal dimension,False,357,212,0,0,569
WDBC__10,WDBC,radius error,False,357,212,0,0,569
WDBC__11,WDBC,texture error,False,357,212,0,0,569
WDBC__12,WDBC,perimeter error,False,357,212,0,0,569
WDBC__13,WDBC,area error,False,357,212,0,0,569
WDBC__14,WDBC,smoothness error,False,357,212,0,0,569
WDBC__15,WDBC,compactness error,False,357,212,0,0,569
WDBC__16,WDBC,concavity error,False,357,212,0,0,569
WDBC__17,WDBC,concave points error,False,357,212,0,0,569
WDBC__18,WDBC,symmetry error,False,357,212,0,0,569
WDBC__19,WDBC,fractal dimension error,False,357,212,0,0,569
WDBC__20,WDBC,worst radius,False,357,212,0,0,569
WDBC__21,WDBC,worst texture,False,357,212,0,0,569
WDBC__22,WDBC,worst perimeter,False,357,212,0,0,569
WDBC__23,WDBC,worst area,False,357,212,0,0,569
WDBC__24,WDBC,worst smoothness,False,357,212,0,0,569
WDBC__25,WDBC,worst compactness,False,357,212,0,0,569
WDBC__26,WDBC,worst concavity,False,357,212,0,0,569
WDBC__27,WDBC,worst concave points,False,357,212,0,0,569
WDBC__28,WDBC,worst symmetry,False,357,212,0,0,569
WDBC__29,WDBC,worst fractal dimension,False,357,212,0,0,569
Cleveland__00,Cleveland,age,False,164,139,0,0,303
Cleveland__01,Cleveland,trestbps,False,164,139,0,0,303
Cleveland__02,Cleveland,chol,False,164,139,0,0,303
Cleveland__03,Cleveland,thalach,False,164,139,0,0,303
Cleveland__04,Cleveland,oldpeak,False,164,139,0,0,303
HeartFailure__00,HeartFailure,age,False,203,96,0,0,299
