subject,activity,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std()
1,1,0.28111697,-0.018079718,-0.11667518,-0.28354284,0.12280051,-0.26290057,0.93547823,-0.29215241,-0.07477011,-0.98081539,-0.97813557,-0.9604447,0.10305991,0.03298224,-0.018248447,-0.12475952,0.064997322,-0.50771295,-0.031907167,-0.088300488,0.095624123,-0.48169764,-0.061530134,-0.34813109,-0.095098173,-0.068501754,-0.059599967,-0.20600776,-0.31751946,-0.40483479,-0.12980293,-0.22709309,-0.12980293,-0.22709309,-0.14261311,-0.089638008,-0.16295412,-0.19787858,-0.2998284,-0.34550214
1,2,0.26001212,-0.021954576,-0.10683037,-0.35712019,0.0012200422,-0.017909026,0.8950979,-0.36604115,-0.074466305,-0.96667661,-0.96939257,-0.92143271,0.096766961,0.013785748,-0.021435044,-0.44118742,-0.37666166,-0.71030832,0.093609178,-0.18502227,0.061595964,-0.5893452,0.0065099818,-0.54632096,-0.12121225,-0.028408846,-0.024690708,-0.61138333,-0.59734456,-0.60070987,-0.13258213,-0.32439212,-0.13258213,-0.32439212,-0.46366681,-0.47897137,-0.13508638,-0.20028901,-0.58606799,-0.64489902
1,3,0.28134949,-0.0075220252,-0.1095915,0.026284824,-0.03574553,-0.23035782,0.93203802,-0.26803107,-0.051933496,-0.95714561,-0.94146904,-0.89979118,0.05093887,0.030894841,0.013159109,-0.018679711,-0.12235991,-0.33837871,-0.073423786,-0.098699586,0.099219275,-0.39244675,-0.13965682,-0.12087797,-0.075669852,-0.018155334,-0.019976938,-0.48668696,-0.25649015,-0.28690586,0.027670965,0.012738503,0.027670965,0.012738503,-0.10010991,-0.029108804,-0.066701101,-0.21352886,-0.30164164,-0.34730564
1,4,0.27727452,-0.015873588,-0.10949351,-0.99584854,-0.98192492,-0.99072156,0.87410872,0.1456773,0.32520586,-0.9956679,-0.98811386,-0.99381054,0.075451243,0.0099012407,-0.00060033363,-0.99396693,-0.99050354,-0.99252449,-0.028211664,-0.074553856,0.086518022,-0.99735086,-0.99424221,-0.98448174,-0.097585544,-0.03994669,-0.055327731,-0.99824451,-0.99603909,-0.9953921,-0.99223301,-0.99395981,-0.99223301,-0.99395981,-0.99352627,-0.99477566,-0.98533998,-0.98688986,-0.99721137,-0.9970187
1,5,0.27796276,-0.016979698,-0.11033551,-0.99732847,-0.98394066,-0.99040744,0.94489486,-0.29262334,-0.0049576372,-0.99812719,-0.99113831,-0.99126992,0.075779115,0.0097634661,-0.00053427358,-0.99527281,-0.98755275,-0.99249984,-0.027372739,-0.074796836,0.088998758,-0.99088198,-0.99289135,-0.99220528,-0.097980589,-0.040967713,-0.054341093,-0.9946724,-0.99694746,-0.99451099,-0.99161808,-0.99167203,-0.99161808,-0.99167203,-0.99325987,-0.99456104,-0.9882832,-0.98949314,-0.99680193,-0.99690792
1,6,0.27806494000000004,-0.0176645035,-0.1081825,-0.988714695,-0.98603146,-0.98643228,-0.208675215,0.77280839,0.5442067500000001,-0.9885396200000001,-0.988951675,-0.986661095,0.0753793745,0.0111022745,-0.00153414725,-0.9913398200000001,-0.98927464,-0.991957715,-0.02769875,-0.0745562315,0.086943931,-0.9768423399999999,-0.992602475,-0.97451677,-0.09887136299999999,-0.0400846985,-0.057130306,-0.993746415,-0.99626774,-0.994051515,-0.98189317,-0.986077485,-0.98189317,-0.986077485,-0.99125267,-0.993293945,-0.969165675,-0.965152985,-0.99585987,-0.99665375
2,1,0.26780915,-0.016486852,-0.11018469,-0.42055075,-0.086491221,-0.42346766,0.91330906,-0.34693153,0.034632273,-0.97256191,-0.97871306,-0.97486463,0.059344519,0.0097203334,-0.0050209134,-0.28269406,-0.053523732,-0.58397619,-0.029189189,-0.07647036,0.087446841,-0.56562245,-0.54368081,-0.47679889,-0.0957022,-0.061178372,-0.066830094,-0.41089026,-0.64991204,-0.45322615,-0.29734115,-0.43464859,-0.29734115,-0.43464859,-0.29130408,-0.19050464,-0.46148716,-0.55519019,-0.55917481,-0.57280162
2,2,0.25312469,-0.014387314,-0.129096195,-0.31965878999999997,0.0953882105,-0.204455785,0.82743932,-0.43160381999999997,-0.0897692705,-0.95612155,-0.949818575,-0.931207135,0.0577460625,-0.032040032999999996,0.056345213500000005,-0.30046433,-0.244985215,-0.615807875,-0.025482091,-0.045205614500000005,0.050352701,-0.402861035,-0.46313247,-0.21943787,-0.0686227655,-0.0503856295,-0.023256375000000003,-0.459762185,-0.66043564,-0.47760992,-0.10511447,-0.21678225,-0.10511447,-0.21678225,-0.32827487,-0.25235321499999996,-0.21777438999999998,-0.39662506,-0.5777388649999999,-0.598271045
2,3,0.27873663,-0.018153403,-0.1260511,0.056146545,0.26128485,-0.15395808,0.86875544,-0.33234194,0.024746154,-0.94737856,-0.94220621,-0.936338,0.068800214,-0.013227115,0.0077113564,0.15750824,0.093298737,-0.32605422,-0.11269568,0.019575582,0.068691573,-0.326839,-0.41249567,-0.27252004,-0.081117114,-0.039552477,-0.066792333,-0.25752405,-0.49218321,-0.21992792,0.094583508,0.232446,0.094583508,0.232446,0.0039954428,0.19109367,-0.1336128,-0.24231799,-0.42150307,-0.38207988
2,4,0.27617497,-0.0154911725,-0.105193445,-0.9950791999999999,-0.97567974,-0.979514725,0.954288975,-0.12583398,0.17322210999999998,-0.99682267,-0.990321075,-0.98620911,0.076142767,0.01011690365,-0.0006574200049999999,-0.99222169,-0.98211649,-0.990656025,-0.0279965415,-0.074818468,0.0876008915,-0.992962005,-0.983881985,-0.975642185,-0.09744692099999999,-0.042771931,-0.0527143085,-0.992967105,-0.993027705,-0.98821203,-0.98439197,-0.9839656400000001,-0.98439197,-0.9839656400000001,-0.98962909,-0.9915193,-0.982594745,-0.97942968,-0.9924122449999999,-0.99283734
2,5,0.277432005,-0.0185121125,-0.109954355,-0.99439743,-0.97195858,-0.977238295,0.890332185,-0.38030765,0.136161695,-0.99562034,-0.98357394,-0.981221825,0.0753320855,0.0108735155,0.000645912685,-0.99147914,-0.9814051500000001,-0.988275945,-0.027296844,-0.07791543249999999,0.0856831415,-0.98526545,-0.9846186299999999,-0.97847851,-0.09896500350000001,-0.0401724315,-0.052304682,-0.989360845,-0.99251088,-0.989217335,-0.9814585650000001,-0.98034593,-0.9814585650000001,-0.98034593,-0.988474925,-0.990262055,-0.981738905,-0.978848235,-0.991605285,-0.99165606
2,6,0.28013637999999996,-0.017627091,-0.107825015,-0.988919415,-0.989997665,-0.99031047,-0.49866804,0.76824702,0.63786782,-0.9821439,-0.9955045899999999,-0.9925943150000001,0.07741579300000001,0.012634741500000001,-0.00105438295,-0.991110675,-0.988286105,-0.9904207,-0.027854636000000002,-0.0748041455,0.08512449799999999,-0.99537465,-0.9891457,-0.9829511,-0.0986622885,-0.0377933605,-0.056053155,-0.9959795149999999,-0.99368818,-0.9923563200000001,-0.98914397,-0.98848705,-0.98914397,-0.98848705,-0.991393405,-0.99276029,-0.985160485,-0.9887138799999999,-0.9946823499999999,-0.995345385
3,1,0.26922953,-0.0188662285,-0.11360690500000001,-0.347835855,-0.070385767,-0.38059687,0.93789308,-0.261121995,-0.13466186,-0.983375235,-0.96460954,-0.959090215,0.11274584,0.017358899,0.0233504115,-0.25453950999999997,-0.037732052,-0.52738895,-0.0337567215,-0.06765049249999999,0.081140042,-0.5782685750000001,-0.56976569,-0.47570323999999997,-0.084683362,-0.039509761000000004,-0.0290304705,-0.37953086999999996,-0.65168632,-0.53714431,-0.241401095,-0.32690318500000004,-0.241401095,-0.32690318500000004,-0.262496055,-0.11963222000000001,-0.46511421,-0.5738794,-0.55761694,-0.57020111
3,2,0.26812381,-0.021686009,-0.11035526,-0.31659004,0.021226512,-0.36882095,0.87938151,-0.38715793,-0.16026484,-0.95702882,-0.93726352,-0.9177667,0.05198836,0.032915142,-0.0089552896,-0.45684431,-0.25094921,-0.70072165,0.072562639,-0.13875806,0.037977092,-0.46447703,-0.58809509,-0.51496056,-0.10198418,-0.03539547,-0.010554975,-0.50723477,-0.76736187,-0.57211276,-0.18153517,-0.33431866,-0.18153517,-0.33431866,-0.43584112,-0.43866185,-0.3497794,-0.47530997,-0.65692039,-0.71049062
3,3,0.29480972,-0.016522642,-0.11660425,-0.089973058,-0.081178636,-0.36335291,0.9412991,-0.23298304,-0.10326493,-0.95136186,-0.95179047,-0.91471731,0.10123714,0.020611052,-0.0030807857,-0.14453871,-0.15908976,-0.57215379,-0.106919,-0.0064460229,0.12853727,-0.2776826,-0.55358679,-0.45183238,-0.072258429,-0.059166533,-0.04890889,-0.32521365,-0.68453264,-0.37457968,-0.0822611,-0.075078435,-0.0822611,-0.075078435,-0.25350505,-0.13705207,-0.22387944,-0.32969262,-0.52689527,-0.59631252
