participant,statistic,x,y
s1,SD,4.779954469216725,3.892654537274274
s1,mean,75.6527578874345,88.43865611111625
s1,median,76.3537178199573,88.55938380021566
s1,q10,68.65233981757024,83.93917055509282
s1,q90,80.71740969219667,93.81079202415714
s2,SD,5.335845962543513,2.540592951943719
s2,mean,97.57866662832161,107.6487663912406
s2,median,98.67330803666653,107.79145456467995
s2,q10,89.79130662856096,104.43563402017482
s2,q90,103.95734957399613,110.62211293357444
s3,SD,4.230204491057402,2.292783358504698
s3,mean,109.24949503081181,112.36696661115649
s3,median,109.97067686847882,112.28859549913588
s3,q10,105.36848495512154,109.78473035686362
s3,q90,112.80549136844505,115.2328689652382
s4,SD,3.859802366430698,2.495068802044567
s4,mean,177.65542435373803,170.47194721695953
s4,median,178.6046511627907,170.66666666666666
s4,q10,173.18126966666293,167.72847124824685
s4,q90,180.92100840336136,173.56486210418794
s5,SD,3.155638618537352,2.056377720873568
s5,mean,121.34236654093533,127.32043457684921
s5,median,121.21084249084251,127.20661157024793
s5,q10,117.52225127586111,124.57922637396652
s5,q90,124.7384640466394,130.17884076707605
s6,SD,5.011320806848462,2.888809859891547
s6,mean,97.25124698373402,102.53676716329203
s6,median,97.37698183359304,102.62695335764704
s6,q10,89.97775897132732,99.09533671216263
s6,q90,102.7772821542347,106.020658274928
s8,SD,6.945068014168711,3.098144142202818
s8,mean,82.6315179791977,80.5948109677224
s8,median,82.75708722560066,80.21237413382244
s8,q10,75.0924023014966,77.69024140610458
s8,q90,86.77360065813534,84.732828193333
s9,SD,2.273296760803189,3.0093623487825316
s9,mean,102.58593360783783,102.73467886547857
s9,median,102.40455131339168,103.08724832214764
s9,q10,100.0035420619861,99.04564275489716
s9,q90,104.92114031840059,106.08219178082193
