participant,record,statistic,x,y
s1,s1_high_resistance_bike,mean,91.2721294835176,121.50833158043804
s1,s1_high_resistance_bike,median,93.51662971175166,121.66479190101236
s1,s1_high_resistance_bike,q10,80.82227573121979,114.54195688225539
s1,s1_high_resistance_bike,q90,96.97101279513934,130.16949152542372
s1,s1_high_resistance_bike,SD,5.93270571802445,5.946916106699554
s1,s1_low_resistance_bike,mean,78.97693729245698,85.51392896707222
s1,s1_low_resistance_bike,median,79.17736149860502,86.05109534869123
s1,s1_low_resistance_bike,q10,73.35480827549026,82.06322179227281
s1,s1_low_resistance_bike,q90,84.86187845303867,89.30232558139535
s1,s1_low_resistance_bike,SD,4.715194181773233,3.2512513926343276
s1,s1_walk,mean,56.709206886328936,58.29370778583846
s1,s1_walk,median,56.36716224951519,57.9622641509434
s1,s1_walk,q10,51.779935446000664,55.212332990750255
s1,s1_walk,q90,60.319337828411996,61.960558965652346
s1,s1_walk,SD,3.6919635078524906,2.4797961124889394
s2,s2_high_resistance_bike,mean,108.12692580413034,122.38249929761416
s2,s2_high_resistance_bike,median,109.91161356628983,122.39238095238096
s2,s2_high_resistance_bike,q10,95.6280295601431,119.53488372093022
s2,s2_high_resistance_bike,q90,116.9006993006993,125.90163934426228
s2,s2_high_resistance_bike,SD,7.790190241130929,2.7479944924413755
s2,s2_low_resistance_bike,mean,101.24204285235739,113.89156072117525
s2,s2_low_resistance_bike,median,102.75281904420976,114.20232172470978
s2,s2_low_resistance_bike,q10,93.49458142501621,110.74499131256721
s2,s2_low_resistance_bike,q90,107.79498138254816,116.18865345181135
s2,s2_low_resistance_bike,SD,5.489366663225487,2.175451613475846
s2,s2_walk,mean,83.36703122847713,86.6722391549324
s2,s2_walk,median,83.35549149949998,86.77966101694915
s2,s2_walk,q10,80.25130890052355,83.02702702702703
s2,s2_walk,q90,87.17636803874092,89.77604600464971
s2,s2_walk,SD,2.727980983274125,2.698332749913937
s3,s3_high_resistance_bike,mean,124.23155643611642,130.04960715464784
s3,s3_high_resistance_bike,median,124.8780487804878,129.62256088876228
s3,s3_high_resistance_bike,q10,117.44845005740528,127.36528925619834
s3,s3_high_resistance_bike,q90,130.84863669859985,133.2218101475578
s3,s3_high_resistance_bike,SD,6.248267392435174,2.7235677288712683
s3,s3_low_resistance_bike,mean,105.8980961090192,109.35606972671435
s3,s3_low_resistance_bike,median,106.66666666666669,109.13069908814589
s3,s3_low_resistance_bike,q10,102.72037518662329,105.93103448275862
s3,s3_low_resistance_bike,q90,108.93617021276596,112.9417871284767
s3,s3_low_resistance_bike,SD,3.1825251482819494,2.417437368167743
s3,s3_run,mean,109.54703585969169,111.46737311260283
s3,s3_run,median,110.50359712230215,111.30434782608695
s3,s3_run,q10,107.4125874125874,109.71428571428572
s3,s3_run,q90,112.11678832116787,113.77777777777776
s3,s3_run,SD,4.242622229309557,1.7983186818807038
s3,s3_walk,mean,97.32129171841993,98.59481645066093
s3,s3_walk,median,97.8343949044586,99.09677419354838
s3,s3_walk,q10,93.8925271638702,96.12831197421181
s3,s3_walk,q90,99.32037024124654,100.99010080714056
s3,s3_walk,SD,3.247403194202928,2.231809655099077
s4,s4_run,mean,177.65542435373803,170.47194721695953
s4,s4_run,median,178.6046511627907,170.66666666666666
s4,s4_run,q10,173.18126966666293,167.72847124824685
s4,s4_run,q90,180.92100840336136,173.56486210418794
s4,s4_run,SD,3.859802366430698,2.495068802044567
s5,s5_low_resistance_bike,mean,119.8112049884934,127.0700141780987
s5,s5_low_resistance_bike,median,120.02930402930404,126.94214876033058
s5,s5_low_resistance_bike,q10,115.509618830792,125.28748500599758
s5,s5_low_resistance_bike,q90,123.57528874901652,129.07563025210084
s5,s5_low_resistance_bike,SD,3.468818336942958,1.5071715024516228
s5,s5_run,mean,122.87352809337725,127.57085497559973
s5,s5_run,median,122.39238095238096,127.47107438016528
s5,s5_run,q10,119.53488372093022,123.87096774193547
s5,s5_run,q90,125.90163934426228,131.28205128205127
s5,s5_run,SD,2.842458900131746,2.605583939295513
s6,s6_low_resistance_bike,mean,107.40281524835362,119.72853476725341
s6,s6_low_resistance_bike,median,108.16901408450704,120.0
s6,s6_low_resistance_bike,q10,94.99221097407279,117.97345860246624
s6,s6_low_resistance_bike,q90,114.11996658312447,121.9047619047619
s6,s6_low_resistance_bike,SD,7.314165396425324,1.7262448509631474
s6,s6_run,mean,92.42418316121916,96.8178517251175
s6,s6_run,median,92.53012048192772,97.52479238893817
s6,s6_run,q10,86.05109534869123,92.53012048192772
s6,s6_run,q90,99.09677419354838,100.7483870967742
