A,B
-0.99072156,-0.26290057
-0.979514725,-0.42346766
-0.969447045,-0.38059687
-0.960513105,-0.589490635
-0.95917301,-0.454505365
-0.94558059,-0.50979033
-0.954094675,0.14363687
-0.97953258,-0.0613632775
-0.942473815,-0.053533988500000004
-0.99099092,-0.41188386
-0.98313287,-0.54695202
-0.95952227,-0.349846995
-0.98429571,-0.16706745
-0.9654008000000001,0.042685324
-0.98109882,-0.50716276
-0.98358673,-0.16055661
-0.984645295,-0.25149426
-0.98726026,-0.49866040500000003
-0.96736981,-0.172310985
-0.961325625,-0.23231691
-0.98187317,-0.164151775
-0.94773496,-0.22012038
-0.9650950300000001,0.1633969
-0.97314414,-0.287245645
-0.98101663,-0.43732753
-0.9800538050000001,-0.33103289
-0.98103371,-0.29599544
-0.95897036,-0.31363108
-0.985187315,-0.24629493
-0.980558005,-0.13291168
