record,participant,time_s,hr_5s
s1_high_resistance_bike,s1,2.5,73.84615384615384
s1_high_resistance_bike,s1,7.5,80.64380994377687
s1_high_resistance_bike,s1,12.5,83.93442622950819
s1_high_resistance_bike,s1,17.5,80.0
s1_high_resistance_bike,s1,22.5,86.77966101694915
s1_high_resistance_bike,s1,27.5,80.84210526315789
s1_high_resistance_bike,s1,32.5,86.29213483146067
s1_high_resistance_bike,s1,37.5,79.58549222797927
s1_high_resistance_bike,s1,42.5,86.29213483146067
s1_high_resistance_bike,s1,47.5,89.30232558139535
s1_high_resistance_bike,s1,52.5,91.43181093434433
s1_high_resistance_bike,s1,57.5,92.53012048192771
s1_high_resistance_bike,s1,62.5,95.70929419986024
s1_high_resistance_bike,s1,67.5,95.70186335403727
s1_high_resistance_bike,s1,72.5,96.00375014649009
s1_high_resistance_bike,s1,77.5,90.3529411764706
s1_high_resistance_bike,s1,82.5,93.94583270986084
s1_high_resistance_bike,s1,87.5,93.65853658536585
s1_high_resistance_bike,s1,92.5,94.81842777121517
s1_high_resistance_bike,s1,97.5,93.66201896263246
s1_high_resistance_bike,s1,102.5,96.30188679245283
s1_high_resistance_bike,s1,107.5,94.23312883435582
s1_high_resistance_bike,s1,112.5,88.78612716763006
s1_high_resistance_bike,s1,117.5,93.0909090909091
s1_high_resistance_bike,s1,122.5,93.65853658536585
s1_high_resistance_bike,s1,127.5,97.52479238893817
s1_high_resistance_bike,s1,132.5,96.60377358490567
s1_high_resistance_bike,s1,137.5,94.81481481481481
s1_high_resistance_bike,s1,142.5,94.23312883435582
s1_high_resistance_bike,s1,147.5,93.37472283813747
s1_high_resistance_bike,s1,152.5,93.09432853364677
s1_high_resistance_bike,s1,157.5,98.14796668299854
s1_high_resistance_bike,s1,162.5,87.77142857142857
s1_high_resistance_bike,s1,167.5,96.9094817291617
s1_high_resistance_bike,s1,172.5,88.85569485196052
s1_high_resistance_bike,s1,177.5,92.53012048192771
s1_high_resistance_bike,s1,182.5,97.52479238893817
s1_high_resistance_bike,s1,187.5,96.60377358490567
s1_high_resistance_bike,s1,192.5,93.65853658536585
s1_high_resistance_bike,s1,197.5,97.8343949044586
s1_high_resistance_bike,s1,202.5,92.53012048192771
s1_high_resistance_bike,s1,207.5,96.63817663817665
s1_high_resistance_bike,s1,212.5,101.72185430463576
s1_high_resistance_bike,s1,217.5,90.3529411764706
s1_high_resistance_bike,s1,222.5,97.23076923076923
s1_high_resistance_bike,s1,227.5,100.3921568627451
s1_high_resistance_bike,s1,232.5,102.4
s1_high_resistance_bike,s1,237.5,103.08724832214764
s1_high_resistance_bike,s1,242.5,98.46153846153847
s1_high_resistance_bike,s1,247.5,101.05263157894737
s1_high_resistance_bike,s1,252.5,103.08724832214764
s1_high_resistance_bike,s1,257.5,105.20547945205479
s1_high_resistance_bike,s1,262.5,103.78378378378379
s1_high_resistance_bike,s1,267.5,107.41258741258741
s1_high_resistance_bike,s1,272.5,105.21041520056298
s1_high_resistance_bike,s1,277.5,108.16901408450704
s1_high_resistance_bike,s1,282.5,105.93103448275862
s1_high_resistance_bike,s1,287.5,108.93617021276596
s1_high_resistance_bike,s1,292.5,107.41258741258741
s1_high_resistance_bike,s1,297.5,107.41258741258741
s1_high_resistance_bike,s1,302.5,100.3921568627451
s1_high_resistance_bike,s1,307.5,99.41851696690406
s1_high_resistance_bike,s1,312.5,105.20547945205479
s1_high_resistance_bike,s1,317.5,107.41258741258741
s1_high_resistance_bike,s1,322.5,110.50359712230215
s1_high_resistance_bike,s1,327.5,109.71428571428571
s1_high_resistance_bike,s1,332.5,111.30434782608695
s1_high_resistance_bike,s1,337.5,112.11678832116789
s1_high_resistance_bike,s1,342.5,110.10894141829394
s1_high_resistance_bike,s1,347.5,107.41258741258741
s1_high_resistance_bike,s1,352.5,110.50359712230215
s1_high_resistance_bike,s1,357.5,112.11678832116789
s1_high_resistance_bike,s1,362.5,107.41258741258741
s1_high_resistance_bike,s1,367.5,111.30434782608695
s1_high_resistance_bike,s1,372.5,109.71428571428571
s1_high_resistance_bike,s1,377.5,112.11678832116789
s1_high_resistance_bike,s1,382.5,112.11678832116789
s1_high_resistance_bike,s1,387.5,112.52898239587806
s1_high_resistance_bike,s1,392.5,113.77777777777777
s1_high_resistance_bike,s1,397.5,110.50359712230215
s1_high_resistance_bike,s1,402.5,114.6268656716418
s1_high_resistance_bike,s1,407.5,108.16901408450704
s1_high_resistance_bike,s1,412.5,111.30434782608695
s1_high_resistance_bike,s1,417.5,114.6268656716418
s1_high_resistance_bike,s1,422.5,114.6268656716418
s1_high_resistance_bike,s1,427.5,116.80777238029145
