family,setting,loss,score,failed_placements,tied_best
Dot plot,raw,0.02356525931438103,97.69772771203998,0,True
Heatmap,64,0.02747278443703836,97.32617886788204,0,False
Heatmap,32,0.035974833617188305,96.5274413576651,0,False
Histogram,64,0.04502076284261957,95.69187862639627,0,False
Histogram,32,0.05603435366907611,94.6938891263915,0,False
Violin plot,256,0.07636506334720557,92.90528223670408,0,False
Violin plot,128,0.07701382799034404,92.8493185520145,0,False
Violin plot,64,0.07898375595704862,92.67980119988084,0,False
Violin plot,32,0.08274175369569557,92.35812663423432,0,False
Violin plot,16,0.09267310495282963,91.51867978329803,0,False
Heatmap,16,0.09483093622080054,91.33830319518158,0,False
Histogram,16,0.10702413584851664,90.33226716719375,0,False
Heatmap,8,0.4046976536618177,71.18969675738855,0,False
Histogram,8,0.42924216539559146,69.96714931952879,0,False
Interval plot,five,0.6015597292268802,62.439132412671825,0,False
Box plot,five,0.6042277300052464,62.335289516328814,0,False
Violin plot,8,0.6057256332054605,62.27713996218213,0,False
Dot plot,means,0.6592233961585435,60.26915979579444,0,False
Bar chart,means,0.6620581531180176,60.16636650913821,0,False
Heatmap,4,1.2531074157049362,44.38314804832006,0,False
Histogram,4,1.2847785439758939,43.767918017114866,0,False
