family,setting,phase,loss,error,recovered_target
Bar chart,means,0.0,0.6648929100774916,,"[521.0680268155598, 521.0680268155598, 521.0680268155598, 521.0680268155598, 521.0680268155598]"
Bar chart,means,0.25,0.6648929100774916,,"[521.0680268155598, 521.0680268155598, 521.0680268155598, 521.0680268155598, 521.0680268155598]"
Bar chart,means,0.5,0.6535538822395954,,"[506.9851071718962, 506.9851071718962, 506.9851071718962, 506.9851071718962, 506.9851071718962]"
Bar chart,means,0.75,0.6648929100774917,,"[521.06802681556, 521.06802681556, 521.06802681556, 521.06802681556, 521.06802681556]"
Box plot,five,0.0,0.674246277578061,,"[138.0126125079051, 323.9071518042671, 471.77780806273677, 661.8972232521978, 1413.9251322238442]"
Box plot,five,0.25,0.38048194446675876,,"[264.7588893008791, 323.90715180426696, 464.84006915492273, 661.8972232521978, 1168.8823304240943]"
Box plot,five,0.5,0.6797655072824064,,"[129.56286072170678, 323.90715180426696, 471.7778080627369, 647.8143036085341, 1416.7417161525768]"
Box plot,five,0.75,0.6824171906937595,,"[129.56286072170678, 323.90715180426696, 478.7155469705506, 647.8143036085341, 1416.7417161525768]"
Interval plot,five,0.0,0.667351259927766,,"[143.64578036537057, 337.99007144793086, 474.8393123330984, 647.814303608534, 1408.2919643663786]"
Interval plot,five,0.25,0.37736094870931525,,"[264.7588893008791, 323.90715180426696, 468.71630379237536, 661.8972232521978, 1168.8823304240943]"
Interval plot,five,0.5,0.6822305133341229,,"[129.56286072170678, 323.90715180426696, 468.71630379237536, 647.8143036085341, 1416.7417161525768]"
Interval plot,five,0.75,0.6792961949363164,,"[129.56286072170678, 323.90715180426696, 474.8393123330984, 647.8143036085341, 1416.7417161525768]"
Dot plot,means,0.0,0.6558216878071744,,"[509.80169110062866, 509.80169110062866, 509.80169110062866, 509.80169110062866, 509.80169110062866]"
Dot plot,means,0.25,0.6573335581855609,,"[511.6794137197842, 511.6794137197842, 511.6794137197842, 511.6794137197842, 511.6794137197842]"
Dot plot,means,0.5,0.6611132341315261,,"[516.3737202676718, 516.3737202676718, 516.3737202676718, 516.3737202676718, 516.3737202676718]"
Dot plot,means,0.75,0.6626251045099125,,"[518.2514428868272, 518.2514428868272, 518.2514428868272, 518.2514428868272, 518.2514428868272]"
Dot plot,raw,0.0,0.028593294368167512,,"[286.15602238915176, 329.10218438392974, 479.0168665222937, 640.2387148584935, 723.2438724732493]"
Dot plot,raw,0.25,0.014857208974185448,,"[283.6611398249321, 325.197395765738, 479.19808253079947, 657.5634363588279, 731.6105301342074]"
Dot plot,raw,0.5,0.020859004146048753,,"[284.1821160866914, 327.2300888294452, 482.4733888301375, 652.0287820244108, 720.8459777273004]"
Dot plot,raw,0.75,0.029951529769122413,,"[278.7317861348268, 333.37333515705194, 490.6705847800482, 648.0961829788592, 733.2765548105004]"
Histogram,4,0.0,1.274330259640765,,"[754.076411734794, 686.4355710004207, 573.7008364431322, 368.82448527356223, 367.4073384956723]"
Histogram,4,0.25,1.2745886030899312,,"[754.2410886342028, 686.8472632489429, 574.5242209401764, 369.595124248865, 367.7155940857938]"
Histogram,4,0.5,1.2932183409273974,,"[753.8182472026908, 685.7901596701629, 572.4100137826164, 366.42381351252493, 344.1548695219449]"
Histogram,4,0.75,1.2969769722454823,,"[757.6238200862989, 688.9614704065029, 574.5242209401764, 367.48091709130495, 347.5206873167806]"
Histogram,8,0.0,0.4140031920879107,,"[407.4122840983399, 451.83689785005265, 524.4752133131485, 544.0086323224766, 630.2493820829746]"
Histogram,8,0.25,0.4285383887308273,,"[406.7604342535483, 450.2072732380735, 521.2797235190276, 539.8326021995523, 610.8959297626695]"
Histogram,8,0.5,0.4287040843918434,,"[406.9330448337063, 451.30268653523035, 523.3625315603865, 540.8740062202315, 612.9995658844418]"
Histogram,8,0.75,0.4457229963717846,,"[410.71006024987656, 454.2391339773912, 524.8980323791983, 540.2467443843418, 600.7385322547573]"
Histogram,16,0.0,0.09588216327596104,,"[260.71708693535226, 361.1403604315592, 501.1944592506386, 624.1385919167178, 742.4252127829001]"
Histogram,16,0.25,0.09943915392391053,,"[258.4305259334258, 356.28184940371034, 495.8322495284741, 618.4464000578046, 724.995084916787]"
Histogram,16,0.5,0.09939127071792135,,"[258.49572126777826, 356.09712928971175, 495.2310036672237, 617.8809064766831, 724.7688874843384]"
Histogram,16,0.75,0.1333839554762736,,"[262.1948688442281, 359.19071182172985, 493.1273675454514, 610.5181800504802, 687.2039567384047]"
Histogram,32,0.0,0.050220841275669,,"[262.5788659140754, 324.17572030388186, 483.7572589049047, 638.4063659936155, 723.6826991642355]"
