A,B
566.3,1001.0
520.0,1326.0
273.9,1203.0
523.8,386.1
201.9,1297.0
449.3,477.1
561.0,1040.0
427.9,577.9
571.8,519.8
437.6,475.9
409.0,797.8
527.2,781.0
224.5,1123.0
311.9,782.7
221.8,578.3
260.9,658.8
269.4,684.5
394.1,798.8
250.5,1260.0
502.5,704.4
244.0,1404.0
470.9,904.6
559.2,912.7
506.3,644.8
401.5,1094.0
520.0,732.4
443.3,955.1
466.1,1088.0
651.9,440.6
662.7,899.3
551.7,1162.0
555.1,807.2
451.1,869.5
294.5,633.0
412.6,698.8
143.5,559.2
458.7,563.0
298.3,371.1
336.1,1104.0
412.5,545.2
466.7,531.5
396.5,1076.0
290.2,534.6
480.4,1033.0
629.9,712.8
334.2,1152.0
230.9,656.9
438.6,645.7
245.2,499.0
403.3,668.3
640.7,1130.0
553.5,929.4
588.7,584.1
674.5,817.7
455.8,1006.0
761.7,1245.0
423.6,1878.0
399.8,1132.0
384.8,1075.0
288.5,648.2
398.0,1076.0
512.2,728.2
355.3,705.6
432.8,1264.0
689.5,642.5
640.1,582.7
585.0,530.2
519.4,1509.0
203.9,682.5
300.2,782.6
381.9,982.0
538.9,1077.0
460.3,1761.0
880.2,572.6
448.6,1138.0
366.8,1192.0
419.8,748.9
464.5,809.8
690.2,1075.0
357.6,506.3
685.9,678.1
464.1,813.0
372.7,432.0
349.6,963.7
227.2,1157.0
302.4,1214.0
526.4,1686.0
508.8,886.3
402.0,984.6
317.5,565.4
420.3,736.9
428.9,832.9
463.7,2250.0
507.4,1311.0
288.1,766.6
516.4,710.6
461.0,1041.0
481.9,609.9
295.4,477.4
529.4,671.4
725.5,588.9
428.0,1024.0
432.2,1148.0
321.2,642.7
568.9,951.6
561.3,1685.0
313.1,597.8
546.4,716.6
641.2,904.3
329.6,1290.0
684.5,2499.0
496.4,948.0
395.7,610.7
386.8,578.9
279.6,1230.0
603.4,1223.0
623.9,761.3
575.3,503.2
476.5,895.0
389.4,1319.0
590.0,1670.0
337.7,1306.0
541.6,920.6
512.2,1155.0
347.0,1364.0
406.3,1206.0
407.4,928.2
346.4,1169.0
561.0,602.4
512.2,1207.0
344.9,713.3
632.6,773.5
388.0,744.9
289.9,1288.0
435.6,933.1
396.6,947.8
572.3,758.6
587.4,928.3
427.3,1419.0
516.6,1491.0
489.0,998.9
441.0,1102.0
515.9,1138.0
394.1,1145.0
396.0,805.1
651.0,431.1
687.3,1217.0
513.7,1247.0
432.7,1027.0
492.1,1274.0
582.7,1264.0
363.7,813.7
633.1,826.8
334.2,793.2
471.3,918.6
334.3,1092.0
403.1,1747.0
417.2,1194.0
537.3,758.6
246.3,2010.0
566.2,716.6
530.6,1293.0
418.7,1234.0
664.9,1546.0
504.1,1482.0
409.1,840.4
221.2,1386.0
481.6,1335.0
461.4,361.6
244.5,664.7
477.3,1174.0
324.2,744.7
504.8,1407.0
457.9,994.0
489.9,991.7
616.5,719.5
446.0,803.1
514.0,685.0
387.3,1250.0
390.0,1110.0
464.4,599.5
514.3,928.8
310.8,990.0
641.2,981.6
280.5,1384.0
373.9,1191.0
420.3,930.9
321.6,2501.0
445.3,980.5
668.7,815.8
402.7,1167.0
426.7,857.6
421.0,1007.0
384.6,1068.0
485.8,1320.0
512.0,595.9
593.7,1682.0
241.0,731.3
278.6,556.7
491.9,701.9
546.1,1052.0
496.6,1214.0
838.1,1841.0
552.4,1299.0
458.4,1308.0
711.8,629.8
579.1,716.9
788.5,1347.0
338.3,1479.0
562.1,1261.0
580.6,858.1
386.3,1265.0
372.7,
447.8,
462.9,
541.8,
462.0,
596.6,
392.0,
321.6,
234.3,
446.2,
609.1,
558.1,
508.3,
378.2,
431.9,
442.7,
525.2,
507.6,
469.1,
370.0,
800.0,
514.5,
466.1,
399.8,
373.2,
268.8,
693.7,
433.8,
271.2,
495.0,
380.3,
409.7,
656.1,
408.2,
575.3,
289.7,
307.3,
333.6,
359.9,
381.1,
501.3,
467.8,
673.7,
509.2,
611.2,
592.6,
606.5,
371.5,
585.9,
340.9,
441.3,
674.8,
659.7,
432.0,
442.5,
644.2,
492.9,
557.2,
415.1,
537.9,
520.2,
290.9,
646.1,
412.7,
537.3,
542.9,
536.9,
286.3,
408.8,
289.1,
449.9,
686.9,
465.4,
358.9,
506.9,
618.4,
599.4,
404.9,
455.3,
602.9,
546.3,
571.1,
747.2,
476.7,
666.0,
420.5,
466.5,
992.1,
477.3,
538.7,
680.9,
485.6,
480.1,
689.4,
476.3,
248.7,
272.5,
453.1,
366.5,
819.8,
426.0,
680.7,
658.8,
391.2,
493.1,
493.8,
257.8,
388.1,
571.0,
293.2,
221.3,
551.1,
468.5,
594.2,
445.2,
422.9,
416.2,
575.5,
365.6,
406.4,
178.8,
170.4,
402.9,
656.4,
668.6,
538.4,
584.8,
573.2,
324.9,
320.8,
285.7,
361.6,
360.5,
378.4,
507.9,
264.0,
514.3,
321.4,
311.7,
271.3,
657.1,
403.5,
600.4,
386.0,
181.0,
