key,dataset,feature,family,setting,axis,H,observer,loss,group_loss,zero_loss,successful,low,high,scale,score,candidate
Retinopathy__08,Retinopathy,feature_10,Heatmap,32,zero,256,threshold,0.0066614369802277,0.0365615113443733,0.0832930242817212,4,0.0066614369802277,0.0066614369802277,11.564139353880767,99.33826441189495,Heatmap / 32
Retinopathy__07,Retinopathy,feature_9,Heatmap,16,zero,256,threshold,0.0072198713200646,0.0163910870358804,0.0993727012819967,4,0.0072198713200646,0.0072198713200646,21.61209177463597,99.28318815725882,Heatmap / 16
WDBC__00,WDBC,mean radius,Heatmap,32,zero,256,threshold,0.0098683089084077,0.0155591285786733,2.144469731021561,4,0.0098683089084077,0.0098683089084077,2.410516653707913,99.02281229925173,Heatmap / 32
CKD__08,CKD,pcv,Heatmap,64,zero,256,threshold,0.010243163471264,0.0496253723323045,2.2675077612126007,4,0.010243163471264,0.010243163471264,6.041875681463431,98.98606950864504,Heatmap / 64
WDBC__20,WDBC,worst radius,Heatmap,64,zero,256,threshold,0.0109160654686153,0.0155358827626745,2.4490655220853155,4,0.0109160654686153,0.0109160654686153,3.04846886809422,98.9201808298936,Heatmap / 64
WDBC__15,WDBC,compactness error,Heatmap,64,zero,256,threshold,0.0112940845155478,0.0126549771875977,0.6128457754801324,4,0.0112940845155478,0.0112940845155478,0.0171373295210721,98.88320472862668,Heatmap / 64
WDBC__22,WDBC,worst perimeter,Heatmap,64,zero,256,threshold,0.0119868713439658,0.0158604037067615,2.562994903230928,4,0.0119868713439658,0.0119868713439658,20.923568725165023,98.81551118068889,Heatmap / 64
CKD__02,CKD,bgr,Heatmap,64,zero,256,threshold,0.0131588663180944,0.0102948138839146,0.8914340559173735,4,0.0131588663180944,0.0131588663180944,72.06365919449946,98.70120405046498,Heatmap / 64
CKD__00,CKD,age,Heatmap,64,zero,256,threshold,0.0133794237026042,0.0145493365575479,0.5483248315059996,4,0.0133794237026042,0.0133794237026042,16.74190091808664,98.679722186018,Heatmap / 64
WDBC__26,WDBC,worst concavity,Heatmap,64,zero,256,threshold,0.0134053692196586,0.0125657344296212,1.848416959601444,4,0.0134053692196586,0.0134053692196586,0.156941862328806,98.6771957573127,Heatmap / 64
Retinopathy__09,Retinopathy,feature_11,Heatmap,32,zero,256,threshold,0.0135552942617166,0.0619878974148058,0.158176713458784,4,0.0135552942617166,0.0135552942617166,3.903542161791645,98.6625994320724,Heatmap / 32
WDBC__12,WDBC,perimeter error,Heatmap,64,zero,256,threshold,0.0143491019254925,0.0160806161306483,1.321966289988079,4,0.0143491019254925,0.0143491019254925,1.681820494847905,98.5853882161226,Heatmap / 64
WDBC__08,WDBC,mean symmetry,Dot plot,raw,zero,256,threshold,0.0152961593941954,0.0196209551777277,0.7068886217023179,4,0.0126281443452275,0.0203334893271712,0.0258965831928597,98.49342881358656,Dot plot / raw
Retinopathy__00,Retinopathy,feature_2,Heatmap,64,zero,256,threshold,0.0154202430813015,0.012815503841312,0.5875093631555783,4,0.0154202430813015,0.0154202430813015,24.510247671043043,98.48139298124404,Heatmap / 64
WDBC__09,WDBC,mean fractal dimension,Dot plot,raw,zero,256,threshold,0.0163533697370488,0.0177946688368809,0.2238747735614601,4,0.0137473869106033,0.0175968677049803,0.0070660037968311,98.3909759908328,Dot plot / raw
BIDMC__01,BIDMC,median,Dot plot,raw,zero,256,threshold,0.0166650282567366,0.0228559887064266,0.0486156955745028,4,0.0114530394898932,0.0221272411852396,12.341693210590991,98.36081425114898,Dot plot / raw
CKD__03,CKD,bu,Dot plot,raw,zero,256,threshold,0.0170386537059383,0.0198714213334729,0.7948487371049439,4,0.0089753184749044,0.0213741181808339,46.76361459085069,98.32467982963556,Dot plot / raw
Cleveland__02,Cleveland,chol,Heatmap,64,zero,256,threshold,0.0173152735518591,0.0290427871729184,0.195067442522468,4,0.0173152735518591,0.0173152735518591,51.67443561904991,98.29794420647944,Heatmap / 64
BIDMC__04,BIDMC,SD,Dot plot,raw,zero,256,threshold,0.0177803580504054,0.0213126283281535,0.0544107270713745,4,0.0116710624987292,0.0251548995643233,3.71002338580408,98.25302601786652,Dot plot / raw
WDBC__16,WDBC,concavity error,Heatmap,32,zero,256,threshold,0.0179094447067387,0.0255652670488276,0.6006687144477244,4,0.0179094447067387,0.0179094447067387,0.0292239625234014,98.24056601499572,Heatmap / 32
ILPD__04,ILPD,ALT,Heatmap,32,zero,256,threshold,0.0185633590384118,0.0562138880832765,0.2023065465567548,4,0.0185633590384118,0.0185633590384118,180.3204128629913,98.17749589422334,Heatmap / 32
Retinopathy__06,Retinopathy,feature_8,Heatmap,32,zero,256,threshold,0.0189310770417084,0.0237700509516785,0.2712182469918723,4,0.0189310770417084,0.0189310770417084,58.41218588981864,98.14206500633276,Heatmap / 32
WDBC__04,WDBC,mean smoothness,Dot plot,raw,zero,256,threshold,0.0192346404467272,0.0220179890129302,0.802189850530686,4,0.0136621865926953,0.0295469361686598,0.0131405302535634,98.11283489753676,Dot plot / raw
Retinopathy__15,Retinopathy,feature_17,Heatmap,64,zero,256,threshold,0.0194718080508313,0.0159833866397453,0.0783165415303669,4,0.0194718080508313,0.0194718080508313,0.0179441018785934,98.09001015064258,Heatmap / 64
Retinopathy__14,Retinopathy,feature_16,Histogram,32,zero,256,threshold,0.0197248807448431,0.0246251932877435,0.0642130837613129,4,0.0180203436668992,0.0213459448294121,0.0280665542664034,98.06566642461098,Histogram / 32
BIDMC__02,BIDMC,q10,Histogram,64,zero,256,threshold,0.0197615253781721,0.033999689865186,0.0326356872276565,4,0.0138887596186843,0.0263811618129289,13.788586612591835,98.06214248269038,Histogram / 64
BIDMC__00,BIDMC,mean,Violin plot,128,zero,256,threshold,0.0202051748639465,0.1382113690038232,0.0702477202658534,4,0.0196701074645891,0.0207292095658112,12.360952402314334,98.0194988849531,Violin plot / 128
Cleveland__03,Cleveland,thalach,Violin plot,64,zero,256,threshold,0.020315397079823,0.0675305942211596,0.9004037068023738,4,0.0188990853357195,0.0210363050339594,20.8239924584355,98.00891007447632,Violin plot / 64
WDBC__10,WDBC,radius error,Heatmap,64,zero,256,threshold,0.0206057370825956,0.0284012312318061,1.3830645875970615,4,0.0206057370825956,0.0206057370825956,0.2286032068461238,97.98102868385816,Heatmap / 64
WDBC__14,WDBC,smoothness error,Dot plot,raw,zero,256,threshold,0.0207895196359359,0.0263492710958507,0.1877029040463673,4,0.0124506082961413,0.0273289953505795,0.0029984085907428,97.96338821705864,Dot plot / raw
WDBC__21,WDBC,worst texture,Heatmap,64,zero,256,threshold,0.0209023572354827,0.0231036108164731,1.0542547027912608,4,0.0209023572354827,0.0209023572354827,5.472017326293327,97.9525605864909,Heatmap / 64
WDBC__18,WDBC,symmetry error,Heatmap,64,zero,256,threshold,0.021025678500782,0.0174218662721211,0.1305738030116616,4,0.021025678500782,0.021025678500782,0.0082734819319271,97.9407297050888,Heatmap / 64
WDBC__11,WDBC,texture error,Dot plot,raw,zero,256,threshold,0.0217806317608443,0.0230729229054451,0.1227587105992975,4,0.016220195386789,0.0248209013673997,0.552115606860959,97.868365177043,Dot plot / raw
WDBC__02,WDBC,mean perimeter,Heatmap,64,zero,256,threshold,0.0219939158646958,0.022882432797324,2.225124373549086,4,0.0219939158646958,0.0219939158646958,16.287269345845637,97.84794062633074,Heatmap / 64
WDBC__06,WDBC,mean concavity,Heatmap,32,zero,256,threshold,0.0220442264561156,0.0157531526962706,2.016960676180267,4,0.0220442264561156,0.0220442264561156,0.0572647753444237,97.84312401699556,Heatmap / 32
WDBC__05,WDBC,mean compactness,Dot plot,raw,zero,256,threshold,0.0220961994427847,0.0193988216684392,1.5079960187193386,4,0.0172251974685294,0.0322030398780265,0.0424242499355741,97.8381487520616,Dot plot / raw
HeartFailure__03,HeartFailure,platelets,Dot plot,raw,zero,256,threshold,0.0225448720755976,0.0217806356099675,0.1485941781468389,4,0.0181964819469472,0.0261869470345863,97850.40155228524,97.7952192914688,Dot plot / raw
Retinopathy__03,Retinopathy,feature_5,Histogram,32,zero,256,threshold,0.022755309549739,0.0266404173220054,0.4249601136663283,4,0.0174282304764159,0.0300820481433726,20.70782578646808,97.77509739257604,Histogram / 32
Retinopathy__04,Retinopathy,feature_6,Dot plot,raw,zero,256,threshold,0.023215599210664,0.0174347149331992,0.3530434995106309,4,0.0169024475723012,0.0288822182006972,19.26108258451374,97.73111363542804,Dot plot / raw
Retinopathy__02,Retinopathy,feature_4,Heatmap,64,zero,256,threshold,0.0233604939119889,0.0214269407126117,0.4743420245305044,4,0.0233604939119889,0.0233604939119889,22.17808976637167,97.7172761650502,Heatmap / 64
Retinopathy__01,Retinopathy,feature_3,Dot plot,raw,zero,256,threshold,0.0235479096629255,0.0183955331238951,0.5343080031685485,4,0.012611438551225,0.0427437934223121,23.2450195886025,97.69938373762297,Dot plot / raw
WDBC__03,WDBC,mean area,Dot plot,raw,zero,256,threshold,0.023565259314381,0.0206576910112401,1.992501508162291,4,0.0148572089741854,0.0299515297691224,248.397302572926,97.69772771204,Dot plot / raw
WDBC__25,WDBC,worst compactness,Dot plot,raw,zero,256,threshold,0.0238716501375725,0.017664020400344,1.4826009427136595,4,0.013319471858002,0.0490985867925966,0.1270309458020991,97.66849193115512,Dot plot / raw
BIDMC__03,BIDMC,q90,Dot plot,raw,zero,256,threshold,0.0239843034742358,0.0218916280904782,0.0459792076245047,4,0.0182203036709944,0.0381266684704596,13.049376685652764,97.65774696029418,Dot plot / raw
WDBC__29,WDBC,worst fractal dimension,Violin plot,256,zero,256,threshold,0.0249511855460909,0.0486670270674858,0.7096422831555368,4,0.0245520107001303,0.0253079884489595,0.0171028422179571,97.56562206103531,Violin plot / 256
ILPD__03,ILPD,alkaline_phosphatase,Heatmap,64,zero,256,threshold,0.0252227376237379,0.0409347571404898,0.372746383115118,4,0.0252227376237379,0.0252227376237379,238.95604098321152,97.5397797280424,Heatmap / 64
WDBC__27,WDBC,worst concave points,Heatmap,64,zero,256,threshold,0.0253183775793531,0.0216661987481799,2.7191463072567554,4,0.0253183775793531,0.0253183775793531,0.0400323438681821,97.53068138316934,Heatmap / 64
WDBC__24,WDBC,worst smoothness,Dot plot,raw,zero,256,threshold,0.0254690108247965,0.0227396776008386,0.9498102100830976,4,0.0184052266385056,0.0378784807765315,0.0207237191083447,97.516354901421,Dot plot / raw
WDBC__23,WDBC,worst area,Dot plot,raw,zero,256,threshold,0.0256508151732175,0.0235182343878747,2.099445049332308,4,0.0086319163587984,0.0345046730960857,387.1270649634207,97.49906939147849,Dot plot / raw
HeartFailure__01,HeartFailure,creatinine_phosphokinase,Histogram,8,zero,256,threshold,0.0257006712814319,0.2223828904572852,0.0344430881035375,4,0.0224719048122139,0.0278006714793475,970.005938479382,97.4943302660294,Histogram / 8
WDBC__19,WDBC,fractal dimension error,Dot plot,raw,zero,256,threshold,0.026223789085239,0.0281560480322127,0.2022769553363431,4,0.0155128213066742,0.0383793584203319,0.0026403403151483,97.44463250958016,Dot plot / raw
WDBC__17,WDBC,concave points error,Heatmap,64,zero,256,threshold,0.0264549696926156,0.0349203634689833,0.9174972699310664,4,0.0264549696926156,0.0264549696926156,0.0056382075124742,97.42268579979329,Heatmap / 64
ILPD__06,ILPD,total_protein,Dot plot,raw,zero,256,threshold,0.0292033667414631,0.0312883807396738,0.1013153236402179,4,0.0161524533965235,0.0442098017514942,1.0857192776743458,97.16252708792402,Dot plot / raw
CKD__06,CKD,pot,Dot plot,raw,zero,256,threshold,0.0296167817722207,0.0309271294487088,0.0721546253126926,4,0.0225127442723132,0.0327216955193516,3.187598840729353,97.12351407858338,Dot plot / raw
WDBC__01,WDBC,mean texture,Histogram,16,zero,256,threshold,0.0298349874969265,0.0302061741857376,1.0101730397394426,4,0.0179509672446245,0.0426730297038491,3.916259734095069,97.10293514406204,Histogram / 16
WDBC__28,WDBC,worst symmetry,Heatmap,32,zero,256,threshold,0.0308119530895814,0.0232595053180213,0.9353774582202034,4,0.0308119530895814,0.0308119530895814,0.0563013353990857,97.01090455953378,Heatmap / 32
HAR__24,HAR,tBodyGyroJerk-mean()-X,Heatmap,32,zero,256,threshold,0.0308974131743976,0.072540562916834,0.9248204807099052,4,0.0308974131743976,0.0308974131743976,0.0212550115941538,97.00286247889046,Heatmap / 32
WDBC__07,WDBC,mean concave points,Heatmap,64,zero,256,threshold,0.0317717837646907,0.0190723967867901,2.592899862752084,4,0.0317717837646907,0.0317717837646907,0.0244664442739667,96.92065781749108,Heatmap / 64
HAR__36,HAR,tBodyGyroMag-mean(),Heatmap,64,zero,256,threshold,0.0324309325588327,0.0548509289836721,5.954985082050173,4,0.0324309325588327,0.0324309325588327,0.1189689146870361,96.85877945574003,Heatmap / 64
ILPD__00,ILPD,age,Histogram,64,zero,256,threshold,0.0329198298090052,0.0352939393393321,0.2803705343203134,4,0.0203405479255947,0.0507296052010034,16.050188765053708,96.81293466743762,Histogram / 64
Cleveland__00,Cleveland,age,Heatmap,32,zero,256,threshold,0.0330781162316692,0.0270219873997337,0.461167340857416,4,0.0330781162316692,0.0330781162316692,8.825429815634669,96.7981011588623,Heatmap / 32
HAR__16,HAR,tBodyAccJerk-std()-Y,Heatmap,64,zero,256,threshold,0.0332006601510907,0.0644284503918969,7.135567250348754,4,0.0332006601510907,0.0332006601510907,0.1215755357582258,96.7866203118535,Heatmap / 64
HAR__07,HAR,tGravityAcc-mean()-Y,Heatmap,64,zero,256,threshold,0.0356392738044052,0.0947855308053394,2.572618135599922,4,0.0356392738044052,0.0356392738044052,0.1065519917197416,96.55871743126497,Heatmap / 64
CKD__07,CKD,hemo,Dot plot,raw,zero,256,threshold,0.0371982606097944,0.0205167676499402,2.4162937504835846,4,0.0330456811036061,0.0414748506752138,1.8648394877891767,96.41358243428554,Dot plot / raw
ILPD__05,ILPD,AST,Heatmap,64,zero,256,threshold,0.0377434882412841,0.0842459857949453,0.1912459137657919,4,0.0377434882412841,0.0377434882412841,285.8100281658253,96.36292699795688,Heatmap / 64
ILPD__01,ILPD,total_bilirubin,Heatmap,64,zero,256,threshold,0.037966068603217,0.0340052514088245,0.438281976879355,4,0.037966068603217,0.037966068603217,6.06230723635571,96.34226303232556,Heatmap / 64
HeartFailure__02,HeartFailure,ejection_fraction,Heatmap,64,zero,256,threshold,0.0383332880612672,0.045266110750606,0.7180953456055503,4,0.0383332880612672,0.0383332880612672,11.419096433615184,96.30819039493171,Heatmap / 64
HeartFailure__00,HeartFailure,age,Heatmap,16,zero,256,threshold,0.0387150553300318,0.0645847847372254,0.6143214823582146,4,0.0387150553300318,0.0387150553300318,11.52491033330266,96.27279347388196,Heatmap / 16
HAR__01,HAR,tBodyAcc-mean()-Y,Heatmap,32,zero,256,threshold,0.0397634334307789,0.0579968348809149,0.7770455544112371,4,0.0397634334307789,0.0397634334307789,0.0018147610291245,96.17572303927092,Heatmap / 32
ILPD__02,ILPD,direct_bilirubin,Heatmap,32,zero,256,threshold,0.0399675058686835,0.0776818282662732,0.5285372278126305,4,0.0399675058686835,0.0399675058686835,2.724500610788553,96.15685051281496,Heatmap / 32
CKD__09,CKD,wc,Dot plot,raw,zero,256,threshold,0.0399790072094973,0.0271946299080316,0.4112797540662808,4,0.0350916511511887,0.0512108445461,2869.093332053087,96.15578709451356,Dot plot / raw
Retinopathy__05,Retinopathy,feature_7,Dot plot,raw,zero,256,threshold,0.0404648474835437,0.0289729242228308,0.253601729447275,4,0.0217566430442189,0.059877502327157,14.984124943793166,96.11088759207854,Dot plot / raw
HeartFailure__04,HeartFailure,serum_creatinine,Dot plot,raw,zero,256,threshold,0.0408098005186805,0.0450059179936731,0.5523215962469813,4,0.0375768570289512,0.0468453099031432,0.9903650404345196,96.07903379672796,Dot plot / raw
ILPD__08,ILPD,albumin_globulin_ratio,Heatmap,64,zero,256,threshold,0.0434857166378051,0.0373370408281309,0.4436218697090482,4,0.0434857166378051,0.0434857166378051,0.3155840808565631,95.83264859839964,Heatmap / 64
HAR__13,HAR,tBodyAccJerk-mean()-Y,Violin plot,16,zero,256,threshold,0.0440568862607868,0.2168680383213181,1.0589496574231776,4,0.0432542207430801,0.0447158678832165,0.0218734829981097,95.7802216679425,Violin plot / 16
HAR__15,HAR,tBodyAccJerk-std()-X,Dot plot,raw,zero,256,threshold,0.044898986894645,0.0415857767908757,6.454213687249911,4,0.0227084973079189,0.0633670168987659,0.1130557335824611,95.70303087113892,Dot plot / raw
CKD__01,CKD,bp,Dot plot,raw,zero,256,threshold,0.045153419175134,0.024649325690788,0.7636209682823528,4,0.0330104984286089,0.0585963215512447,13.095502108190471,95.6797329132052,Dot plot / raw
Wrist__01,Wrist,median,Bar chart,means,zero,256,threshold,0.0455377143066139,0.5377759185179383,0.1379040581831825,4,0.0398646231472812,0.0474287446930582,29.81885170304165,95.64456511864672,Bar chart / means
ILPD__07,ILPD,albumin,Histogram,64,zero,256,threshold,0.0459539168037972,0.0398632436868569,0.4517885912482831,4,0.026969955651198,0.0612697262095939,0.7857657472472728,95.60650655200736,Histogram / 64
CKD__10,CKD,rc,Heatmap,16,zero,256,threshold,0.0464921888594132,0.0451268984131354,2.001324589190506,4,0.0464921888594132,0.0464921888594132,0.7345135356551953,95.5573305415604,Heatmap / 16
Retinopathy__13,Retinopathy,feature_15,Heatmap,64,zero,256,threshold,0.0465120655812608,0.0977331072980344,0.2005667748310951,4,0.0465120655812608,0.0465120655812608,0.1761998717372855,95.55551559212776,Heatmap / 64
HAR__04,HAR,tBodyAcc-std()-Y,Heatmap,32,zero,256,threshold,0.0468493474015054,0.0661158840313164,7.977201261579362,4,0.0468493474015054,0.0468493474015054,0.1183712457679736,95.52472879523734,Heatmap / 32
Wrist__03,Wrist,q90,Bar chart,means,zero,256,threshold,0.0472976741237218,0.5309409466279086,0.130282359020151,4,0.0420747277411413,0.0629665132714635,29.194196643150427,95.48383661185,Bar chart / means
