key,family,setting,phase,p,target,recovered,normalized_absolute_error
WDBC__29,Violin plot,256,0.0,0.1,0.0031089999999999868,0.002269640372084075,0.04907720115868381
WDBC__29,Violin plot,256,0.0,0.25,0.006212499999999996,0.006219315028976449,0.00039847347532084686
WDBC__29,Violin plot,256,0.0,0.5,0.010480000000000017,0.01120754457258108,0.042539395692791776
WDBC__29,Violin plot,256,0.0,0.75,0.017214999999999994,0.017270214974992246,0.0032284093069793124
WDBC__29,Violin plot,256,0.0,0.9,0.02366799999999998,0.023197388378776038,0.027516573866876035
WDBC__29,Violin plot,256,0.25,0.1,0.0031089999999999868,0.002264114801653297,0.04940028023293128
WDBC__29,Violin plot,256,0.25,0.25,0.006212499999999996,0.006215140011385664,0.00015436097415998524
WDBC__29,Violin plot,256,0.25,0.5,0.010480000000000017,0.011189387667892611,0.0414777648564034
WDBC__29,Violin plot,256,0.25,0.75,0.017214999999999994,0.01721174075279161,0.0001905675774148331
WDBC__29,Violin plot,256,0.25,0.9,0.02366799999999998,0.023063979458351133,0.03531696860388833
WDBC__29,Violin plot,256,0.5,0.1,0.0031089999999999868,0.0022726724144015026,0.04889991820893854
WDBC__29,Violin plot,256,0.5,0.25,0.006212499999999996,0.006224324116647015,0.000691353898745804
WDBC__29,Violin plot,256,0.5,0.5,0.010480000000000017,0.011202810852493958,0.042262615960698385
WDBC__29,Violin plot,256,0.5,0.75,0.017214999999999994,0.017248860200062208,0.001979799592997587
WDBC__29,Violin plot,256,0.5,0.9,0.02366799999999998,0.023143945900277074,0.030641345633924878
WDBC__29,Violin plot,256,0.75,0.1,0.0031089999999999868,0.0022617496291679196,0.04953857142776521
WDBC__29,Violin plot,256,0.75,0.25,0.006212499999999996,0.006211907600544672,3.463748585025499e-05
WDBC__29,Violin plot,256,0.75,0.5,0.010480000000000017,0.011191796965381764,0.04161863603199219
WDBC__29,Violin plot,256,0.75,0.75,0.017214999999999994,0.017266204052657178,0.002993891424866309
WDBC__29,Violin plot,256,0.75,0.9,0.02366799999999998,0.023136735344107345,0.031062945510590884
HAR__29,Histogram,32,0.0,0.1,0.388318422,0.37979734613170746,0.09064162159313911
HAR__29,Histogram,32,0.0,0.25,0.45916243749999996,0.46230014042249035,0.03337682768796302
HAR__29,Histogram,32,0.0,0.5,0.5126299325,0.5191986192437199,0.06987338540238057
HAR__29,Histogram,32,0.0,0.75,0.58776802875,0.5974340276229106,0.10282056229756792
HAR__29,Histogram,32,0.0,0.9,0.7443171955,0.743947610587577,0.003931402125291973
HAR__29,Histogram,32,0.25,0.1,0.388318422,0.37926392289275845,0.09631582847982076
HAR__29,Histogram,32,0.25,0.25,0.45916243749999996,0.46192182606862575,0.029352567484642142
HAR__29,Histogram,32,0.25,0.5,0.5126299325,0.51919861924372,0.06987338540238175
HAR__29,Histogram,32,0.25,0.75,0.58776802875,0.5987675857202832,0.11700607951427262
HAR__29,Histogram,32,0.25,0.9,0.7443171955,0.7443032260802096,0.00014859753417126946
HAR__29,Histogram,32,0.5,0.1,0.388318422,0.38467435860209864,0.03876315862918961
HAR__29,Histogram,32,0.5,0.25,0.45916243749999996,0.46328375774253816,0.04383990421659588
HAR__29,Histogram,32,0.5,0.5,0.5126299325,0.5185801575174023,0.06329459480912707
HAR__29,Histogram,32,0.5,0.75,0.58776802875,0.5938778726965839,0.06499251638635617
HAR__29,Histogram,32,0.5,0.9,0.7443171955,0.7430817641707321,0.013141708955848526
HAR__29,Histogram,32,0.75,0.1,0.388318422,0.38467435860209864,0.03876315862918961
HAR__29,Histogram,32,0.75,0.25,0.45916243749999996,0.46328375774253816,0.04383990421659588
HAR__29,Histogram,32,0.75,0.5,0.5126299325,0.5185801575174023,0.06329459480912707
HAR__29,Histogram,32,0.75,0.75,0.58776802875,0.5938778726965839,0.06499251638635617
HAR__29,Histogram,32,0.75,0.9,0.7443171955,0.7430817641707321,0.013141708955848526
Cleveland__04,Violin plot,256,0.0,0.1,0.0,0.13157718220750972,0.12495351423274213
Cleveland__04,Violin plot,256,0.0,0.25,0.55,0.504237399728755,0.0434588857154743
Cleveland__04,Violin plot,256,0.0,0.5,1.2,1.0821339690639649,0.1119325898839784
Cleveland__04,Violin plot,256,0.0,0.75,1.475,1.4364901237037744,0.03657126786841114
Cleveland__04,Violin plot,256,0.0,0.9,1.7999999999999998,1.7306198915850366,0.06588747546383847
Cleveland__04,Violin plot,256,0.25,0.1,0.0,0.1322660279894053,0.12560768313777695
Cleveland__04,Violin plot,256,0.25,0.25,0.55,0.5046144265350689,0.04310083864668564
Cleveland__04,Violin plot,256,0.25,0.5,1.2,1.0817079010810537,0.11233720936946669
Cleveland__04,Violin plot,256,0.25,0.75,1.475,1.4362625165612861,0.03678741714172152
Cleveland__04,Violin plot,256,0.25,0.9,1.7999999999999998,1.7304451173694781,0.06605345144892118
Cleveland__04,Violin plot,256,0.5,0.1,0.0,0.13111126501758275,0.12451105157131347
Cleveland__04,Violin plot,256,0.5,0.25,0.55,0.5043257067489297,0.04337502411943518
Cleveland__04,Violin plot,256,0.5,0.5,1.2,1.0808680981342775,0.11313473617238307
Cleveland__04,Violin plot,256,0.5,0.75,1.475,1.4351957586155701,0.037800473903665956
Cleveland__04,Violin plot,256,0.5,0.9,1.7999999999999998,1.7254252353980721,0.07082062979122321
Cleveland__04,Violin plot,256,0.75,0.1,0.0,0.1304603411131264,0.12389289553547708
Cleveland__04,Violin plot,256,0.75,0.25,0.55,0.5030340881888556,0.044601621888301836
