key,H,primary,best_score,families,n_tied
WDBC__00,128,True,99.04056423157218,Heatmap,1
WDBC__00,256,True,99.02281229925171,Heatmap,1
WDBC__00,512,True,99.02281229925171,Heatmap,1
WDBC__01,128,True,97.15841876348094,Histogram,1
WDBC__01,256,True,97.10293514406203,Histogram,1
WDBC__01,512,True,98.39688306396552,Dot plot,1
WDBC__02,128,True,97.47402528779715,Heatmap,1
WDBC__02,256,True,97.84794062633074,Heatmap,1
WDBC__02,512,True,98.33041355623077,Dot plot,1
WDBC__03,128,True,96.65098815038301,Heatmap,1
WDBC__03,256,True,97.69772771203998,Dot plot,1
WDBC__03,512,True,98.50455975045786,Dot plot,1
WDBC__04,128,True,97.70679602881128,Violin plot,1
WDBC__04,256,True,98.11283489753676,Dot plot,1
WDBC__04,512,True,98.31756775256797,Histogram,1
WDBC__05,128,True,94.80493855073753,Histogram,1
WDBC__05,256,True,97.8381487520616,Dot plot,1
WDBC__05,512,True,98.43430314452279,Dot plot,1
WDBC__06,128,True,98.63098979053231,Heatmap,1
WDBC__06,256,True,97.84312401699555,Heatmap,1
WDBC__06,512,True,97.92215492250456,Dot plot,1
WDBC__07,128,True,94.1477719293815,Heatmap,1
WDBC__07,256,True,96.92065781749109,Heatmap,1
WDBC__07,512,True,96.5711823394471,Dot plot,1
WDBC__08,128,True,96.75526298324841,Violin plot,1
WDBC__08,256,True,98.49342881358652,Dot plot,1
WDBC__08,512,True,98.13286850095353,Dot plot,1
WDBC__09,128,True,96.4954637283782,Violin plot,1
WDBC__09,256,True,98.39097599083281,Dot plot,1
WDBC__09,512,True,98.42960182655263,Dot plot,1
WDBC__10,128,True,95.24373798783924,Heatmap,1
WDBC__10,256,True,97.98102868385816,Heatmap,1
WDBC__10,512,True,97.98419147135651,Dot plot,1
WDBC__11,128,True,96.88412753134973,Violin plot,1
WDBC__11,256,True,97.86836517704297,Dot plot,1
WDBC__11,512,True,97.16694245509017,Dot plot,1
WDBC__12,128,True,97.7114988835465,Heatmap,1
WDBC__12,256,True,98.5853882161226,Heatmap,1
WDBC__12,512,True,98.62156823445103,Dot plot,1
WDBC__13,128,True,95.14750643998842,Violin plot,1
WDBC__13,256,True,94.79291900996397,Dot plot,1
WDBC__13,512,True,97.54635428684331,Dot plot,1
WDBC__14,128,True,96.89265915403544,Violin plot,1
WDBC__14,256,True,97.96338821705864,Dot plot,1
WDBC__14,512,True,98.29370909367938,Dot plot,1
WDBC__15,128,True,97.79124114302468,Heatmap,1
WDBC__15,256,True,98.88320472862668,Heatmap,1
WDBC__15,512,True,98.90128237483655,Heatmap,1
WDBC__16,128,True,97.51011278151928,Heatmap,1
WDBC__16,256,True,98.24056601499572,Heatmap,1
WDBC__16,512,True,98.93464344667015,Dot plot,1
WDBC__17,128,True,97.56142531338156,Violin plot,1
WDBC__17,256,True,97.42268579979324,Heatmap,1
WDBC__17,512,True,98.0294940832605,Dot plot,1
WDBC__18,128,True,97.72272202524825,Heatmap,1
WDBC__18,256,True,97.9407297050888,Heatmap,1
WDBC__18,512,True,98.08779809190818,Heatmap,1
WDBC__19,128,True,95.2311938264673,Heatmap,1
WDBC__19,256,True,97.44463250958015,Dot plot,1
WDBC__19,512,True,99.05123048110006,Dot plot,1
WDBC__20,128,True,98.34765589964839,Heatmap,1
WDBC__20,256,True,98.92018082989361,Heatmap,1
WDBC__20,512,True,98.9713114807601,Heatmap,1
WDBC__21,128,True,96.61389425583242,Heatmap,1
WDBC__21,256,True,97.9525605864909,Heatmap,1
WDBC__21,512,True,98.43597309098121,Dot plot,1
WDBC__22,128,True,97.04009040251661,Heatmap,1
WDBC__22,256,True,98.81551118068886,Heatmap,1
WDBC__22,512,True,98.6734849149245,Heatmap,1
WDBC__23,128,True,96.7390391877594,Heatmap,1
WDBC__23,256,True,97.49906939147847,Dot plot,1
WDBC__23,512,True,98.13023581361769,Dot plot,1
WDBC__24,128,True,97.10556806604944,Histogram,1
WDBC__24,256,True,97.51635490142101,Dot plot,1
WDBC__24,512,True,97.95894455546183,Dot plot,1
WDBC__25,128,True,96.29575058139754,Heatmap,1
WDBC__25,256,True,97.66849193115513,Dot plot,1
WDBC__25,512,True,98.70528377762264,Dot plot,1
WDBC__26,128,True,98.7345804070717,Histogram,1
WDBC__26,256,True,98.67719575731267,Heatmap,1
WDBC__26,512,True,98.52478832884627,Heatmap,1
WDBC__27,128,True,96.44022570805816,Heatmap,1
WDBC__27,256,True,97.53068138316934,Heatmap,1
WDBC__27,512,True,98.24386902024835,Dot plot,1
WDBC__28,128,True,97.06092257254802,Heatmap,1
WDBC__28,256,True,97.01090455953378,Heatmap,1
WDBC__28,512,True,98.80141450226921,Dot plot,1
WDBC__29,128,True,97.42817784531206,Violin plot,1
WDBC__29,256,True,97.56562206103533,Violin plot,1
WDBC__29,512,True,98.40180271279526,Dot plot,1
Cleveland__00,128,True,97.11753814262346,Heatmap,1
Cleveland__00,256,True,96.7981011588623,Heatmap,1
Cleveland__00,512,True,97.2221070384832,Dot plot,1
Cleveland__01,128,True,92.03221357052885,Histogram,1
Cleveland__01,256,True,93.87998225603513,Dot plot,1
Cleveland__01,512,True,95.63363172688615,Dot plot,1
Cleveland__02,128,True,97.048129595565,Dot plot,1
Cleveland__02,256,True,98.29794420647943,Heatmap,1
Cleveland__02,512,True,98.67493005994574,Heatmap,1
Cleveland__03,128,True,98.33357294446148,Violin plot,1
Cleveland__03,256,True,98.00891007447633,Violin plot,1
Cleveland__03,512,True,98.12034565664365,Dot plot,1
Cleveland__04,128,True,92.19402265523766,Violin plot,1
Cleveland__04,256,True,92.83687445489483,Violin plot,1
Cleveland__04,512,True,95.35630416471353,Heatmap,1
HeartFailure__00,128,True,96.27279347388195,Heatmap,1
HeartFailure__00,256,True,96.27279347388195,Heatmap,1
HeartFailure__00,512,True,96.35844820115653,Heatmap,1
HeartFailure__01,128,True,97.08634523374506,Heatmap,1
HeartFailure__01,256,True,97.49433026602941,Histogram,1
HeartFailure__01,512,True,97.12885923422243,Histogram,1
HeartFailure__02,128,True,91.99931251321837,Dot plot,1
HeartFailure__02,256,True,96.30819039493171,Heatmap,1
HeartFailure__02,512,True,97.01826637048951,Histogram,1
HeartFailure__03,128,True,97.39218904166894,Violin plot,1
HeartFailure__03,256,True,97.79521929146881,Dot plot,1
HeartFailure__03,512,True,98.28030481976809,Dot plot,1
HeartFailure__04,128,True,94.56378563499835,Heatmap,1
HeartFailure__04,256,True,96.07903379672797,Dot plot,1
HeartFailure__04,512,True,96.30516684613715,Dot plot,1
HeartFailure__05,128,True,91.50487882373307,Violin plot,1
HeartFailure__05,256,True,91.51466535084079,Violin plot,1
HeartFailure__05,512,True,94.34837289181182,Dot plot,1
CKD__00,128,True,97.56163008579415,Heatmap,1
CKD__00,256,True,98.679722186018,Heatmap,1
CKD__00,512,True,98.66457295668626,Heatmap,1
CKD__01,128,True,92.4740156303452,Dot plot,1
CKD__01,256,True,95.67973291320519,Dot plot,1
CKD__01,512,True,97.6105877127985,Dot plot,1
CKD__02,128,True,98.40785711438784,Heatmap,1
CKD__02,256,True,98.70120405046498,Heatmap,1
CKD__02,512,True,98.95128707385014,Heatmap,1
CKD__03,128,True,97.30455351446027,Heatmap,1
CKD__03,256,True,98.32467982963557,Dot plot,1
CKD__03,512,True,98.70566633370395,Dot plot,1
CKD__04,128,True,90.8509988910102,Heatmap,1
CKD__04,256,True,95.22207810853642,Heatmap,1
CKD__04,512,True,98.55220700221568,Dot plot,1
CKD__05,128,True,93.51537997887077,Histogram,1
CKD__05,256,True,94.24267842122289,Dot plot,1
CKD__05,512,True,93.62507532802115,Dot plot,1
CKD__06,128,True,94.95801495526234,Histogram,1
CKD__06,256,True,97.12351407858338,Dot plot,1
CKD__06,512,True,98.80282413190994,Dot plot,1
CKD__07,128,True,95.2700208286551,Heatmap,1
CKD__07,256,True,96.41358243428554,Dot plot,1
CKD__07,512,True,97.71991044275639,Dot plot,1
CKD__08,128,True,96.64718819133434,Heatmap,1
CKD__08,256,True,98.98606950864504,Heatmap,1
CKD__08,512,True,98.82606479327966,Heatmap,1
CKD__09,128,True,95.00022897561165,Heatmap,1
CKD__09,256,True,96.15578709451357,Dot plot,1
CKD__09,512,True,96.55022808480668,Dot plot,1
CKD__10,128,True,95.5573305415604,Heatmap,1
CKD__10,256,True,95.5573305415604,Heatmap,1
CKD__10,512,True,95.5573305415604,Heatmap,1
ILPD__00,128,True,95.9448005515535,Violin plot,1
ILPD__00,256,True,96.81293466743762,Histogram,1
ILPD__00,512,True,97.02606494842784,Dot plot,1
ILPD__01,128,True,94.18129581732987,Heatmap,1
ILPD__01,256,True,96.34226303232555,Heatmap,1
ILPD__01,512,True,94.76868466431928,Heatmap,1
ILPD__02,128,True,95.20966241646589,Heatmap,1
ILPD__02,256,True,96.15685051281496,Heatmap,1
ILPD__02,512,True,96.15685051281496,Heatmap,1
ILPD__03,128,True,96.74031066268317,Heatmap,1
ILPD__03,256,True,97.53977972804239,Heatmap,1
ILPD__03,512,True,98.87450658981071,Dot plot,1
ILPD__04,128,True,98.09463246525625,Heatmap,1
ILPD__04,256,True,98.17749589422334,Heatmap,1
ILPD__04,512,True,98.99220650071882,Dot plot,1
