key,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order,chart_id,chart,contract,catalogue_order,applicable,applicability_reason,tested_settings,catalogue_id,recommendation_order,display_selected,rank,optimal
WDBC__00,Binned,bins_8,18.0,0.8515454236196831,96.8365553602812,True,qualifies,569,0.454251710645248,1.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,1.0,True,1.0,True
WDBC__00,Binned,bins_8,18.0,0.8515454236196831,96.8365553602812,True,qualifies,569,0.454251710645248,1.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,2.0,False,1.0,True
WDBC__00,Density,density_8,18.0,1.7665928781629052,96.8365553602812,True,qualifies,569,0.9423781922379448,2.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,3.0,False,3.0,False
WDBC__00,Observations,raw,569.0,0.0,0.0,True,qualifies,569,0.0,11.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,4.0,False,4.0,False
WDBC__00,Five-number,five_number,10.0,2.1853554502369654,0.0,False,does_not_qualify,569,1.165764531289898,13.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,5.0,False,5.0,False
WDBC__00,Five-number,five_number,10.0,2.1853554502369654,0.0,False,does_not_qualify,569,1.165764531289898,13.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,6.0,False,5.0,False
WDBC__00,Means,means,2.0,2.9016936208445614,0.0,False,does_not_qualify,569,1.5478907577638918,14.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,7.0,False,7.0,False
WDBC__00,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__00,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__00,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__00,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__00,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__00,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__00,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__00,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__01,Means,means,2.0,1.7636830814581508,99.64850615114236,True,qualifies,569,0.5467431122836298,1.0,bar,Bar chart,Two group means,0,True,Implemented for the declared marginal comparison,1,1,1.0,True,1.0,True
WDBC__01,Means,means,2.0,1.7636830814581508,99.64850615114236,True,qualifies,569,0.5467431122836298,1.0,dot,Dot plot,Mean dots or all raw dots; report the chosen setting,10,True,Implemented for the declared marginal comparison,2,11,2.0,False,1.0,True
WDBC__01,Binned,bins_4,10.0,2.4861073639982365,98.24253075571178,True,qualifies,569,0.7706951957263529,2.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,3.0,False,3.0,False
WDBC__01,Binned,bins_4,10.0,2.4861073639982365,98.24253075571178,True,qualifies,569,0.7706951957263529,2.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,4.0,False,3.0,False
WDBC__01,Five-number,five_number,10.0,3.181404494382022,98.24253075571178,True,qualifies,569,0.986237841128164,3.0,box,Box plot,Five-number summary; min–max whiskers,5,True,Implemented for the declared marginal comparison,1,6,5.0,False,5.0,False
WDBC__01,Five-number,five_number,10.0,3.181404494382022,98.24253075571178,True,qualifies,569,0.986237841128164,3.0,interval,Error-bar / interval plot,"Median dot, thick interquartile interval, thin min–max interval; not a confidence interval",14,True,Implemented for the declared marginal comparison,1,15,6.0,False,5.0,False
WDBC__01,Density,density_8,18.0,1.7114415308739268,96.8365553602812,True,qualifies,569,0.5305481914062766,5.0,violin,Violin plot,Sampled density on the declared grid,13,True,Implemented for the declared marginal comparison,6,14,7.0,False,7.0,False
WDBC__01,,,,,,,not_applicable,569,,,line,Line chart,Requires an ordered-trend target; row order is not time,1,False,Requires an ordered-trend target; row order is not time,0,2,,False,,False
WDBC__01,,,,,,,not_applicable,569,,,scatter,Scatter plot,"Requires a joint-association target, not marginal contrast",2,False,"Requires a joint-association target, not marginal contrast",0,3,,False,,False
WDBC__01,,,,,,,not_applicable,569,,,pie,Pie chart,Requires a declared part-to-whole target,3,False,Requires a declared part-to-whole target,0,4,,False,,False
WDBC__01,,,,,,,not_applicable,569,,,stacked_bar,Stacked bar chart,Requires a declared component-composition target,7,False,Requires a declared component-composition target,0,8,,False,,False
WDBC__01,,,,,,,not_applicable,569,,,area,Area chart,Requires an ordered-trend or accumulation target,8,False,Requires an ordered-trend or accumulation target,0,9,,False,,False
WDBC__01,,,,,,,not_applicable,569,,,bubble,Bubble chart,Requires a joint-association and size-variable target,9,False,Requires a joint-association and size-variable target,0,10,,False,,False
WDBC__01,,,,,,,not_applicable,569,,,treemap,Treemap,Requires a meaningful hierarchy and part-to-whole target,11,False,Requires a meaningful hierarchy and part-to-whole target,0,12,,False,,False
WDBC__01,,,,,,,not_applicable,569,,,choropleth,Choropleth map,Requires geographic identifiers and a geographic target,12,False,Requires geographic identifiers and a geographic target,0,13,,False,,False
WDBC__02,Binned,bins_8,18.0,4.299829355715374,96.8365553602812,True,qualifies,569,0.3298753143469442,1.0,histogram,Histogram,Common bins with group probabilities,4,True,Implemented for the declared marginal comparison,5,5,1.0,True,1.0,True
WDBC__02,Binned,bins_8,18.0,4.299829355715374,96.8365553602812,True,qualifies,569,0.3298753143469442,1.0,heatmap,Heatmap,Two-by-bin probability matrix with common bin boundaries,6,True,Implemented for the declared marginal comparison,5,7,2.0,False,1.0,True
