key,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order
WDBC__00,Binned,bins_8,18,0.8515454236196831,96.8365553602812,True,qualifies,569,0.454251710645248,1
WDBC__00,Density,density_8,18,1.7665928781629052,96.8365553602812,True,qualifies,569,0.9423781922379448,2
WDBC__00,Binned,bins_16,34,0.5728868125919249,94.02460456942003,True,qualifies,569,0.30560297478882514,3
WDBC__00,Density,density_16,34,0.6441650109924435,94.02460456942003,True,qualifies,569,0.34362589483167627,4
WDBC__00,Binned,bins_32,66,0.49792343009478124,88.40070298769771,True,qualifies,569,0.2656142157742621,5
WDBC__00,Density,density_32,66,0.5548651922972265,88.40070298769771,True,qualifies,569,0.2959894513990007,6
WDBC__00,Binned,bins_64,130,0.4900789187227925,77.15289982425307,True,qualifies,569,0.2614296090450579,7
WDBC__00,Density,density_64,130,0.5670808384925365,77.15289982425307,True,qualifies,569,0.3025058133298411,8
WDBC__00,Density,density_128,258,0.5702628272066228,54.65729349736379,True,qualifies,569,0.30420322579491366,9
WDBC__00,Density,density_256,514,0.5694741550823537,9.666080843585235,True,qualifies,569,0.30378251346219437,10
WDBC__00,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,11
WDBC__00,Binned,bins_4,10,1.954451213935311,0.0,False,does_not_qualify,569,1.0425900752645125,12
WDBC__00,Five-number,five_number,10,2.1853554502369654,0.0,False,does_not_qualify,569,1.165764531289898,13
WDBC__00,Means,means,2,2.9016936208445614,0.0,False,does_not_qualify,569,1.5478907577638918,14
WDBC__01,Means,means,2,1.7636830814581508,99.64850615114236,True,qualifies,569,0.5467431122836298,1
WDBC__01,Binned,bins_4,10,2.4861073639982365,98.24253075571178,True,qualifies,569,0.7706951957263529,2
WDBC__01,Five-number,five_number,10,3.181404494382022,98.24253075571178,True,qualifies,569,0.986237841128164,3
WDBC__01,Binned,bins_8,18,0.8410857206295432,96.8365553602812,True,qualifies,569,0.2607372205521878,4
WDBC__01,Density,density_8,18,1.7114415308739268,96.8365553602812,True,qualifies,569,0.5305481914062766,5
WDBC__01,Density,density_16,34,0.6788799969626087,94.02460456942003,True,qualifies,569,0.21045332140940262,6
WDBC__01,Binned,bins_16,34,0.7788069900605024,94.02460456942003,True,qualifies,569,0.24143076615662862,7
WDBC__01,Density,density_32,66,0.615166145447624,88.40070298769771,True,qualifies,569,0.190701978416375,8
WDBC__01,Binned,bins_32,66,0.9263614817415764,88.40070298769771,True,qualifies,569,0.2871727721106919,9
WDBC__01,Density,density_64,130,0.5571179114878113,77.15289982425307,True,qualifies,569,0.1727069812247498,10
WDBC__01,Binned,bins_64,130,1.1979070378151562,77.15289982425307,True,qualifies,569,0.371352103428942,11
WDBC__01,Density,density_128,258,0.5589811703703162,54.65729349736379,True,qualifies,569,0.17328459291197462,12
WDBC__01,Density,density_256,514,0.5573381896278562,9.666080843585235,True,qualifies,569,0.17277526761765247,13
WDBC__01,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,14
WDBC__02,Binned,bins_8,18,4.299829355715374,96.8365553602812,True,qualifies,569,0.3298753143469442,1
WDBC__02,Density,density_8,18,9.970322594784555,96.8365553602812,True,qualifies,569,0.7649055411288065,2
WDBC__02,Binned,bins_16,34,2.4203678460179248,94.02460456942003,True,qualifies,569,0.18568634659399502,3
WDBC__02,Density,density_16,34,4.227643956005238,94.02460456942003,True,qualifies,569,0.32433737796605283,4
