key,dataset,feature,primary,n_A,n_B,B,tolerance,configuration,detail,stream
WDBC__00,WDBC,mean radius,True,357,212,99,1.8180331753554495,bins_8,Distribution,nested
WDBC__00,WDBC,mean radius,True,357,212,499,1.8681658767772489,bins_8,Distribution,nested
WDBC__00,WDBC,mean radius,True,357,212,999,1.874611374407581,bins_8,Distribution,nested
WDBC__00,WDBC,mean radius,True,357,212,999,1.9665453298897724,bins_4,Distribution,independent
WDBC__01,WDBC,mean texture,True,357,212,99,3.2150836040257778,means,Mean,nested
WDBC__01,WDBC,mean texture,True,357,212,499,3.2408208371052782,means,Mean,nested
WDBC__01,WDBC,mean texture,True,357,212,999,3.2257984450716193,means,Mean,nested
WDBC__01,WDBC,mean texture,True,357,212,999,3.0942752808988794,means,Mean,independent
WDBC__02,WDBC,mean perimeter,True,357,212,99,14.052071090047386,bins_8,Distribution,nested
WDBC__02,WDBC,mean perimeter,True,357,212,499,12.78682938388626,bins_8,Distribution,nested
WDBC__02,WDBC,mean perimeter,True,357,212,999,13.034710900473918,bins_8,Distribution,nested
WDBC__02,WDBC,mean perimeter,True,357,212,999,12.521990521327,bins_8,Distribution,independent
WDBC__03,WDBC,mean area,True,357,212,99,268.9302037914692,bins_4,Distribution,nested
WDBC__03,WDBC,mean area,True,357,212,499,274.649,bins_4,Distribution,nested
WDBC__03,WDBC,mean area,True,357,212,999,271.91739336492896,bins_4,Distribution,nested
WDBC__03,WDBC,mean area,True,357,212,999,271.88445497630335,bins_4,Distribution,independent
WDBC__04,WDBC,mean smoothness,True,357,212,99,0.007290308988764045,means,Mean,nested
WDBC__04,WDBC,mean smoothness,True,357,212,499,0.007751382022471868,means,Mean,nested
WDBC__04,WDBC,mean smoothness,True,357,212,999,0.00756055647265563,means,Mean,nested
WDBC__04,WDBC,mean smoothness,True,357,212,999,0.008265825842696603,means,Mean,independent
WDBC__05,WDBC,mean compactness,True,357,212,99,0.033293601895734604,five_number,Quartiles,nested
