key,representation,configuration,N,error
WDBC__00,Means,means,2,2.9016936208445614
WDBC__00,Five-number,five_number,10,2.1853554502369654
WDBC__00,Observations,raw,569,0.0
WDBC__00,Binned,bins_4,10,1.954451213935311
WDBC__00,Binned,bins_8,18,0.8515454236196831
WDBC__00,Binned,bins_16,34,0.5728868125919249
WDBC__00,Binned,bins_32,66,0.49792343009478124
WDBC__00,Binned,bins_64,130,0.4900789187227925
WDBC__00,Density,density_8,18,1.7665928781629052
WDBC__00,Density,density_16,34,0.6441650109924435
WDBC__00,Density,density_32,66,0.5548651922972265
WDBC__00,Density,density_64,130,0.5670808384925365
WDBC__00,Density,density_128,258,0.5702628272066228
WDBC__00,Density,density_256,514,0.5694741550823537
WDBC__01,Means,means,2,1.7636830814581508
WDBC__01,Five-number,five_number,10,3.181404494382022
WDBC__01,Observations,raw,569,0.0
WDBC__01,Binned,bins_4,10,2.4861073639982365
WDBC__01,Binned,bins_8,18,0.8410857206295432
WDBC__01,Binned,bins_16,34,0.7788069900605024
WDBC__01,Binned,bins_32,66,0.9263614817415764
WDBC__01,Binned,bins_64,130,1.1979070378151562
WDBC__01,Density,density_8,18,1.7114415308739268
WDBC__01,Density,density_16,34,0.6788799969626087
WDBC__01,Density,density_32,66,0.615166145447624
WDBC__01,Density,density_64,130,0.5571179114878113
WDBC__01,Density,density_128,258,0.5589811703703162
WDBC__01,Density,density_256,514,0.5573381896278562
WDBC__02,Means,means,2,18.614673353737473
WDBC__02,Five-number,five_number,10,16.63469194312799
WDBC__02,Observations,raw,569,0.0
WDBC__02,Binned,bins_4,10,15.42776736482702
WDBC__02,Binned,bins_8,18,4.299829355715374
WDBC__02,Binned,bins_16,34,2.4203678460179248
WDBC__02,Binned,bins_32,66,2.6373717252501194
WDBC__02,Binned,bins_64,130,2.1765327353955257
WDBC__02,Density,density_8,18,9.970322594784555
WDBC__02,Density,density_16,34,4.227643956005238
WDBC__02,Density,density_32,66,3.778819826292704
WDBC__02,Density,density_64,130,3.7453863742538402
WDBC__02,Density,density_128,258,3.798369641721777
WDBC__02,Density,density_256,514,3.7707607144499917
WDBC__03,Means,means,2,478.1937809840915
WDBC__03,Five-number,five_number,10,473.0379146919431
WDBC__03,Observations,raw,569,0.0
WDBC__03,Binned,bins_4,10,189.21401705766482
WDBC__03,Binned,bins_8,18,74.83413853154195
WDBC__03,Binned,bins_16,34,55.718520164121514
WDBC__03,Binned,bins_32,66,51.76100485217705
WDBC__03,Binned,bins_64,130,99.25993824478758
WDBC__03,Density,density_8,18,261.51118161376905
WDBC__03,Density,density_16,34,84.94987655978991
WDBC__03,Density,density_32,66,69.69519788744537
WDBC__03,Density,density_64,130,69.71927168119953
WDBC__03,Density,density_128,258,70.68603249807552
WDBC__03,Density,density_256,514,70.69842514729851
WDBC__04,Means,means,2,0.00312842644560285
WDBC__04,Five-number,five_number,10,0.02149999999999999
WDBC__04,Observations,raw,569,0.0
WDBC__04,Binned,bins_4,10,0.010421042505854808
WDBC__04,Binned,bins_8,18,0.0024584483848314465
WDBC__04,Binned,bins_16,34,0.00145002562847725
WDBC__04,Binned,bins_32,66,0.0011549380047401747
WDBC__04,Binned,bins_64,130,0.0009522346273700966
WDBC__04,Density,density_8,18,0.007304725165749287
WDBC__04,Density,density_16,34,0.0024666018063778106
WDBC__04,Density,density_32,66,0.0021834216911906373
WDBC__04,Density,density_64,130,0.002082344743036868
WDBC__04,Density,density_128,258,0.0020687786998723062
WDBC__04,Density,density_256,514,0.002061212411899549
WDBC__05,Means,means,2,0.0412884118635795
WDBC__05,Five-number,five_number,10,0.011507582938388633
WDBC__05,Observations,raw,569,0.0
WDBC__05,Binned,bins_4,10,0.01570861470552945
WDBC__05,Binned,bins_8,18,0.012441275741115213
WDBC__05,Binned,bins_16,34,0.006385839034398169
WDBC__05,Binned,bins_32,66,0.004505142654028418
WDBC__05,Binned,bins_64,130,0.0032264628381714067
WDBC__05,Density,density_8,18,0.01322401014229374
WDBC__05,Density,density_16,34,0.009705787476608205
WDBC__05,Density,density_32,66,0.00633790560881943
WDBC__05,Density,density_64,130,0.006484980105313121
WDBC__05,Density,density_128,258,0.006475759848781487
WDBC__05,Density,density_256,514,0.006477126611731138
WDBC__06,Means,means,2,0.09338953909836131
WDBC__06,Five-number,five_number,10,0.16561071090047394
WDBC__06,Observations,raw,569,0.0
WDBC__06,Binned,bins_4,10,0.04263676069866539
WDBC__06,Binned,bins_8,18,0.013925069535852028
WDBC__06,Binned,bins_16,34,0.012095953791469133
WDBC__06,Binned,bins_32,66,0.010267517316806363
WDBC__06,Binned,bins_64,130,0.011796712853773733
WDBC__06,Density,density_8,18,0.03492855897568485
WDBC__06,Density,density_16,34,0.02298825828830034
WDBC__06,Density,density_32,66,0.014692004810313075
WDBC__06,Density,density_64,130,0.014380427332189805
WDBC__06,Density,density_128,258,0.014262811112786433
WDBC__06,Density,density_256,514,0.014294717671440693
WDBC__07,Means,means,2,0.03379849620985835
WDBC__07,Five-number,five_number,10,0.0139736018957346
WDBC__07,Observations,raw,569,0.0
WDBC__07,Binned,bins_4,10,0.013165896226415078
WDBC__07,Binned,bins_8,18,0.006769167202184914
WDBC__07,Binned,bins_16,34,0.004211278633491383
WDBC__07,Binned,bins_32,66,0.002790879739336588
WDBC__07,Binned,bins_64,130,0.0027908797393365603
WDBC__07,Density,density_8,18,0.021541151003927048
WDBC__07,Density,density_16,34,0.005999854588636472
WDBC__07,Density,density_32,66,0.006222813418059608
WDBC__07,Density,density_64,130,0.006819257874840716
WDBC__07,Density,density_128,258,0.006883058872863244
WDBC__07,Density,density_256,514,0.0068902061608569695
WDBC__08,Means,means,2,0.010874784942596943
WDBC__08,Five-number,five_number,10,0.00809662921348317
WDBC__08,Observations,raw,569,0.0
WDBC__08,Binned,bins_4,10,0.01833325471698115
WDBC__08,Binned,bins_8,18,0.0048845202083749595
WDBC__08,Binned,bins_16,34,0.004145786516853933
WDBC__08,Binned,bins_32,66,0.003153436018957345
WDBC__08,Binned,bins_64,130,0.0019102562203791307
WDBC__08,Density,density_8,18,0.01072256742973264
WDBC__08,Density,density_16,34,0.0035011985156776504
WDBC__08,Density,density_32,66,0.0034144546152503896
WDBC__08,Density,density_64,130,0.0031276926538312544
WDBC__08,Density,density_128,258,0.0031128095201981287
WDBC__08,Density,density_256,514,0.0031232678210848797
WDBC__09,Means,means,2,0.0037081152251021293
WDBC__09,Five-number,five_number,10,0.002003567415730337
WDBC__09,Observations,raw,569,0.0
WDBC__09,Binned,bins_4,10,0.003057869747899178
WDBC__09,Binned,bins_8,18,0.001422056869259336
WDBC__09,Binned,bins_16,34,0.0011579592271025035
WDBC__09,Binned,bins_32,66,0.000907990692816163
WDBC__09,Binned,bins_64,130,0.001320208333333378
WDBC__09,Density,density_8,18,0.002041565167647752
WDBC__09,Density,density_16,34,0.001167226282148548
WDBC__09,Density,density_32,66,0.0010350580413798632
WDBC__09,Density,density_64,130,0.0010273783486621085
WDBC__09,Density,density_128,258,0.0010029689560642624
WDBC__09,Density,density_256,514,0.0009962859189197176
WDBC__10,Means,means,2,0.35618843136378253
WDBC__10,Five-number,five_number,10,1.0058799999999999
WDBC__10,Observations,raw,569,0.0
WDBC__10,Binned,bins_4,10,0.29350806062679397
WDBC__10,Binned,bins_8,18,0.06145410717193098
WDBC__10,Binned,bins_16,34,0.052336803909952434
WDBC__10,Binned,bins_32,66,0.04571084493483468
WDBC__10,Binned,bins_64,130,0.03861486966824701
WDBC__10,Density,density_8,18,0.23415816301050976
WDBC__10,Density,density_16,34,0.1076152009526462
WDBC__10,Density,density_32,66,0.05375507449156869
WDBC__10,Density,density_64,130,0.04139515080240197
WDBC__10,Density,density_128,258,0.0458891482850885
WDBC__10,Density,density_256,514,0.04783197063072486
WDBC__11,Means,means,2,0.21747833082141077
WDBC__11,Five-number,five_number,10,0.9089943820224722
WDBC__11,Observations,raw,569,0.0
WDBC__11,Binned,bins_4,10,0.14794580668395274
WDBC__11,Binned,bins_8,18,0.13176928838951363
WDBC__11,Binned,bins_16,34,0.10506722176227123
WDBC__11,Binned,bins_32,66,0.08223389513108592
WDBC__11,Binned,bins_64,130,0.06526733490566183
WDBC__11,Density,density_8,18,0.22384561863251506
WDBC__11,Density,density_16,34,0.12132445993876217
WDBC__11,Density,density_32,66,0.09000544363993579
WDBC__11,Density,density_64,130,0.09600127162430483
WDBC__11,Density,density_128,258,0.09454651703697414
WDBC__11,Density,density_256,514,0.09465934364564088
WDBC__12,Means,means,2,2.9346420432323863
WDBC__12,Five-number,five_number,10,8.795
WDBC__12,Observations,raw,569,0.0
WDBC__12,Binned,bins_4,10,2.5326238207547167
WDBC__12,Binned,bins_8,18,0.6642950412238156
WDBC__12,Binned,bins_16,34,0.7300559622442857
WDBC__12,Binned,bins_32,66,0.23444431807885024
WDBC__12,Binned,bins_64,130,0.24669547448903817
WDBC__12,Density,density_8,18,1.4056916308007044
WDBC__12,Density,density_16,34,0.9118946228620248
WDBC__12,Density,density_32,66,0.4659507467125521
