key,dataset,feature,primary,n_A,n_B,contract,configuration,representation,N
WDBC__00,WDBC,mean radius,True,357,212,payload,bins_8,Binned,18
WDBC__00,WDBC,mean radius,True,357,212,legacy_box,bins_8,Binned,18
WDBC__00,WDBC,mean radius,True,357,212,free_parameters,bins_8,Binned,18
WDBC__00,WDBC,mean radius,True,357,212,equal,raw,Observations,569
WDBC__01,WDBC,mean texture,True,357,212,payload,means,Means,2
WDBC__01,WDBC,mean texture,True,357,212,legacy_box,means,Means,2
WDBC__01,WDBC,mean texture,True,357,212,free_parameters,means,Means,2
WDBC__01,WDBC,mean texture,True,357,212,equal,raw,Observations,569
WDBC__02,WDBC,mean perimeter,True,357,212,payload,bins_8,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,legacy_box,bins_8,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,free_parameters,bins_8,Binned,18
WDBC__02,WDBC,mean perimeter,True,357,212,equal,raw,Observations,569
WDBC__03,WDBC,mean area,True,357,212,payload,bins_4,Binned,10
WDBC__03,WDBC,mean area,True,357,212,legacy_box,bins_4,Binned,10
WDBC__03,WDBC,mean area,True,357,212,free_parameters,bins_4,Binned,10
WDBC__03,WDBC,mean area,True,357,212,equal,raw,Observations,569
WDBC__04,WDBC,mean smoothness,True,357,212,payload,means,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,legacy_box,means,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,free_parameters,means,Means,2
WDBC__04,WDBC,mean smoothness,True,357,212,equal,raw,Observations,569
WDBC__05,WDBC,mean compactness,True,357,212,payload,five_number,Five-number,10
WDBC__05,WDBC,mean compactness,True,357,212,legacy_box,bins_4,Binned,10
WDBC__05,WDBC,mean compactness,True,357,212,free_parameters,bins_4,Binned,10
WDBC__05,WDBC,mean compactness,True,357,212,equal,raw,Observations,569
WDBC__06,WDBC,mean concavity,True,357,212,payload,bins_4,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,legacy_box,bins_4,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,free_parameters,bins_4,Binned,10
WDBC__06,WDBC,mean concavity,True,357,212,equal,raw,Observations,569
WDBC__07,WDBC,mean concave points,True,357,212,payload,bins_4,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,legacy_box,bins_4,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,free_parameters,bins_4,Binned,10
WDBC__07,WDBC,mean concave points,True,357,212,equal,raw,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,payload,means,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,legacy_box,means,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,free_parameters,means,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,equal,raw,Observations,569
WDBC__09,WDBC,mean fractal dimension,True,357,212,payload,means,Means,2
WDBC__09,WDBC,mean fractal dimension,True,357,212,legacy_box,means,Means,2
WDBC__09,WDBC,mean fractal dimension,True,357,212,free_parameters,means,Means,2
WDBC__09,WDBC,mean fractal dimension,True,357,212,equal,raw,Observations,569
WDBC__10,WDBC,radius error,True,357,212,payload,bins_8,Binned,18
WDBC__10,WDBC,radius error,True,357,212,legacy_box,bins_8,Binned,18
WDBC__10,WDBC,radius error,True,357,212,free_parameters,bins_8,Binned,18
WDBC__10,WDBC,radius error,True,357,212,equal,raw,Observations,569
WDBC__11,WDBC,texture error,True,357,212,payload,means,Means,2
WDBC__11,WDBC,texture error,True,357,212,legacy_box,means,Means,2
WDBC__11,WDBC,texture error,True,357,212,free_parameters,means,Means,2
WDBC__11,WDBC,texture error,True,357,212,equal,raw,Observations,569
WDBC__12,WDBC,perimeter error,True,357,212,payload,bins_8,Binned,18
WDBC__12,WDBC,perimeter error,True,357,212,legacy_box,bins_8,Binned,18
WDBC__12,WDBC,perimeter error,True,357,212,free_parameters,bins_8,Binned,18
WDBC__12,WDBC,perimeter error,True,357,212,equal,raw,Observations,569
WDBC__13,WDBC,area error,True,357,212,payload,bins_16,Binned,34
WDBC__13,WDBC,area error,True,357,212,legacy_box,bins_16,Binned,34
WDBC__13,WDBC,area error,True,357,212,free_parameters,bins_16,Binned,34
WDBC__13,WDBC,area error,True,357,212,equal,raw,Observations,569
WDBC__14,WDBC,smoothness error,True,357,212,payload,bins_4,Binned,10
WDBC__14,WDBC,smoothness error,True,357,212,legacy_box,bins_4,Binned,10
WDBC__14,WDBC,smoothness error,True,357,212,free_parameters,bins_4,Binned,10
WDBC__14,WDBC,smoothness error,True,357,212,equal,raw,Observations,569
WDBC__15,WDBC,compactness error,True,357,212,payload,means,Means,2
WDBC__15,WDBC,compactness error,True,357,212,legacy_box,means,Means,2
WDBC__15,WDBC,compactness error,True,357,212,free_parameters,means,Means,2
WDBC__15,WDBC,compactness error,True,357,212,equal,raw,Observations,569
WDBC__16,WDBC,concavity error,True,357,212,payload,means,Means,2
WDBC__16,WDBC,concavity error,True,357,212,legacy_box,means,Means,2
WDBC__16,WDBC,concavity error,True,357,212,free_parameters,means,Means,2
WDBC__16,WDBC,concavity error,True,357,212,equal,raw,Observations,569
WDBC__17,WDBC,concave points error,True,357,212,payload,means,Means,2
WDBC__17,WDBC,concave points error,True,357,212,legacy_box,means,Means,2
WDBC__17,WDBC,concave points error,True,357,212,free_parameters,means,Means,2
WDBC__17,WDBC,concave points error,True,357,212,equal,raw,Observations,569
WDBC__18,WDBC,symmetry error,True,357,212,payload,means,Means,2
WDBC__18,WDBC,symmetry error,True,357,212,legacy_box,means,Means,2
WDBC__18,WDBC,symmetry error,True,357,212,free_parameters,means,Means,2
WDBC__18,WDBC,symmetry error,True,357,212,equal,raw,Observations,569
WDBC__19,WDBC,fractal dimension error,True,357,212,payload,means,Means,2
WDBC__19,WDBC,fractal dimension error,True,357,212,legacy_box,means,Means,2
WDBC__19,WDBC,fractal dimension error,True,357,212,free_parameters,means,Means,2
WDBC__19,WDBC,fractal dimension error,True,357,212,equal,raw,Observations,569
WDBC__20,WDBC,worst radius,True,357,212,payload,bins_8,Binned,18
WDBC__20,WDBC,worst radius,True,357,212,legacy_box,bins_8,Binned,18
WDBC__20,WDBC,worst radius,True,357,212,free_parameters,bins_8,Binned,18
WDBC__20,WDBC,worst radius,True,357,212,equal,raw,Observations,569
WDBC__21,WDBC,worst texture,True,357,212,payload,means,Means,2
WDBC__21,WDBC,worst texture,True,357,212,legacy_box,means,Means,2
WDBC__21,WDBC,worst texture,True,357,212,free_parameters,means,Means,2
WDBC__21,WDBC,worst texture,True,357,212,equal,raw,Observations,569
WDBC__22,WDBC,worst perimeter,True,357,212,payload,density_8,Density,18
WDBC__22,WDBC,worst perimeter,True,357,212,legacy_box,density_8,Density,18
WDBC__22,WDBC,worst perimeter,True,357,212,free_parameters,bins_8,Binned,18
WDBC__22,WDBC,worst perimeter,True,357,212,equal,raw,Observations,569
WDBC__23,WDBC,worst area,True,357,212,payload,bins_4,Binned,10
WDBC__23,WDBC,worst area,True,357,212,legacy_box,bins_4,Binned,10
