key,configurations,count
WDBC__00,bins_8,1
WDBC__01,means,1
WDBC__02,bins_8,1
WDBC__03,bins_4,1
WDBC__04,means,1
WDBC__05,five_number,1
WDBC__06,bins_4,1
WDBC__07,bins_4,1
WDBC__08,means,1
WDBC__09,means,1
WDBC__10,bins_8,1
WDBC__11,means,1
WDBC__12,bins_8,1
WDBC__13,bins_16,1
WDBC__14,bins_4,1
WDBC__15,means,1
WDBC__16,means,1
WDBC__17,means,1
WDBC__18,means,1
WDBC__19,means,1
WDBC__20,bins_8,1
WDBC__21,means,1
WDBC__22,density_8,1
WDBC__23,bins_4,1
WDBC__24,means,1
WDBC__25,bins_4,1
WDBC__26,means,1
WDBC__27,means,1
WDBC__28,bins_8,1
WDBC__29,means,1
Cleveland__00,means,1
Cleveland__01,means,1
Cleveland__02,means,1
Cleveland__03,means,1
Cleveland__04,five_number,1
HeartFailure__00,means,1
HeartFailure__01,means,1
HeartFailure__02,means,1
HeartFailure__03,means,1
HeartFailure__04,means,1
HeartFailure__05,means,1
CKD__00,bins_4,1
CKD__01,bins_8,1
CKD__02,bins_4,1
CKD__03,bins_4,1
CKD__04,bins_16,1
CKD__05,means,1
CKD__06,bins_32,1
CKD__07,bins_8,1
CKD__08,bins_8,1
CKD__09,bins_4,1
CKD__10,means,1
ILPD__00,means,1
ILPD__01,bins_16,1
ILPD__02,bins_8,1
ILPD__03,five_number,1
ILPD__04,bins_16,1
ILPD__05,density_16,1
ILPD__06,means,1
ILPD__07,means,1
ILPD__08,means,1
Parkinsons__00,means,1
Parkinsons__01,means,1
Parkinsons__02,means,1
Parkinsons__03,means,1
Parkinsons__04,means,1
Parkinsons__05,means,1
Parkinsons__06,means,1
Parkinsons__07,means,1
Parkinsons__08,bins_4,1
Parkinsons__09,means,1
Parkinsons__10,five_number,1
Parkinsons__11,bins_4,1
Parkinsons__12,means,1
Parkinsons__13,five_number,1
Parkinsons__14,means,1
Parkinsons__15,means,1
Parkinsons__16,means,1
Parkinsons__17,means,1
Parkinsons__18,means,1
Parkinsons__19,means,1
Parkinsons__20,means,1
Parkinsons__21,means,1
Retinopathy__00,bins_4,1
Retinopathy__01,bins_4,1
Retinopathy__02,means,1
Retinopathy__03,means,1
Retinopathy__04,means,1
Retinopathy__05,means,1
Retinopathy__06,bins_4,1
Retinopathy__07,bins_4,1
Retinopathy__08,bins_4,1
Retinopathy__09,means,1
Retinopathy__10,density_8,1
Retinopathy__11,density_32,1
Retinopathy__12,bins_16,1
Retinopathy__13,bins_32,1
Retinopathy__14,means,1
Retinopathy__15,means,1
HAR__00,five_number,1
HAR__01,means,1
HAR__02,means,1
HAR__03,five_number,1
HAR__04,five_number,1
HAR__05,five_number,1
HAR__06,means,1
HAR__07,means,1
HAR__08,means,1
HAR__09,means,1
HAR__10,means,1
HAR__11,means,1
HAR__12,bins_4,1
HAR__13,five_number,1
HAR__14,five_number,1
HAR__15,five_number,1
HAR__16,five_number,1
HAR__17,five_number,1
HAR__18,means,1
HAR__19,five_number,1
HAR__20,five_number,1
HAR__21,five_number,1
HAR__22,five_number,1
HAR__23,five_number,1
HAR__24,five_number,1
HAR__25,five_number,1
HAR__26,means,1
HAR__27,means,1
HAR__28,means,1
HAR__29,five_number,1
HAR__30,five_number,1
HAR__31,five_number,1
HAR__32,five_number,1
HAR__33,five_number,1
HAR__34,five_number,1
HAR__35,five_number,1
HAR__36,five_number,1
HAR__37,five_number,1
HAR__38,means,1
HAR__39,five_number,1
BIDMC__00,means,1
BIDMC__01,means,1
BIDMC__02,means,1
BIDMC__03,means,1
BIDMC__04,means,1
Wrist__00,means,1
Wrist__01,means,1
Wrist__02,means,1
Wrist__03,means,1
Wrist__04,means,1
