key,dataset,feature,primary,n_A,n_B,setting,configuration,detail,tolerance
WDBC__00,WDBC,mean radius,True,357,212,percentile_0.8,bins_8,Distribution,1.4999052132701447
WDBC__00,WDBC,mean radius,True,357,212,percentile_0.9,bins_8,Distribution,1.6744943820224716
WDBC__00,WDBC,mean radius,True,357,212,percentile_0.95,bins_8,Distribution,1.874611374407581
WDBC__00,WDBC,mean radius,True,357,212,percentile_0.99,bins_4,Quartiles,2.407820853080566
WDBC__00,WDBC,mean radius,True,357,212,band_0.01_0.99,bins_4,Quartiles,3.310308104265391
WDBC__00,WDBC,mean radius,True,357,212,band_0.1_0.9,bins_8,Distribution,1.1230304595558878
WDBC__00,WDBC,mean radius,True,357,212,fixed_0.05,raw,Distribution,0.12052583268539566
WDBC__00,WDBC,mean radius,True,357,212,fixed_0.1,raw,Distribution,0.2410516653707913
WDBC__00,WDBC,mean radius,True,357,212,fixed_0.2,raw,Distribution,0.4821033307415826
WDBC__01,WDBC,mean texture,True,357,212,percentile_0.8,means,Mean,2.491943820224721
WDBC__01,WDBC,mean texture,True,357,212,percentile_0.9,means,Mean,2.9189213483146097
WDBC__01,WDBC,mean texture,True,357,212,percentile_0.95,means,Mean,3.2257984450716193
WDBC__01,WDBC,mean texture,True,357,212,percentile_0.99,means,Mean,3.6944224719101144
WDBC__01,WDBC,mean texture,True,357,212,band_0.01_0.99,means,Mean,6.280599999999932
WDBC__01,WDBC,mean texture,True,357,212,band_0.1_0.9,means,Mean,2.6203258426966283
WDBC__01,WDBC,mean texture,True,357,212,fixed_0.05,raw,Distribution,0.19581298670475344
WDBC__01,WDBC,mean texture,True,357,212,fixed_0.1,raw,Distribution,0.3916259734095069
WDBC__01,WDBC,mean texture,True,357,212,fixed_0.2,density_16,Distribution,0.7832519468190138
WDBC__02,WDBC,mean perimeter,True,357,212,percentile_0.8,bins_8,Distribution,9.561715639810428
WDBC__02,WDBC,mean perimeter,True,357,212,percentile_0.9,bins_8,Distribution,10.99233984770222
WDBC__02,WDBC,mean perimeter,True,357,212,percentile_0.95,bins_8,Distribution,13.034710900473918
WDBC__02,WDBC,mean perimeter,True,357,212,percentile_0.99,bins_4,Quartiles,17.48690157090365
WDBC__02,WDBC,mean perimeter,True,357,212,band_0.01_0.99,bins_4,Quartiles,21.41403791469194
WDBC__02,WDBC,mean perimeter,True,357,212,band_0.1_0.9,bins_8,Distribution,7.671639810426536
WDBC__02,WDBC,mean perimeter,True,357,212,fixed_0.05,raw,Distribution,0.8143634672922819
WDBC__02,WDBC,mean perimeter,True,357,212,fixed_0.1,raw,Distribution,1.6287269345845639
WDBC__02,WDBC,mean perimeter,True,357,212,fixed_0.2,bins_16,Distribution,3.2574538691691277
WDBC__03,WDBC,mean area,True,357,212,percentile_0.8,bins_4,Distribution,200.13200000000003
WDBC__03,WDBC,mean area,True,357,212,percentile_0.9,bins_4,Distribution,256.2448909952607
WDBC__03,WDBC,mean area,True,357,212,percentile_0.95,bins_4,Distribution,271.91739336492896
WDBC__03,WDBC,mean area,True,357,212,percentile_0.99,bins_4,Distribution,310.9180113744076
WDBC__03,WDBC,mean area,True,357,212,band_0.01_0.99,bins_4,Quartiles,566.0799052132693
WDBC__03,WDBC,mean area,True,357,212,band_0.1_0.9,bins_8,Distribution,138.7294877256508
WDBC__03,WDBC,mean area,True,357,212,fixed_0.05,raw,Distribution,12.4198651286463
WDBC__03,WDBC,mean area,True,357,212,fixed_0.1,raw,Distribution,24.8397302572926
WDBC__03,WDBC,mean area,True,357,212,fixed_0.2,raw,Distribution,49.6794605145852
WDBC__04,WDBC,mean smoothness,True,357,212,percentile_0.8,means,Mean,0.005561764044943818
WDBC__04,WDBC,mean smoothness,True,357,212,percentile_0.9,means,Mean,0.006475958517492939
WDBC__04,WDBC,mean smoothness,True,357,212,percentile_0.95,means,Mean,0.00756055647265563
WDBC__04,WDBC,mean smoothness,True,357,212,percentile_0.99,means,Mean,0.009733267298578157
WDBC__04,WDBC,mean smoothness,True,357,212,band_0.01_0.99,means,Mean,0.01538769999999991
WDBC__04,WDBC,mean smoothness,True,357,212,band_0.1_0.9,means,Mean,0.0052226460674157284
WDBC__04,WDBC,mean smoothness,True,357,212,fixed_0.05,raw,Distribution,0.0006570265126781715
WDBC__04,WDBC,mean smoothness,True,357,212,fixed_0.1,bins_32,Distribution,0.001314053025356343
WDBC__04,WDBC,mean smoothness,True,357,212,fixed_0.2,bins_8,Distribution,0.002628106050712686
WDBC__05,WDBC,mean compactness,True,357,212,percentile_0.8,five_number,Quartiles,0.02672030337078645
WDBC__05,WDBC,mean compactness,True,357,212,percentile_0.9,five_number,Quartiles,0.03300532701421803
WDBC__05,WDBC,mean compactness,True,357,212,percentile_0.95,five_number,Quartiles,0.03806545023696684
WDBC__05,WDBC,mean compactness,True,357,212,percentile_0.99,means,Mean,0.043787228846051414
WDBC__05,WDBC,mean compactness,True,357,212,band_0.01_0.99,means,Mean,0.06233499336492877
WDBC__05,WDBC,mean compactness,True,357,212,band_0.1_0.9,five_number,Quartiles,0.022830280898876433
WDBC__05,WDBC,mean compactness,True,357,212,fixed_0.05,raw,Distribution,0.0021212124967787084
WDBC__05,WDBC,mean compactness,True,357,212,fixed_0.1,bins_64,Distribution,0.004242424993557417
WDBC__05,WDBC,mean compactness,True,357,212,fixed_0.2,bins_16,Distribution,0.008484849987114833
WDBC__06,WDBC,mean concavity,True,357,212,percentile_0.8,bins_4,Distribution,0.04360793918739017
WDBC__06,WDBC,mean concavity,True,357,212,percentile_0.9,bins_4,Distribution,0.05136514723893709
WDBC__06,WDBC,mean concavity,True,357,212,percentile_0.95,bins_4,Distribution,0.06240066350710902
WDBC__06,WDBC,mean concavity,True,357,212,percentile_0.99,bins_4,Distribution,0.07093745098780546
WDBC__06,WDBC,mean concavity,True,357,212,band_0.01_0.99,means,Mean,0.14593455056179794
WDBC__06,WDBC,mean concavity,True,357,212,band_0.1_0.9,bins_8,Distribution,0.03720199999999996
WDBC__06,WDBC,mean concavity,True,357,212,fixed_0.05,raw,Distribution,0.0028632387672211873
WDBC__06,WDBC,mean concavity,True,357,212,fixed_0.1,raw,Distribution,0.005726477534442375
WDBC__06,WDBC,mean concavity,True,357,212,fixed_0.2,bins_32,Distribution,0.01145295506888475
WDBC__07,WDBC,mean concave points,True,357,212,percentile_0.8,bins_4,Quartiles,0.01705361137440764
WDBC__07,WDBC,mean concave points,True,357,212,percentile_0.9,bins_4,Quartiles,0.019313292560839242
WDBC__07,WDBC,mean concave points,True,357,212,percentile_0.95,bins_4,Quartiles,0.02105628744874596
WDBC__07,WDBC,mean concave points,True,357,212,percentile_0.99,bins_4,Quartiles,0.025674735124341003
WDBC__07,WDBC,mean concave points,True,357,212,band_0.01_0.99,five_number,Quartiles,0.030008834123222736
WDBC__07,WDBC,mean concave points,True,357,212,band_0.1_0.9,bins_4,Quartiles,0.018871857819905226
WDBC__07,WDBC,mean concave points,True,357,212,fixed_0.05,raw,Distribution,0.0012233222136983396
WDBC__07,WDBC,mean concave points,True,357,212,fixed_0.1,raw,Distribution,0.0024466444273966792
WDBC__07,WDBC,mean concave points,True,357,212,fixed_0.2,bins_16,Distribution,0.0048932888547933585
WDBC__08,WDBC,mean symmetry,True,357,212,percentile_0.8,means,Mean,0.013411316364023592
WDBC__08,WDBC,mean symmetry,True,357,212,percentile_0.9,means,Mean,0.01572146067415729
WDBC__08,WDBC,mean symmetry,True,357,212,percentile_0.95,means,Mean,0.018083080568720385
WDBC__08,WDBC,mean symmetry,True,357,212,percentile_0.99,means,Mean,0.022703658767772507
WDBC__08,WDBC,mean symmetry,True,357,212,band_0.01_0.99,means,Mean,0.04026082808988768
WDBC__08,WDBC,mean symmetry,True,357,212,band_0.1_0.9,means,Mean,0.013403159912668385
WDBC__08,WDBC,mean symmetry,True,357,212,fixed_0.05,raw,Distribution,0.0012948291596429852
WDBC__08,WDBC,mean symmetry,True,357,212,fixed_0.1,bins_64,Distribution,0.0025896583192859704
WDBC__08,WDBC,mean symmetry,True,357,212,fixed_0.2,bins_8,Distribution,0.005179316638571941
WDBC__09,WDBC,mean fractal dimension,True,357,212,percentile_0.8,means,Mean,0.003978028089887631
WDBC__09,WDBC,mean fractal dimension,True,357,212,percentile_0.9,means,Mean,0.004584224719101122
WDBC__09,WDBC,mean fractal dimension,True,357,212,percentile_0.95,means,Mean,0.005147545023696683
WDBC__09,WDBC,mean fractal dimension,True,357,212,percentile_0.99,means,Mean,0.0063092109137866835
WDBC__09,WDBC,mean fractal dimension,True,357,212,band_0.01_0.99,means,Mean,0.01396101999999971
WDBC__09,WDBC,mean fractal dimension,True,357,212,band_0.1_0.9,means,Mean,0.003908820238031844
WDBC__09,WDBC,mean fractal dimension,True,357,212,fixed_0.05,raw,Distribution,0.0003533001898415591
