H,family,phase,loss,error,recovered
256,Scatter plot,0.0,0.0015821398201358305,,[0.4864211897313224]
256,Scatter plot,0.25,0.0023754306790981783,,[0.4880077714492471]
256,Scatter plot,0.5,0.002441792487935357,,[0.4881404950669215]
256,Scatter plot,0.75,0.001492264939184751,,[0.48624143996942026]
256,Heatmap,0.0,0.008004250944612545,,[0.49926541198027585]
256,Heatmap,0.25,0.008004250944612545,,[0.49926541198027585]
256,Heatmap,0.5,0.008004250944612545,,[0.49926541198027585]
256,Heatmap,0.75,0.008004250944612545,,[0.49926541198027585]
384,Scatter plot,0.125,0.008933225755000052,,[0.5011233616010509]
384,Scatter plot,0.375,0.0037025204044887627,,[0.47585186928207324]
384,Scatter plot,0.625,0.004695304539883233,,[0.4738663010112843]
384,Scatter plot,0.875,0.004726697236428878,,[0.473803515618193]
384,Heatmap,0.125,0.008004250944612545,,[0.49926541198027585]
384,Heatmap,0.375,0.008004250944612545,,[0.49926541198027585]
384,Heatmap,0.625,0.008004250944612545,,[0.49926541198027585]
384,Heatmap,0.875,0.008004250944612545,,[0.49926541198027585]
