H,family,phase,loss,error,recovered
256,Bar chart,0.0,0.003350636204538321,,"[0.6755791296817493, 0.3244208703182507]"
256,Bar chart,0.25,0.0033857580915490626,,"[0.6755440077947386, 0.32445599220526145]"
256,Bar chart,0.5,0.003532898068659751,,"[0.6753968678176279, 0.32460313218237213]"
256,Bar chart,0.75,0.0007602394584478311,,"[0.6796900053447354, 0.32030999465526455]"
256,Pie chart,0.0,0.000283068548520643,,"[0.6792128344348083, 0.32078716556519177]"
256,Pie chart,0.25,0.00012516365415574104,,"[0.6788046022321319, 0.32119539776786815]"
256,Pie chart,0.5,0.0010711482479039969,,"[0.6778586176383836, 0.3221413823616164]"
256,Pie chart,0.75,0.0005118811055481454,,"[0.6784178847807395, 0.32158211521926056]"
256,Donut chart,0.0,0.0002677440376049889,,"[0.6786620218486826, 0.32133797815131737]"
256,Donut chart,0.25,0.00036681045500477905,,"[0.6785629554312829, 0.3214370445687172]"
256,Donut chart,0.5,0.0009929195059444618,,"[0.6779368463803431, 0.3220631536196568]"
256,Donut chart,0.75,0.000731531129262164,,"[0.6781982347570255, 0.32180176524297455]"
256,Stacked bar,0.0,0.0007239137673920315,,"[0.6796536796536796, 0.3203463203463203]"
256,Stacked bar,0.25,0.0037337796837162707,,"[0.6751959862025714, 0.3248040137974287]"
256,Stacked bar,0.5,0.0066419637502561635,,"[0.6722878021360315, 0.32771219786396855]"
256,Stacked bar,0.75,0.0006688963210702281,,"[0.6782608695652174, 0.3217391304347826]"
384,Bar chart,0.125,0.001576090580273859,,"[0.6805058564665615, 0.3194941435334385]"
384,Bar chart,0.375,0.0037352782223623038,,"[0.6751944876639253, 0.3248055123360747]"
384,Bar chart,0.625,0.0037347095366755123,,"[0.6751950563496121, 0.32480494365038787]"
384,Bar chart,0.875,0.001869185491333747,,"[0.6770605803949539, 0.32293941960504613]"
384,Pie chart,0.125,0.00014135927224923073,,"[0.6790711251585368, 0.32092887484146315]"
384,Pie chart,0.375,0.000774054592586948,,"[0.6781557112937007, 0.32184428870629933]"
384,Pie chart,0.625,0.000774054592586948,,"[0.6781557112937007, 0.32184428870629933]"
384,Pie chart,0.875,0.00014135927224923073,,"[0.6790711251585368, 0.32092887484146315]"
384,Donut chart,0.125,0.0004344871777892667,,"[0.6784952787084984, 0.32150472129150165]"
384,Donut chart,0.375,0.00039790993060895286,,"[0.6785318559556787, 0.32146814404432134]"
384,Donut chart,0.625,0.0011949309391350305,,"[0.6777348349471526, 0.3222651650528474]"
384,Donut chart,0.875,0.00029356735471730566,,"[0.6792233332410049, 0.3207766667589951]"
384,Stacked bar,0.125,0.0012751340696395275,,"[0.6776546318166481, 0.3223453681833519]"
384,Stacked bar,0.375,0.0020146253136799075,,"[0.6769151405726077, 0.3230848594273923]"
384,Stacked bar,0.625,0.004034889698777883,,"[0.6748948761875098, 0.3251051238124903]"
384,Stacked bar,0.875,0.00015881616561722045,,"[0.6787709497206704, 0.32122905027932963]"
