H,family,phase,loss,error,recovered
256,Line chart,0.0,0.028517612408592335,,"[93.83727272727273, 94.05448863636364, 94.44547727272727, 95.575, 94.48892045454546, 94.48892045454546, 93.40284090909091, 93.40284090909091, 92.20815340909091, 90.18804545454546, 88.84130681818183, 84.71420454545455]"
256,Line chart,0.25,0.01495078496063142,,"[93.83727272727273, 93.83727272727273, 94.27170454545455, 95.575, 94.3803125, 94.27170454545455, 93.40284090909091, 93.40284090909091, 92.09954545454546, 90.10115909090909, 88.79786363636364, 84.49698863636364]"
256,Line chart,0.5,0.031031921740831643,,"[93.83727272727273, 93.83727272727273, 94.27170454545455, 95.40122727272728, 94.27170454545455, 94.27170454545455, 93.40284090909091, 93.29423295454545, 91.9909375, 90.03599431818182, 88.62409090909091, 84.42458333333335]"
256,Line chart,0.75,0.05609859350333753,,"[93.83727272727273, 93.83727272727273, 94.09793181818182, 95.14056818181818, 94.27170454545455, 94.27170454545455, 93.185625, 93.185625, 91.92577272727273, 89.92738636363636, 88.51548295454546, 84.42458333333335]"
256,Area chart,0.0,0.027549089170627834,,"[93.83727272727273, 93.83727272727273, 94.27170454545455, 95.575, 94.27170454545455, 94.27170454545455, 93.40284090909091, 93.40284090909091, 92.09954545454546, 89.92738636363636, 88.62409090909091, 84.27977272727273]"
256,Area chart,0.25,0.06181575641863534,,"[93.83727272727273, 93.83727272727273, 94.27170454545455, 95.14056818181818, 94.27170454545455, 94.27170454545455, 92.9684090909091, 92.9684090909091, 92.09954545454546, 89.92738636363636, 88.62409090909091, 84.27977272727273]"
256,Area chart,0.5,0.11628748973571129,,"[93.40284090909091, 93.40284090909091, 93.83727272727273, 95.14056818181818, 94.27170454545455, 93.83727272727273, 92.9684090909091, 92.9684090909091, 91.66511363636364, 89.92738636363636, 88.62409090909091, 84.27977272727273]"
256,Area chart,0.75,0.12775972626160106,,"[93.40284090909091, 93.40284090909091, 93.83727272727273, 95.14056818181818, 93.83727272727273, 93.83727272727273, 92.9684090909091, 92.9684090909091, 91.66511363636364, 89.92738636363636, 88.62409090909091, 84.27977272727273]"
256,Dot plot,0.0,0.05142568233324702,,"[94.05448863636364, 94.12689393939394, 94.39582792207793, 95.79221590909091, 94.48892045454546, 94.56132575757576, 93.62005681818182, 93.62005681818182, 92.24435606060607, 90.21700757575758, 89.05852272727273, 84.49698863636364]"
256,Dot plot,0.25,0.008346921891146407,,"[93.83727272727273, 93.98208333333334, 94.27170454545455, 95.62930397727274, 94.41651515151517, 94.41651515151517, 93.45714488636364, 93.40284090909091, 92.09954545454546, 90.14460227272727, 88.84130681818183, 84.42458333333335]"
256,Dot plot,0.5,0.02125831442903542,,"[93.83727272727273, 93.89157670454546, 94.21740056818182, 95.575, 94.27170454545455, 94.32600852272728, 93.40284090909091, 93.40284090909091, 92.04524147727274, 89.92738636363636, 88.76890151515151, 84.27977272727273]"
256,Dot plot,0.75,0.05605824797479143,,"[93.62005681818182, 93.83727272727273, 94.12689393939394, 95.43018939393939, 94.21740056818182, 94.27170454545455, 93.25803030303031, 93.185625, 91.88232954545455, 89.92738636363636, 88.62409090909091, 84.22546875]"
