A,B
0.04781,0.1471
0.0311,0.07017
0.02076,0.1279
0.02923,0.1052
0.005917,0.1043
0.02749,0.08089
0.03384,0.074
0.01115,0.05985
0.01723,0.09353
0.01349,0.08543
0.02278,0.03323
0.004167,0.06606
0.007799,0.1118
0.0129,0.05364
0.009259,0.08025
0.0218,0.07364
0.01504,0.05259
0.0223,0.1028
0.04375,0.09498
0.02864,0.09756
0.02872,0.08632
0.02272,0.0917
0.06556,0.1401
0.02315,0.08783
0.02233,0.07731
0.06987,0.08751
0.01863,0.07953
0.03745,0.1244
0.07064,0.05182
0.02957,0.1203
0.02648,0.07593
0.0278,0.07752
0.02941,0.06018
0.007937,0.05598
0.0335,0.02899
0.0,0.05439
0.0177,0.02031
0.03029,0.05669
0.01201,0.09961
0.03485,0.06158
0.01921,0.05252
0.01899,0.1009
0.01778,0.0734
0.06021,0.106
0.07798,0.03334
0.03068,0.08994
0.01924,0.08123
0.02008,0.08653
0.02308,0.06873
0.02623,0.09029
0.05778,0.07951
0.028,0.07944
0.01141,0.05069
0.08534,0.06638
0.02882,0.108
0.05933,0.1604
0.026,0.1845
0.02875,0.1469
0.04796,0.08795
0.0,0.04938
0.01861,0.08271
0.03088,0.07483
0.007875,0.08815
0.03003,0.08683
0.03562,0.05839
0.05532,0.04489
0.01329,0.09601
0.02645,0.1823
0.02168,0.08923
0.07857,0.09479
0.01786,0.05596
0.03483,0.08665
0.02331,0.2012
0.02771,0.03085
0.01963,0.05627
0.006588,0.1149
0.03738,0.08087
0.02822,0.05613
0.01939,0.06847
0.01698,0.02704
0.03781,0.08624
0.037,0.05943
0.02583,0.07415
0.0,0.1054
0.0,0.09667
0.03716,0.1286
0.001852,0.09702
0.0133,0.06576
0.02361,0.1043
0.002404,0.03438
0.03239,0.1097
0.01553,0.08866
0.01654,0.1878
0.02864,0.1496
0.0,0.05189
0.02377,0.03263
0.04107,0.05814
0.03821,0.06618
0.01952,0.04562
0.05102,0.08878
0.03157,0.06526
0.01393,0.05778
0.03142,0.06772
0.01071,0.0598
0.02563,0.07488
0.04451,0.162
0.01915,0.09176
0.02456,0.04079
0.04603,0.0539
0.01216,0.09561
0.0378,0.1595
0.02036,0.06597
0.003125,0.06462
0.006434,0.05602
0.01667,0.08691
0.01896,0.06637
0.04408,0.06462
0.03731,0.06861
0.01108,0.109
0.02854,0.0834
0.02344,0.1237
0.0307,0.06022
0.01105,0.08811
0.0398,0.08886
0.01615,0.131
0.02929,0.0974
0.02069,0.08353
0.02642,0.08591
0.02142,0.05246
0.01615,0.1144
0.02867,0.1242
0.00625,0.1377
0.02755,0.08399
0.01407,0.09333
0.07404,0.02837
0.003333,0.07507
0.01238,0.02847
0.03711,0.06527
0.02763,0.08646
0.0339,0.1088
0.002924,0.04744
0.03791,0.05843
0.01171,0.09664
0.05588,0.09464
0.02173,0.09052
0.06602,0.03515
0.04819,0.1062
0.0337,0.128
0.0228,0.0795
0.01924,0.07726
0.01917,0.1504
0.01369,0.08488
0.01374,0.07981
0.01875,0.07041
0.03099,0.09934
0.0178,0.0609
0.01502,0.141
0.01313,0.1103
0.003261,0.1242
0.003472,0.1913
0.004419,0.06553
0.008829,0.07785
0.01148,0.1265
0.01877,0.08465
0.02548,0.1501
0.008907,0.08773
0.0,0.1255
0.006423,0.08941
0.005051,0.06367
0.04908,0.05271
0.01699,0.1021
0.03965,0.09113
0.034,0.1562
0.01692,0.1198
0.02107,0.08824
0.02733,0.02739
0.005592,0.08481
0.0295,0.09711
0.007583,0.1259
0.002941,0.08744
0.008535,0.06463
0.02098,0.05736
0.01775,0.06254
0.04223,0.08293
0.02292,0.1155
0.03341,0.09063
0.0325,0.06431
0.02037,0.1689
0.008488,0.1002
0.03528,0.09194
0.02322,0.1194
0.01787,0.02307
0.01162,0.07762
0.01471,0.09183
0.04391,0.1121
0.05603,0.06759
0.02088,0.1003
0.02381,0.0852
0.01406,0.08172
0.005449,0.04335
0.02424,0.09451
0.01781,0.09431
0.04835,0.1471
0.01473,0.1015
0.02027,0.1322
0.02657,0.06139
0.02031,0.09429
0.05397,0.1474
0.05941,0.1389
0.01117,0.09791
0.02471,0.05302
0.0555,0.152
0.02074,
0.02978,
0.0288,
0.02864,
0.02534,
0.008507,
0.02757,
0.01968,
0.0,
0.03326,
0.03251,
0.05381,
0.04083,
0.007246,
0.01638,
0.01796,
0.01883,
0.0239,
0.02054,
0.02932,
0.04528,
0.01867,
0.02653,
0.021,
0.0248,
0.005128,
0.03876,
0.02179,
0.01257,
0.02402,
0.01076,
0.01428,
0.063,
0.04497,
0.04812,
0.01967,
0.005159,
0.02218,
0.01404,
0.0137,
0.01835,
0.02799,
0.02877,
0.0209,
0.02944,
0.02293,
0.02652,
0.03613,
0.009937,
0.01111,
0.04274,
0.0226,
0.02925,
0.02386,
0.01945,
0.06495,
0.02272,
0.03264,
0.02017,
0.02068,
0.01762,
0.01043,
0.01737,
0.01777,
0.0287,
0.02833,
0.0351,
0.005769,
0.05564,
0.01514,
0.02377,
0.03221,
0.0,
0.01571,
0.03078,
0.03058,
0.01339,
0.01969,
0.01527,
0.0207,
0.05266,
0.0316,
0.06211,
0.04846,
0.02791,
0.03132,
0.01261,
0.04178,
0.01149,
0.01256,
0.04951,
0.05074,
0.02369,
0.06142,
0.03279,
0.05252,
0.07038,
0.02166,
0.04268,
0.04563,
0.02639,
0.02541,
0.04349,
0.02594,
0.05303,
0.02995,
0.02421,
0.005664,
0.03783,
0.02416,
0.0151,
0.03152,
0.02647,
0.06615,
0.02798,
0.0444,
0.02157,
0.0188,
0.02788,
0.04531,
0.0,
0.01364,
0.02594,
0.0389,
0.03027,
0.03275,
0.02369,
0.02443,
0.005495,
0.02438,
0.009615,
0.00816,
0.0,
0.02257,
0.01499,
0.01282,
0.02343,
0.02738,
0.01116,
0.0,
0.03736,
0.04105,
0.04304,
0.0,
0.0,
