family,setting,phase,loss,error,recovered_target
Bar chart,means,0.0,0.8609751283889647,,[0.0]
Bar chart,means,0.25,0.8609751283889647,,[0.0]
Bar chart,means,0.5,0.8609751283889647,,[0.0]
Bar chart,means,0.75,0.8609751283889647,,[0.0]
Box plot,five,0.0,0.002177335668052423,,[0.021011728338211882]
Box plot,five,0.25,0.002177335668052423,,[0.021011728338211882]
Box plot,five,0.5,0.002177335668052423,,[0.021011728338211882]
Box plot,five,0.75,0.048340181550824236,,[0.022247712358106686]
Interval plot,five,0.0,0.002177335668052423,,[0.021011728338211882]
Interval plot,five,0.25,0.002177335668052423,,[0.021011728338211882]
Interval plot,five,0.5,0.002177335668052423,,[0.021011728338211882]
Interval plot,five,0.75,0.05269485288692965,,[0.019775744318317065]
Dot plot,raw,0.0,0.08074792422095363,,[0.019089385411809552]
Dot plot,raw,0.25,0.062173994781306516,,[0.01954382342139327]
Dot plot,raw,0.5,0.02779315098299453,,[0.02174499957972339]
Dot plot,raw,0.75,0.05757032890279999,,[0.01965645875606571]
Histogram,16,0.0,0.1963160484066736,,[0.01626184434157276]
Histogram,16,0.25,0.2066311217608908,,[0.016009471174169926]
Histogram,16,0.5,0.22747225053869868,,[0.015499562858321124]
Histogram,16,0.75,0.25512280362746764,,[0.014823052142030398]
Heatmap,16,0.0,0.19813638255834295,,[0.016217307237490944]
Heatmap,16,0.25,0.19813638255834295,,[0.016217307237490944]
Heatmap,16,0.5,0.19813638255834295,,[0.016217307237490944]
Heatmap,16,0.75,0.19813638255834295,,[0.016217307237490944]
Violin plot,64,0.0,0.10366075234519304,,[0.023601210020651145]
Violin plot,64,0.25,0.10291842693512132,,[0.023583047957372476]
Violin plot,64,0.5,0.10520803068511804,,[0.023639066419931236]
Violin plot,64,0.75,0.10474368890246614,,[0.02362770562758191]
