key,dataset,kind,task,family,H,observer,loss,score,successful,winner,setting
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,hard,0.008604578328718,99.146882880209,4,False,values
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,256,soft,0.0202904954147296,98.01130212366805,4,False,values
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,256,hard,0.0026664371601827,99.73406538192953,4,False,sectors
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,256,soft,0.0055892381189861,99.44418278287851,4,True,sectors
comp_BIDMC_0,BIDMC,empirical,composition,Donut chart,256,hard,0.0024708806216628,99.75352095812194,4,True,52% hole
comp_BIDMC_0,BIDMC,empirical,composition,Donut chart,256,soft,0.0097901844932561,99.03047339500836,4,False,52% hole
comp_BIDMC_0,BIDMC,empirical,composition,Stacked bar,256,hard,0.0055845623492854,99.444645178697,4,False,one strip
comp_BIDMC_0,BIDMC,empirical,composition,Stacked bar,256,soft,0.0121146880201986,98.80303209077064,4,False,one strip
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,384,hard,0.0058081273938877,99.4225412148004,4,False,values
comp_BIDMC_0,BIDMC,empirical,composition,Bar chart,384,soft,0.013255813451765,98.69176043445458,4,False,values
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,384,hard,0.0014798491405371,99.85223375769296,4,False,sectors
comp_BIDMC_0,BIDMC,empirical,composition,Pie chart,384,soft,0.0033671437932171,99.6644155816696,4,True,sectors
comp_BIDMC_0,BIDMC,empirical,composition,Donut chart,384,hard,0.0014304422834023,99.85716009589837,4,True,52% hole
comp_BIDMC_0,BIDMC,empirical,composition,Donut chart,384,soft,0.0061271479924466,99.39101653258513,4,False,52% hole
comp_BIDMC_0,BIDMC,empirical,composition,Stacked bar,384,hard,0.004402810952815,99.5616488818228,4,False,one strip
comp_BIDMC_0,BIDMC,empirical,composition,Stacked bar,384,soft,0.0077262911244192,99.2332946760972,4,False,one strip
comp_BIDMC_1,BIDMC,empirical,composition,Bar chart,256,hard,0.0091467834128832,99.09361219168242,4,False,values
comp_BIDMC_1,BIDMC,empirical,composition,Bar chart,256,soft,0.021770389466488,97.86934621604613,4,False,values
comp_BIDMC_1,BIDMC,empirical,composition,Pie chart,256,hard,0.0028138300805965,99.7194065342746,4,True,sectors
comp_BIDMC_1,BIDMC,empirical,composition,Pie chart,256,soft,0.0059358903146475,99.40991365634734,4,True,sectors
comp_BIDMC_1,BIDMC,empirical,composition,Donut chart,256,hard,0.0028246520120788,99.7183304173455,4,False,52% hole
comp_BIDMC_1,BIDMC,empirical,composition,Donut chart,256,soft,0.0105366378198737,98.95732253284696,4,False,52% hole
comp_BIDMC_1,BIDMC,empirical,composition,Stacked bar,256,hard,0.0061014386178849,99.3935563171178,4,False,one strip
comp_BIDMC_1,BIDMC,empirical,composition,Stacked bar,256,soft,0.0129959090485493,98.71708178360213,4,False,one strip
comp_BIDMC_1,BIDMC,empirical,composition,Bar chart,384,hard,0.0064406381740174,99.36005781864068,4,False,values
comp_BIDMC_1,BIDMC,empirical,composition,Bar chart,384,soft,0.0142886623014467,98.59126274082315,4,False,values
comp_BIDMC_1,BIDMC,empirical,composition,Pie chart,384,hard,0.001592318137713,99.8410213308471,4,True,sectors
comp_BIDMC_1,BIDMC,empirical,composition,Pie chart,384,soft,0.0036021128135794,99.64108158326998,4,True,sectors
