key,task,observer,dataset,kind,selected,reference_score,reference_ties,test_score,test_best,test_best_score,regret,score_gap,still_best,default,default_test_loss,selected_test_loss,gain
BIDMC__00,five,hard,BIDMC,empirical,Violin plot,97.9834433936427,1,98.07202612801144,Violin plot,98.07202612801144,0.0,0.0,True,Dot plot,0.0424934199675797,0.0196587543676526,0.0228346655999271
BIDMC__00,five,soft,BIDMC,empirical,Dot plot,98.15267341094594,1,98.08445948559638,Dot plot,98.08445948559638,0.0,0.0,True,Dot plot,0.0195295006410768,0.0195295006410768,0.0
BIDMC__00,median,hard,BIDMC,empirical,Heatmap,99.74403529661758,1,99.74403529661758,Heatmap,99.74403529661758,0.0,0.0,True,Box plot,0.0081580306384156,0.0025662156400754,0.0055918149983402
BIDMC__00,median,soft,BIDMC,empirical,Heatmap,99.74403529661758,1,99.74403529661758,Heatmap,99.74403529661758,0.0,0.0,True,Box plot,0.0081580306384156,0.0025662156400754,0.0055918149983402
BIDMC__00,spread,hard,BIDMC,empirical,Violin plot,99.70873618800252,1,99.76794800474724,Violin plot,99.76794800474724,0.0,0.0,True,Box plot,0.0284086094475265,0.002325917290007,0.0260826921575195
BIDMC__00,spread,soft,BIDMC,empirical,Violin plot,99.85899909810696,1,99.86209711250903,Violin plot,99.86209711250903,0.0,0.0,True,Box plot,0.0244740919152477,0.0013809332216965,0.0230931586935512
BIDMC__01,five,hard,BIDMC,empirical,Dot plot,98.36081425114898,1,97.89255331818936,Dot plot,97.89255331818936,0.0,0.0,True,Dot plot,0.0215281613399193,0.0215281613399193,0.0
BIDMC__01,five,soft,BIDMC,empirical,Dot plot,98.69253415998374,1,98.94863678783156,Dot plot,98.94863678783156,0.0,0.0,True,Dot plot,0.0106253430698877,0.0106253430698877,0.0
BIDMC__01,median,hard,BIDMC,empirical,Interval plot,98.91973794951828,1,99.64209129255306,Interval plot,99.64209129255306,0.0,0.0,True,Box plot,0.0081785410808912,0.0035919429510578,0.004586598129833399
BIDMC__01,median,soft,BIDMC,empirical,Interval plot,98.91973794951828,1,99.64209129255306,Interval plot,99.64209129255306,0.0,0.0,True,Box plot,0.0081785410808912,0.0035919429510578,0.004586598129833399
BIDMC__01,spread,hard,BIDMC,empirical,Interval plot,97.7427696511748,1,98.73254560329433,Interval plot,98.73254560329433,0.0,0.0,True,Box plot,0.0174959594388925,0.012837250259892,0.004658709179000501
BIDMC__01,spread,soft,BIDMC,empirical,Box plot,97.7427696511748,2,98.73254560329444,Box plot,98.73254560329444,0.0,0.0,True,Box plot,0.0128372502598905,0.0128372502598905,0.0
BIDMC__02,five,hard,BIDMC,empirical,Dot plot,96.76554450139612,1,96.94615209955612,Dot plot,96.94615209955612,0.0,0.0,True,Dot plot,0.0315004549877113,0.0315004549877113,0.0
BIDMC__02,five,soft,BIDMC,empirical,Dot plot,98.48137145180938,1,98.88216486764244,Dot plot,98.88216486764244,0.0,0.0,True,Dot plot,0.0113047194491931,0.0113047194491931,0.0
BIDMC__02,median,hard,BIDMC,empirical,Interval plot,100.0,1,100.0,Box plot,100.0,0.0,0.0,True,Box plot,0.0,0.0,0.0
BIDMC__02,median,soft,BIDMC,empirical,Interval plot,100.0,1,100.0,Box plot,100.0,0.0,0.0,True,Box plot,0.0,0.0,0.0
BIDMC__02,spread,hard,BIDMC,empirical,Bar chart,98.2191939480876,1,98.2191939480876,Interval plot,98.53446894565904,0.003257654222270501,0.31527499757144994,False,Box plot,0.0206810975785061,0.0181309373486981,0.0025501602298079983
BIDMC__02,spread,soft,BIDMC,empirical,Dot plot,98.4326560891885,1,98.90440583800216,Dot plot,98.90440583800216,0.0,0.0,True,Box plot,0.014873283126427,0.0110773039149776,0.0037959792114493993
BIDMC__03,five,hard,BIDMC,empirical,Dot plot,97.65774696029418,1,97.72593567814384,Dot plot,97.72593567814384,0.0,0.0,True,Dot plot,0.0232698137508317,0.0232698137508317,0.0
BIDMC__03,five,soft,BIDMC,empirical,Interval plot,98.57134621424608,1,98.69561500224584,Interval plot,98.69561500224584,0.0,0.0,True,Dot plot,0.0170639097031943,0.0132162406376867,0.003847669065507601
BIDMC__03,median,hard,BIDMC,empirical,Interval plot,99.2355516832128,1,99.5738965789366,Interval plot,99.5738965789366,0.0,0.0,True,Box plot,0.0078471016052447,0.0042792683193391,0.0035678332859056007
BIDMC__03,median,soft,BIDMC,empirical,Interval plot,99.2355516832128,1,99.5738965789366,Interval plot,99.5738965789366,0.0,0.0,True,Box plot,0.0078471016052447,0.0042792683193391,0.0035678332859056007
BIDMC__03,spread,hard,BIDMC,empirical,Interval plot,98.32926802578103,1,98.45482989261112,Box plot,99.31200615285177,0.008766603277715002,0.8571762602406494,False,Box plot,0.006927599932775,0.01569420321049,-0.008766603277715002
BIDMC__03,spread,soft,BIDMC,empirical,Box plot,98.32926802578103,2,98.45482989261104,Interval plot,98.45482989261112,9.992007221626409e-16,7.105427357601002e-14,True,Box plot,0.015694203210491,0.015694203210491,0.0
BIDMC__04,five,hard,BIDMC,empirical,Dot plot,98.25302601786652,1,97.30668898404568,Heatmap,98.21174458675344,0.0094704178293635,0.9050556027077619,False,Dot plot,0.0276785804149179,0.0276785804149179,0.0
BIDMC__04,five,soft,BIDMC,empirical,Heatmap,98.21174458675344,1,98.21174458675344,Histogram,98.23528887117116,0.00024403636261280046,0.02354428441772427,False,Dot plot,0.0196112170954247,0.0182081625855544,0.0014030545098702996
BIDMC__04,median,hard,BIDMC,empirical,Violin plot,99.48320987870392,1,99.42549712412377,Interval plot,99.89688128519202,0.0047459732339099,0.47138416106825787,False,Box plot,0.001032251592656,0.0057782248265656,-0.0047459732339096
BIDMC__04,median,soft,BIDMC,empirical,Violin plot,99.47716732518067,1,99.3872461937961,Interval plot,99.89688128519202,0.0051330646795053995,0.5096350913959213,False,Box plot,0.001032251592656,0.0061653162721611,-0.0051330646795050994
BIDMC__04,spread,hard,BIDMC,empirical,Dot plot,98.34176360479076,1,95.47241366637851,Histogram,98.87539729438228,0.036049041005065396,3.402983628003767,False,Box plot,0.0166679046491472,0.0474229796833542,-0.030755075034206998
BIDMC__04,spread,soft,BIDMC,empirical,Dot plot,98.30847109859808,1,98.3546080999711,Dot plot,98.3546080999711,0.0,0.0,True,Box plot,0.0201056641861832,0.016729179565806,0.0033764846203772
CKD__00,five,hard,CKD,empirical,Dot plot,97.1986980300426,1,98.39794593138092,Dot plot,98.39794593138092,0.0,0.0,True,Dot plot,0.0162813771512698,0.0162813771512698,0.0
CKD__00,five,soft,CKD,empirical,Dot plot,95.2677249870974,1,97.93495352478762,Dot plot,97.93495352478762,0.0,0.0,True,Dot plot,0.0210858983528257,0.0210858983528257,0.0
CKD__00,median,hard,CKD,empirical,Box plot,99.61161984457785,2,99.18634636519596,Interval plot,99.46017270604904,0.0027757101985088992,0.273826340853077,False,Box plot,0.0082032826555405,0.0082032826555405,0.0
CKD__00,median,soft,CKD,empirical,Box plot,99.61161984457785,2,99.18634636519596,Interval plot,99.46017270604904,0.0027757101985088992,0.273826340853077,False,Box plot,0.0082032826555405,0.0082032826555405,0.0
CKD__00,spread,hard,CKD,empirical,Interval plot,98.9871714248512,1,99.08142959076817,Interval plot,99.08142959076817,0.0,0.0,True,Box plot,0.0126045569136535,0.0092708635011199,0.0033336934125335997
CKD__00,spread,soft,CKD,empirical,Interval plot,98.98717142485116,2,99.08142959076812,Box plot,99.08142959076812,0.0,0.0,True,Box plot,0.0092708635011205,0.0092708635011205,0.0
CKD__01,five,hard,CKD,empirical,Dot plot,95.6797329132052,1,97.06607530220404,Dot plot,97.06607530220404,0.0,0.0,True,Dot plot,0.0302260567212751,0.0302260567212751,0.0
CKD__01,five,soft,CKD,empirical,Dot plot,95.29347169419825,1,96.54098940042095,Dot plot,96.54098940042095,0.0,0.0,True,Dot plot,0.0358294504858676,0.0358294504858676,0.0
CKD__01,median,hard,CKD,empirical,Interval plot,99.54356310381262,2,99.10184284328535,Interval plot,99.10184284328535,0.0,0.0,True,Box plot,0.0142413613376111,0.0090629712924201,0.005178390045191
CKD__01,median,soft,CKD,empirical,Interval plot,99.54356310381262,2,99.10184284328535,Interval plot,99.10184284328535,0.0,0.0,True,Box plot,0.0142413613376111,0.0090629712924201,0.005178390045191
CKD__01,spread,hard,CKD,empirical,Bar chart,100.0,1,100.0,Bar chart,100.0,0.0,0.0,True,Box plot,0.0208448339725679,0.0,0.0208448339725679
CKD__01,spread,soft,CKD,empirical,Bar chart,100.0,1,100.0,Bar chart,100.0,0.0,0.0,True,Box plot,0.0208448339725679,0.0,0.0208448339725679
CKD__02,five,hard,CKD,empirical,Dot plot,98.3855086816577,1,98.3277238711916,Dot plot,98.3277238711916,0.0,0.0,True,Dot plot,0.0170071681004136,0.0170071681004136,0.0
CKD__02,five,soft,CKD,empirical,Dot plot,96.23470855476974,1,98.13005223549705,Dot plot,98.13005223549705,0.0,0.0,True,Dot plot,0.0190558113636319,0.0190558113636319,0.0
CKD__02,median,hard,CKD,empirical,Box plot,99.76732703411164,2,99.32367981582529,Interval plot,99.62562269900882,0.0030514126867561,0.30194288318352847,False,Box plot,0.0068092542023093,0.0068092542023093,0.0
CKD__02,median,soft,CKD,empirical,Box plot,99.76732703411164,2,99.32367981582529,Interval plot,99.62562269900882,0.0030514126867561,0.30194288318352847,False,Box plot,0.0068092542023093,0.0068092542023093,0.0
CKD__02,spread,hard,CKD,empirical,Dot plot,98.90932306699648,1,98.05088833029664,Interval plot,98.65644635612924,0.006260063864278199,0.6055580258325932,False,Box plot,0.023334648125596,0.0198785722688969,0.0034560758566991
CKD__02,spread,soft,CKD,empirical,Box plot,97.95162553119596,2,98.65644635612924,Box plot,98.65644635612924,0.0,0.0,True,Box plot,0.0136185084046188,0.0136185084046188,0.0
