task,kind,observer,cases,retained,lost,paired_n,default_failures,selected_failures,mean_default_loss,mean_selected_loss,mean_gain
association,empirical,hard,53,48,5,53,0,0,0.03966615380729338,0.0047155477685307074,0.034950606038762676
association,empirical,soft,53,53,0,53,0,0,0.03866024978464493,0.004007878195257632,0.0346523715893873
composition,empirical,hard,24,20,4,24,0,0,0.0051185291734368,0.0013028064859847335,0.0038157226874520668
composition,empirical,soft,24,22,2,24,0,0,0.010219574012984142,0.0028755758046321543,0.007343998208351987
composition,synthetic,hard,48,46,2,48,0,0,0.008443587080100167,0.0015946695521121355,0.006848917527988031
composition,synthetic,soft,48,44,4,48,0,0,0.013793641828114418,0.0025314864809707727,0.011262155347143645
five,empirical,hard,127,108,19,127,0,0,0.06294549709629262,0.05446453146752332,0.008480965628769278
five,empirical,soft,127,102,25,127,0,0,0.06890423071995108,0.05148346943028839,0.01742076128966269
median,empirical,hard,127,86,41,123,4,0,0.014009084840688194,0.008680136990749241,0.005328947849938956
median,empirical,soft,127,94,33,127,0,0,0.013808820828277986,0.00801086245662007,0.005797958371657915
profile,empirical,hard,72,66,6,72,0,0,0.11575768532781658,0.09077614985719053,0.024981535470626075
profile,empirical,soft,72,72,0,72,0,0,0.10743404653975591,0.08525168497292296,0.022182361566832943
spread,empirical,hard,127,78,49,123,4,0,0.026146630700714307,0.025638900511836097,0.0005077301888782103
spread,empirical,soft,127,89,38,127,0,0,0.024886220520623434,0.02231665575469805,0.0025695647659253872
