key,dataset,candidate,family,setting,H,observer,task,loss,successful,winner,score
WDBC__00,WDBC,Bar chart / means,Bar chart,means,256,threshold,median,0.1022051134316169,4,False,90.72721472744665
WDBC__00,WDBC,Bar chart / means,Bar chart,means,256,threshold,spread,0.9230386343016774,4,False,52.00103534909661
WDBC__00,WDBC,Bar chart / means,Bar chart,means,256,threshold,five,0.4323527174147821,4,False,69.81520597837627
WDBC__00,WDBC,Bar chart / means,Bar chart,means,256,alpha,median,0.0881019150866268,4,False,91.90315595762803
WDBC__00,WDBC,Bar chart / means,Bar chart,means,256,alpha,spread,0.9230386343016774,4,False,52.00103534909661
WDBC__00,WDBC,Bar chart / means,Bar chart,means,256,alpha,five,0.4295320777457841,4,False,69.95295982283173
WDBC__00,WDBC,Box plot / five,Box plot,five,256,threshold,median,0.0138954578110766,4,False,98.62949797200238
WDBC__00,WDBC,Box plot / five,Box plot,five,256,threshold,spread,0.0359788531576837,4,False,96.527066836546
WDBC__00,WDBC,Box plot / five,Box plot,five,256,threshold,five,0.4779147053639245,4,False,67.6629034389206
WDBC__00,WDBC,Box plot / five,Box plot,five,256,alpha,median,0.0138954578110766,4,False,98.62949797200238
WDBC__00,WDBC,Box plot / five,Box plot,five,256,alpha,spread,0.0282063966899811,4,False,97.25673787084155
WDBC__00,WDBC,Box plot / five,Box plot,five,256,alpha,five,0.187890291535623,4,False,84.18285822567576
WDBC__00,WDBC,Interval plot / five,Interval plot,five,256,threshold,median,0.0069534140706212,4,False,99.30946020208503
WDBC__00,WDBC,Interval plot / five,Interval plot,five,256,threshold,spread,0.0282063966899813,4,False,97.25673787084152
WDBC__00,WDBC,Interval plot / five,Interval plot,five,256,threshold,five,0.4763131789028628,4,False,67.73630516142654
WDBC__00,WDBC,Interval plot / five,Interval plot,five,256,alpha,median,0.0069534140706212,4,False,99.30946020208503
WDBC__00,WDBC,Interval plot / five,Interval plot,five,256,alpha,spread,0.0282063966899811,4,False,97.25673787084155
WDBC__00,WDBC,Interval plot / five,Interval plot,five,256,alpha,five,0.1865018827875319,4,False,84.28136646952721
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,median,0.0280429025208037,4,False,97.27220503618658
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,spread,0.0176767629852052,4,False,98.26302774828491
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,five,0.0204654714330731,4,True,97.99449643265902
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,median,0.0262375390081825,4,False,97.4433269091345
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,spread,0.0594274852991464,4,False,94.39060378140312
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,five,0.0255536751987183,4,True,97.50830445868503
WDBC__00,WDBC,Histogram / 16,Histogram,16,256,threshold,median,0.0484529339653405,4,False,95.37862574506923
WDBC__00,WDBC,Histogram / 16,Histogram,16,256,threshold,spread,0.1583571959354601,4,False,86.32915680144976
WDBC__00,WDBC,Histogram / 16,Histogram,16,256,threshold,five,0.0703689972006316,4,False,93.42572539146128
WDBC__00,WDBC,Histogram / 16,Histogram,16,256,alpha,median,0.0390505454749986,4,False,96.24170877489442
WDBC__00,WDBC,Histogram / 16,Histogram,16,256,alpha,spread,0.1532395285815706,4,False,86.71225493197862
WDBC__00,WDBC,Histogram / 16,Histogram,16,256,alpha,five,0.0671679171067384,4,False,93.70596547834373
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,256,threshold,median,0.0238238582372238,4,False,97.67305107753175
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,256,threshold,spread,0.1526651033032109,4,False,86.75546757980995
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,256,threshold,five,0.0637406747396079,4,False,94.0078746396333
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,256,alpha,median,0.0238238582372238,4,False,97.67305107753175
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,256,alpha,spread,0.1526651033032109,4,False,86.75546757980995
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,256,alpha,five,0.0637406747396079,4,False,94.0078746396333
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,256,threshold,median,0.0014082065452835,4,True,99.85937737117798
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,256,threshold,spread,0.0057831791216133,4,True,99.42500737319311
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,256,threshold,five,0.0620993598178266,4,False,94.15314968003766
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,256,alpha,median,0.0038089391115266,4,True,99.62055138551587
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,256,alpha,spread,0.0025678864293991,4,True,99.74386907219375
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,256,alpha,five,0.0595635042365758,4,False,94.37848661279705
WDBC__00,WDBC,Bar chart / means,Bar chart,means,384,threshold,median,0.0873333484193266,4,False,91.96811644319708
WDBC__00,WDBC,Bar chart / means,Bar chart,means,384,threshold,spread,0.9230386343016774,4,False,52.00103534909661
WDBC__00,WDBC,Bar chart / means,Bar chart,means,384,threshold,five,0.4293783644123241,4,False,69.96048246547659
WDBC__00,WDBC,Bar chart / means,Bar chart,means,384,alpha,median,0.0781489767450678,4,False,92.75156045864834
WDBC__00,WDBC,Bar chart / means,Bar chart,means,384,alpha,spread,0.9230386343016774,4,False,52.00103534909661
WDBC__00,WDBC,Bar chart / means,Bar chart,means,384,alpha,five,0.4275414900774723,4,False,70.0505033969787
WDBC__00,WDBC,Box plot / five,Box plot,five,384,threshold,median,0.0091843716742584,4,False,99.08992133330193
WDBC__00,WDBC,Box plot / five,Box plot,five,384,threshold,spread,0.0252523815848457,4,False,97.53695948057099
WDBC__00,WDBC,Box plot / five,Box plot,five,384,threshold,five,0.4823641550745766,4,False,67.45980713151357
WDBC__00,WDBC,Box plot / five,Box plot,five,384,alpha,median,0.0091843716742584,4,False,99.08992133330193
WDBC__00,WDBC,Box plot / five,Box plot,five,384,alpha,spread,0.0114851051121882,4,False,98.86453047562036
WDBC__00,WDBC,Box plot / five,Box plot,five,384,alpha,five,0.17994422438227,4,False,84.74976861923493
WDBC__00,WDBC,Interval plot / five,Interval plot,five,384,threshold,median,0.0068473699987566,4,False,99.3199197611486
WDBC__00,WDBC,Interval plot / five,Interval plot,five,384,threshold,spread,0.0114851051121882,4,False,98.86453047562036
WDBC__00,WDBC,Interval plot / five,Interval plot,five,384,threshold,five,0.4776270685027267,4,False,67.67607479019019
WDBC__00,WDBC,Interval plot / five,Interval plot,five,384,alpha,median,0.0068473699987566,4,False,99.3199197611486
WDBC__00,WDBC,Interval plot / five,Interval plot,five,384,alpha,spread,0.0114851051121878,4,False,98.8645304756204
WDBC__00,WDBC,Interval plot / five,Interval plot,five,384,alpha,five,0.1794768240471696,4,False,84.78335306061156
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,median,0.0256479001683606,4,False,97.49934649462546
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,spread,0.0358402333206259,4,False,96.53998443314644
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,five,0.0225685826086928,4,True,97.79295169120904
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,median,0.0161713182887614,4,False,98.40860315601171
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,spread,0.0142436171207153,4,False,98.5956414336478
WDBC__00,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,five,0.013221809143592,4,True,98.69507258684379
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,threshold,median,0.045125562464335,4,False,95.68228315476928
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,threshold,spread,0.159380582198696,4,False,86.25295397854255
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,threshold,five,0.0683606016196477,4,False,93.60135505596031
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,alpha,median,0.0389723223239439,4,False,96.24895471356044
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,alpha,spread,0.1560251746562178,4,False,86.50330649567238
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,alpha,five,0.0661709436688949,4,False,93.79358966197407
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,threshold,median,0.0238238582372238,4,False,97.67305107753175
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,threshold,spread,0.1526651033032109,4,False,86.75546757980995
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,threshold,five,0.0637406747396079,4,False,94.0078746396333
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,alpha,median,0.0238238582372238,4,False,97.67305107753175
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,alpha,spread,0.1526651033032109,4,False,86.75546757980995
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,alpha,five,0.0637406747396079,4,False,94.0078746396333
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,threshold,median,9.585262785678092e-05,4,True,99.9904156558989
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,threshold,spread,0.0101877229266741,4,True,98.99150200547295
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,threshold,five,0.0625755019248677,4,False,94.11095947426686
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,alpha,median,0.0018441741363737,4,True,99.81592205814208
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,alpha,spread,0.0087050596831118,4,True,99.13700644211634
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,alpha,five,0.0608686158374541,4,False,94.26237943806038
WDBC__01,WDBC,Bar chart / means,Bar chart,means,256,threshold,median,0.0773949658651083,4,False,92.81647229500808
