task,family,wins,median_score,valid
five,Bar chart,3,75.09663837092447,122
five,Box plot,2,70.58595579413385,119
five,Dot plot,93,95.57573119149978,127
five,Heatmap,11,90.87069161316099,127
five,Histogram,9,90.33226716719375,127
five,Interval plot,0,69.93614416207339,127
five,Violin plot,9,91.81739981903615,127
median,Bar chart,1,88.39001493059817,122
median,Box plot,19,98.80987563232222,119
median,Dot plot,3,96.41366361440072,127
median,Heatmap,10,93.74864357861613,127
median,Histogram,6,94.32676220603607,127
median,Interval plot,92,99.23049543811946,127
median,Violin plot,13,95.3956351039247,127
spread,Bar chart,6,68.87053284798642,122
spread,Box plot,30,97.20395603030585,119
spread,Dot plot,25,95.75277167338801,127
spread,Heatmap,11,88.44315531884702,127
spread,Histogram,3,88.60771980531375,127
spread,Interval plot,34,97.14937548553873,127
spread,Violin plot,19,90.91202592372088,127
