task,kind,observer,dataset,paired_n,mean_gain
association,empirical,hard,BIDMC,53,0.034950606038762676
association,empirical,soft,BIDMC,53,0.0346523715893873
composition,empirical,hard,BIDMC,2,0.0046130025733949
composition,empirical,hard,CKD,3,0.0037421741135815335
composition,empirical,hard,Cleveland,3,0.0040686567398899
composition,empirical,hard,HAR,2,0.003463880630011
composition,empirical,hard,HeartFailure,3,0.0037667459702192332
composition,empirical,hard,ILPD,3,0.0037600475573275997
composition,empirical,hard,Retinopathy,3,0.0038835769880737666
composition,empirical,hard,WDBC,3,0.003829439569829033
composition,empirical,hard,Wrist,2,0.0031358276376373
composition,empirical,soft,BIDMC,2,0.010287609573207599
composition,empirical,soft,CKD,3,0.006928651595164467
composition,empirical,soft,Cleveland,3,0.0066433794756854654
composition,empirical,soft,HAR,2,0.008364267885547151
composition,empirical,soft,HeartFailure,3,0.006797166417249166
composition,empirical,soft,ILPD,3,0.006968323251023899
composition,empirical,soft,Retinopathy,3,0.006574824908204167
composition,empirical,soft,WDBC,3,0.006290834926603199
composition,empirical,soft,Wrist,2,0.009171330180573551
composition,synthetic,hard,Synthetic,48,0.006848917527988031
composition,synthetic,soft,Synthetic,48,0.011262155347143643
five,empirical,hard,BIDMC,5,0.0045669331199854205
five,empirical,hard,CKD,11,-0.0002484736483414818
five,empirical,hard,Cleveland,5,-0.0002317221035669996
five,empirical,hard,HAR,40,-0.002964541141729847
five,empirical,hard,HeartFailure,6,-0.0017958351864056997
five,empirical,hard,ILPD,9,0.007667328829226359
five,empirical,hard,Retinopathy,16,0.027068284612672848
five,empirical,hard,WDBC,30,-0.0013590237713411934
five,empirical,hard,Wrist,5,0.1452337293130847
five,empirical,soft,BIDMC,5,0.0010501447150755802
five,empirical,soft,CKD,11,0.0006394808663246367
five,empirical,soft,Cleveland,5,0.00404449671599518
five,empirical,soft,HAR,40,0.00011752496427107524
five,empirical,soft,HeartFailure,6,0.0011134358933614814
five,empirical,soft,ILPD,9,0.04334693491317224
five,empirical,soft,Retinopathy,16,0.06753925740602917
five,empirical,soft,WDBC,30,-0.0014450392646835333
five,empirical,soft,Wrist,5,0.14822964367934277
median,empirical,hard,BIDMC,5,0.0018000546360339201
median,empirical,hard,CKD,11,0.003078160447459427
median,empirical,hard,Cleveland,5,0.00408548196633778
median,empirical,hard,HAR,39,0.01126773420262803
median,empirical,hard,HeartFailure,6,0.0023253927233312004
median,empirical,hard,ILPD,9,0.0016322213704246667
median,empirical,hard,Retinopathy,13,0.003159542477446
median,empirical,hard,WDBC,30,0.0026594868832694905
median,empirical,hard,Wrist,5,0.0006460992654788202
median,empirical,soft,BIDMC,5,0.00172263634691482
median,empirical,soft,CKD,11,0.002807289576636482
median,empirical,soft,Cleveland,5,0.00394349811107772
median,empirical,soft,HAR,40,0.012511828072492912
median,empirical,soft,HeartFailure,6,0.0026067172247668338
median,empirical,soft,ILPD,9,0.0016193663322530334
median,empirical,soft,Retinopathy,16,0.0031727099696473187
median,empirical,soft,WDBC,30,0.0031027021521917333
median,empirical,soft,Wrist,5,0.0005195416497774802
profile,empirical,hard,BIDMC,53,0.028887085526890895
profile,empirical,hard,Wrist,19,0.014087106366308421
profile,empirical,soft,BIDMC,53,0.02553443616786394
profile,empirical,soft,Wrist,19,0.012831837679746478
spread,empirical,hard,BIDMC,5,-0.0012460233491188009
spread,empirical,hard,CKD,11,0.008119090901278481
spread,empirical,hard,Cleveland,5,0.010228106030177823
spread,empirical,hard,HAR,39,-0.009943745918820029
spread,empirical,hard,HeartFailure,6,-0.0149757821831406
spread,empirical,hard,ILPD,9,0.002788837161733355
spread,empirical,hard,Retinopathy,13,0.003069357359736846
spread,empirical,hard,WDBC,30,0.010843817266297413
spread,empirical,hard,Wrist,5,0.00311509714487692
spread,empirical,soft,BIDMC,5,0.00605312450507556
spread,empirical,soft,CKD,11,0.003129179458917945
spread,empirical,soft,Cleveland,5,0.00291982160607876
spread,empirical,soft,HAR,40,0.004700068732231752
spread,empirical,soft,HeartFailure,6,-0.006536917123287016
spread,empirical,soft,ILPD,9,-0.0012124988497738112
spread,empirical,soft,Retinopathy,16,0.0016863089609604502
spread,empirical,soft,WDBC,30,0.002739977346390157
spread,empirical,soft,Wrist,5,-7.979727989493313e-17
