task,kind,observer,H,family,cases,wins,valid,median_score,mean_loss
association,empirical,hard,256,Heatmap,53,44,53,99.64454272600163,0.004750001209546929
association,empirical,hard,256,Scatter plot,53,9,53,97.08783870753349,0.038433713329030256
association,empirical,hard,384,Heatmap,53,47,53,99.64454272600163,0.004750001209546929
association,empirical,hard,384,Scatter plot,53,6,53,97.06464882278767,0.03966615380729342
association,empirical,soft,256,Heatmap,53,42,53,99.64454272600163,0.004750001209546929
association,empirical,soft,256,Scatter plot,53,11,53,97.09591303091611,0.038680110457483395
association,empirical,soft,384,Heatmap,53,42,53,99.64454272600163,0.004750001209546929
association,empirical,soft,384,Scatter plot,53,11,53,97.08788622165078,0.03866024978464498
composition,empirical,hard,256,Bar chart,24,0,24,99.19234706320631,0.007035964491156169
composition,empirical,hard,256,Donut chart,24,8,24,99.74515098850523,0.002326873157180172
composition,empirical,hard,256,Pie chart,24,16,24,99.73479185393592,0.0022631098163914177
composition,empirical,hard,256,Stacked bar,24,0,24,99.34443092265934,0.005803096024712021
composition,empirical,hard,384,Bar chart,24,0,24,99.43068146959743,0.005118529173436844
composition,empirical,hard,384,Donut chart,24,4,24,99.85097497344105,0.0014221126929754226
composition,empirical,hard,384,Pie chart,24,20,24,99.8538644756843,0.0013088031817440008
composition,empirical,hard,384,Stacked bar,24,0,24,99.60737971148808,0.00360925343003152
composition,empirical,soft,256,Bar chart,24,3,24,98.09242869629497,0.01576574997674799
composition,empirical,soft,256,Donut chart,24,0,24,99.06343912430684,0.007988238696672242
composition,empirical,soft,256,Pie chart,24,21,24,99.45439546133917,0.004787774655841217
composition,empirical,soft,256,Stacked bar,24,0,24,98.82998081117863,0.009750727028155192
composition,empirical,soft,384,Bar chart,24,3,24,98.76131645215406,0.01021957401298417
composition,empirical,soft,384,Donut chart,24,0,24,99.40348630275551,0.005018732792671821
composition,empirical,soft,384,Pie chart,24,21,24,99.66988006735616,0.002900027535019179
composition,empirical,soft,384,Stacked bar,24,0,24,99.26890215814288,0.006157104552898217
composition,synthetic,hard,256,Bar chart,48,1,48,99.45995513082931,0.010993160782238531
composition,synthetic,hard,256,Donut chart,48,26,48,99.83579573540808,0.0030431832532254737
composition,synthetic,hard,256,Pie chart,48,21,48,99.80102398593075,0.002674643960947985
composition,synthetic,hard,256,Stacked bar,48,0,48,99.48830365400981,0.006632070258044592
composition,synthetic,hard,384,Bar chart,48,0,48,99.57866176432731,0.008443587080100208
composition,synthetic,hard,384,Donut chart,48,26,48,99.86985642106221,0.001973125675828731
composition,synthetic,hard,384,Pie chart,48,22,48,99.86436097909501,0.0017408095628128225
composition,synthetic,hard,384,Stacked bar,48,0,48,99.69912142365524,0.004379121618170043
composition,synthetic,soft,256,Bar chart,48,10,48,98.69137194613164,0.02070244211370564
composition,synthetic,soft,256,Donut chart,48,1,48,99.54909928026012,0.006490737934723709
composition,synthetic,soft,256,Pie chart,48,37,48,99.66782289733538,0.004040540399956146
composition,synthetic,soft,256,Stacked bar,48,0,48,99.22256552830459,0.008613316302105897
composition,synthetic,soft,384,Bar chart,48,9,48,99.10768912570003,0.013793641828114449
composition,synthetic,soft,384,Donut chart,48,1,48,99.72191440639926,0.004149665086461808
composition,synthetic,soft,384,Pie chart,48,38,48,99.79562850693816,0.002591097528402256
composition,synthetic,soft,384,Stacked bar,48,0,48,99.49226076825612,0.00583404304792522
profile,empirical,hard,256,Area chart,72,0,72,84.68834880206009,0.36478577207760376
profile,empirical,hard,256,Bar chart,72,0,72,83.11948146605334,0.37921683254151495
profile,empirical,hard,256,Dot plot,72,66,72,93.46034949280956,0.12891169153605253
profile,empirical,hard,256,Line chart,72,6,72,92.44925907342963,0.15329402557588384
profile,empirical,hard,384,Area chart,72,0,72,87.52852603668774,0.2731621777609577
profile,empirical,hard,384,Bar chart,72,0,72,86.74141035932229,0.2821974202574762
profile,empirical,hard,384,Dot plot,72,72,72,95.49009972146708,0.08719974016717728
profile,empirical,hard,384,Line chart,72,0,72,94.33949936760516,0.11575768532781663
profile,empirical,soft,256,Area chart,72,0,72,86.87858139909719,0.2830072688187762
profile,empirical,soft,256,Bar chart,72,0,72,82.91408195363232,0.37646209892474736
profile,empirical,soft,256,Dot plot,72,72,72,93.61851039238334,0.12542670374424666
profile,empirical,soft,256,Line chart,72,0,72,92.4682767075987,0.14491066370023564
profile,empirical,soft,384,Area chart,72,0,72,92.44548358991308,0.1582732860875743
profile,empirical,soft,384,Bar chart,72,0,72,89.97898685471736,0.20563966806415787
profile,empirical,soft,384,Dot plot,72,72,72,95.54169123793895,0.08525168497292299
profile,empirical,soft,384,Line chart,72,0,72,94.3083043237707,0.10743404653975593
