key,task,dataset,kind,observer,selected,runner_up,reference_score,runner_reference_score,reference_margin,selected_test_score,runner_test_score,default,default_test_score,default_test_loss,selected_test_loss,transfer_gain,reference_ties,selected_still_best
assoc_bidmc_01,association,BIDMC,empirical,hard,Heatmap,Scatter plot,99.99999999999997,97.65424120496331,2.3457587950366587,99.99999999999997,97.61321959652318,Scatter plot,97.61321959652318,0.0244514053869177,1.6653345369377348e-16,0.024451405386917535,1,True
assoc_bidmc_01,association,BIDMC,empirical,soft,Heatmap,Scatter plot,99.99999999999997,97.65906059779692,2.3409394022030483,99.99999999999997,97.65299649083153,Scatter plot,97.65299649083153,0.024034116652926478,1.6653345369377348e-16,0.02403411665292631,1,True
assoc_bidmc_02,association,BIDMC,empirical,hard,Heatmap,Scatter plot,99.506020471998,95.70865989094563,3.7973605810523736,99.506020471998,96.04369251695346,Scatter plot,96.04369251695346,0.04119278819218862,0.0049643179946184,0.03622847019757022,1,True
assoc_bidmc_02,association,BIDMC,empirical,soft,Heatmap,Scatter plot,99.506020471998,96.0309036177302,3.475116854267796,99.506020471998,96.01815905525302,Scatter plot,96.01815905525302,0.04146966557081817,0.0049643179946184,0.036505347576199776,1,True
assoc_bidmc_03,association,BIDMC,empirical,hard,Heatmap,Scatter plot,100.0,97.08783870753349,2.9121612924665072,100.0,97.06464882278767,Scatter plot,97.06464882278767,0.030241197107418922,5.551115123125783e-17,0.030241197107418866,1,True
assoc_bidmc_03,association,BIDMC,empirical,soft,Heatmap,Scatter plot,100.0,97.08528573089681,2.914714269103186,100.0,97.08852022952176,Scatter plot,97.08852022952176,0.02998788902740885,5.551115123125783e-17,0.029987889027408794,1,True
assoc_bidmc_04,association,BIDMC,empirical,hard,Heatmap,Scatter plot,99.79893980289208,99.68716271655423,0.11177708633785244,99.79893980289208,99.6104142378892,Scatter plot,99.6104142378892,0.00391109468915955,0.0020146526356396,0.0018964420535199501,1,True
assoc_bidmc_04,association,BIDMC,empirical,soft,Heatmap,Scatter plot,99.79893980289208,99.59757600101737,0.20136380187470593,99.79893980289208,99.60585912870957,Scatter plot,99.60585912870957,0.003957004886440749,0.0020146526356396,0.001942352250801149,1,True
assoc_bidmc_05,association,BIDMC,empirical,hard,Heatmap,Scatter plot,100.0,99.77249029425879,0.22750970574121254,100.0,98.81889308149167,Scatter plot,98.81889308149167,0.011952237893763202,2.775557561562892e-17,0.011952237893763174,1,True
assoc_bidmc_05,association,BIDMC,empirical,soft,Heatmap,Scatter plot,100.0,99.77561885482153,0.2243811451784694,100.0,99.77687216791571,Scatter plot,99.77687216791571,0.002236268057278725,2.775557561562892e-17,0.0022362680572786974,1,True
